update_id,episode_start,episode_end,episode_count,parallel_envs,transition_count,environment_step_count,forced_action_count,forced_action_ratio,worker_step_command_count,worker_local_physical_forced_action_count,worker_local_physical_forced_share,estimated_worker_step_round_trips_avoided,sampling_wall_time_seconds,policy_inference_time_seconds,generation_time_seconds,environment_step_time_seconds,ppo_update_time_seconds,transitions_per_second,reward_phase,candidate_status,policy_loss,value_loss,entropy,loss,approx_kl,clip_fraction,ratio_mean,gradient_norm,gradient_clipped_fraction,gradient_norm_max,return_mean,return_std,advantage_mean,advantage_std,value_prediction_mean,value_prediction_std,pre_update_explained_variance,learning_rate,policy_head_weight_production_processing_time_norm,policy_head_weight_production_reconfiguration_time_norm,policy_head_weight_production_fixed_reconfiguration_cost_norm,policy_head_weight_production_estimated_labor_cost_norm,policy_head_weight_production_estimated_downtime_cost_norm,policy_head_weight_production_horizon_slack_norm,policy_head_weight_worker_stage_duration_norm,policy_head_weight_worker_projected_fatigue_ratio,policy_head_weight_worker_incremental_labor_cost_norm,policy_head_weight_worker_incremental_downtime_cost_norm,policy_head_weight_worker_incremental_load_variance_norm,policy_head_gate_production_common,policy_head_gate_production_residual,policy_head_gate_worker_common,policy_head_gate_worker_residual,policy_head_preference_action_scale
1,0,9,10,10,2235,2235,0,0.0,2235,0,0.0,0,14.458452999999963,9.64239619999978,1.8101181999998062,4.973129900005802,19.194816399999922,66.41256673861255,feasibility,feasibility_best,-0.0005892344234910394,0.011899221994514977,0.8534875392913819,-0.00317449885021363,0.0001964184975284817,0.0,0.9997968392712729,0.5569480857678822,0.35714285714285715,2.187924861907959,0.3120497465133667,0.1726788431406021,0.15116092562675476,0.19067400693893433,0.16088880598545074,0.04049568995833397,-0.2192835807800293,0.0001,-0.30077850818634033,-0.2998717725276947,-0.20003190636634827,-0.19990116357803345,-0.19991376996040344,0.30048930644989014,-0.3000343143939972,-0.30026352405548096,-0.200259730219841,-0.20008307695388794,-0.19969703257083893,0.01798621006309986,0.11932515352964401,0.01798621006309986,0.11948826909065247,1.0012316703796387
2,10,19,10,10,1519,1519,0,0.0,1519,0,0.0,0,12.014557699999841,6.213603199998715,1.6781287999999677,5.693005900000571,11.185215399999834,65.47477828565579,feasibility,not_applicable,0.0010124507049719493,0.06427430757321417,0.9052662737667561,0.024096942409717787,2.357114696375599e-05,0.0,1.0000235599776108,0.7624769505734245,0.6666666666666666,1.9065937995910645,0.4067966639995575,0.3350849151611328,0.09053131937980652,0.2906436324119568,0.316265344619751,0.14371338486671448,0.24766391515731812,0.0001,-0.300832062959671,-0.2997691333293915,-0.19992177188396454,-0.19984692335128784,-0.1997993290424347,0.3005795180797577,-0.30012014508247375,-0.30053430795669556,-0.20021609961986542,-0.20017269253730774,-0.19966964423656464,0.01798621006309986,0.11949708312749863,0.01798621006309986,0.11958497017621994,1.001261830329895
3,20,29,10,10,1727,1727,0,0.0,1727,0,0.0,0,11.988052299999936,7.20553489999952,1.0201679000003878,4.753883999991103,13.609354099999791,67.46777282873543,feasibility,feasibility_best,-0.0019174602434591011,0.04049416572821361,0.9118152249742437,0.009211469562379298,0.0004400965079656561,0.0,1.0002499885029263,0.49371444268359077,0.3888888888888889,1.3871867656707764,0.3179391324520111,0.33512455224990845,0.08413102477788925,0.2585062086582184,0.23380807042121887,0.18821218609809875,0.40498292446136475,0.0001,-0.30058950185775757,-0.2996678352355957,-0.1998649388551712,-0.1997727006673813,-0.19983531534671783,0.30037346482276917,-0.29999247193336487,-0.30073925852775574,-0.20029708743095398,-0.2001054435968399,-0.1995159536600113,0.01798621006309986,0.11943460255861282,0.01798621006309986,0.11954136937856674,1.0009305477142334
4,30,39,10,10,2053,2053,0,0.0,2053,0,0.0,0,13.050702099999853,8.674848100000872,1.4939303000001019,4.374167999993688,16.36059239999986,69.80311594241526,feasibility,feasibility_best,-0.0013621195614563696,0.03001486732991356,0.7449396857709596,0.00619591615924781,0.0003228503489729271,0.0,1.0005397805661866,0.6748270748013799,0.6212121212121212,1.5954710245132446,0.43156445026397705,0.2599785029888153,0.11852988600730896,0.18752123415470123,0.3130345344543457,0.182895690202713,0.4797332286834717,0.0001,-0.3003922402858734,-0.2996896207332611,-0.19998379051685333,-0.1997862160205841,-0.19989466667175293,0.30009979009628296,-0.29991403222084045,-0.3004361689090729,-0.20032694935798645,-0.19986018538475037,-0.19937708973884583,0.01798621006309986,0.11950251460075378,0.01798621006309986,0.11950519680976868,1.0006163120269775
5,40,49,10,10,2128,2128,0,0.0,2128,0,0.0,0,13.344386500000155,9.080729500001326,2.4437087000001156,4.11189480000553,17.324664600000006,69.38590936711402,feasibility,phase_transition,0.004659799105652115,0.01627539547831368,0.7977874515687718,0.004819622386575621,0.001025705988628461,0.0,0.9992764890193939,0.6410431648221087,0.47058823529411764,2.2208778858184814,0.6111688017845154,0.25106289982795715,0.1339806616306305,0.13239648938179016,0.4771882891654968,0.17559215426445007,0.721908450126648,0.0001,-0.30047324299812317,-0.29937657713890076,-0.19987064599990845,-0.19957317411899567,-0.1996452361345291,0.2997499704360962,-0.2998461425304413,-0.3001038432121277,-0.20012356340885162,-0.19983993470668793,-0.19920367002487183,0.01798621006309986,0.11985670775175095,0.01798621006309986,0.11970194429159164,0.9998329281806946
6,50,59,10,10,1796,1796,0,0.0,1796,0,0.0,0,10.16488389999995,7.437883099999681,1.2053266000002623,2.8632952999998906,13.778419299999996,75.01053572257332,quality,pending,-0.010699980659410357,0.015822875813243847,0.691105703855383,-0.0096995992865012,0.0010604212504153237,0.0,0.9987586541422482,0.5417081132402708,0.5,1.646985411643982,0.8511370420455933,0.2172234058380127,0.12713102996349335,0.1399390697479248,0.7240061163902283,0.19884099066257477,0.5849840641021729,0.0001,-0.3007587492465973,-0.2997908890247345,-0.1999429315328598,-0.19985489547252655,-0.19989140331745148,0.30004504323005676,-0.30006033182144165,-0.3002619743347168,-0.20042644441127777,-0.20001256465911865,-0.19880537688732147,0.01798621006309986,0.12022469937801361,0.01798621006309986,0.11998840421438217,1.00019109249115
7,60,69,10,10,1756,1756,0,0.0,1756,0,0.0,0,9.559982699999864,7.275855200001843,1.409073600000056,2.5309590000008484,13.08667760000003,77.53902680299436,quality,pending,-0.005568111132431243,0.015998286681549092,0.657242297061852,-0.004141390523208039,0.0005415160329513517,0.0,1.0004839418189866,0.44044415067349163,0.32142857142857145,1.3455872535705566,0.9744501709938049,0.16518133878707886,0.10550793260335922,0.1396421492099762,0.8689422011375427,0.1316005438566208,0.2853209376335144,0.0001,-0.300566166639328,-0.2997734248638153,-0.1999141424894333,-0.19984452426433563,-0.1999739706516266,0.30001550912857056,-0.3003550171852112,-0.3004607856273651,-0.20067627727985382,-0.2002314180135727,-0.1991470903158188,0.01798621006309986,0.12023095786571503,0.01798621006309986,0.11996933072805405,1.0002093315124512
8,70,79,10,10,1849,1849,0,0.0,1849,0,0.0,0,9.586287000000084,7.552605200000926,1.2084060999995927,2.259667299995499,13.204790299999786,81.12824048032212,quality,pending,-0.0024400356000867382,0.0030425191046027787,0.5349899386537487,-0.006268675246372305,0.000652322086007816,0.0,1.000136407284901,0.3575816208432461,0.20689655172413793,1.0943236351013184,1.0772250890731812,0.11034899950027466,0.09974154829978943,0.05644752457737923,0.9774834513664246,0.12329263985157013,0.7383305430412292,0.0001,-0.3003822863101959,-0.300012469291687,-0.20001789927482605,-0.2000017613172531,-0.2001706212759018,0.3002461791038513,-0.30055224895477295,-0.3008183538913727,-0.2005372941493988,-0.20039843022823334,-0.19979912042617798,0.01798621006309986,0.12011485546827316,0.01798621006309986,0.12029269337654114,1.00112783908844
9,80,89,10,10,1851,1851,0,0.0,1851,0,0.0,0,10.165201799999977,7.753706900001362,1.3264854999997624,2.3062560000030317,13.791476599999896,77.26446751482918,quality,pending,-0.0015013831314341776,0.0025819745968529506,0.5334111960797474,-0.005544507498692335,0.0003745467557595914,0.0,1.0005799747746567,0.2662882279476215,0.1206896551724138,0.9052730798721313,1.1612601280212402,0.141377791762352,0.08116524666547775,0.06166874244809151,1.0800946950912476,0.1375432312488556,0.809731125831604,0.0001,-0.30034151673316956,-0.30039477348327637,-0.20019228756427765,-0.20026260614395142,-0.20034804940223694,0.30039840936660767,-0.3007141649723053,-0.30096203088760376,-0.20073571801185608,-0.20054231584072113,-0.2000712752342224,0.01798621006309986,0.12017399072647095,0.01798621006309986,0.12050698697566986,1.0017751455307007
10,90,99,10,10,1800,1800,0,0.0,1800,0,0.0,0,9.300908699999809,7.460047699998995,1.3142719999998462,1.8637697999990905,13.426603800000066,79.1991644488155,quality,pending,0.002448657607852385,0.0028599766469440133,0.48214184390059833,-0.0009427717726292281,8.622004152757341e-05,0.0,1.0002176648583905,0.21746385360843148,0.06896551724137931,0.8771273493766785,1.1995031833648682,0.18712115287780762,0.071525938808918,0.07240458577871323,1.1279772520065308,0.17927567660808563,0.8502777218818665,0.0001,-0.3005487024784088,-0.30005955696105957,-0.1999879777431488,-0.20000621676445007,-0.20006908476352692,0.30043721199035645,-0.30069097876548767,-0.3008892834186554,-0.2004885971546173,-0.20052683353424072,-0.19998088479042053,0.01798621006309986,0.12020754814147949,0.01798621006309986,0.12055984139442444,1.002157211303711
