update_id,episode_start,episode_end,episode_count,parallel_envs,transition_count,environment_step_count,forced_action_count,forced_action_ratio,worker_step_command_count,worker_local_physical_forced_action_count,worker_local_physical_forced_share,estimated_worker_step_round_trips_avoided,sampling_wall_time_seconds,policy_inference_time_seconds,generation_time_seconds,environment_step_time_seconds,ppo_update_time_seconds,transitions_per_second,reward_phase,candidate_status,policy_loss,value_loss,entropy,loss,approx_kl,clip_fraction,ratio_mean,gradient_norm,gradient_clipped_fraction,gradient_norm_max,return_mean,return_std,advantage_mean,advantage_std,value_prediction_mean,value_prediction_std,pre_update_explained_variance,learning_rate,policy_head_weight_production_processing_time_norm,policy_head_weight_production_reconfiguration_time_norm,policy_head_weight_production_total_reconfiguration_cost_norm,policy_head_weight_production_horizon_slack_norm,policy_head_weight_production_future_configuration_reuse_value_norm,policy_head_weight_production_configuration_opportunity_cost_norm,policy_head_weight_worker_stage_duration_norm,policy_head_weight_worker_fatigue_headroom_ratio,policy_head_weight_worker_total_incremental_cost_norm,policy_head_weight_worker_incremental_load_variance_norm,policy_head_weight_worker_qualification_opportunity_cost_norm,policy_head_weight_worker_recovery_eta_norm,policy_head_weight_worker_remaining_service_capacity_norm,policy_head_gate_production_common,policy_head_gate_production_residual,policy_head_gate_worker_common,policy_head_gate_worker_residual
1,0,9,10,10,2141,2141,0,0.0,2141,0,0.0,0,14.259034100017743,7.666868399974192,6.0732553000270855,1.8621047990163788,20.34902210001019,61.86420836886737,feasibility,feasibility_best,0.00132873109267915,0.020334468764143392,0.5001358775531545,0.006494606598554289,0.00217527016374173,0.02679703351767624,1.0016149335047777,0.6997084952890873,0.47058823529411764,4.180540084838867,0.07866887748241425,0.20536476373672485,0.18412873148918152,0.22537077963352203,-0.10545985400676727,0.03992865979671478,-0.20432400703430176,0.0001,-0.30022263526916504,-0.3001655638217926,-0.3001726567745209,0.3004591166973114,0.19974373281002045,-0.20041829347610474,-0.2996436059474945,0.30003291368484497,-0.24961553514003754,-0.20001497864723206,-0.20020990073680878,-0.14998166263103485,0.15005360543727875,0.017986470833420753,0.017996888607740402,0.01798621006309986,0.01798621006309986
2,10,19,10,10,1911,1911,0,0.0,1911,0,0.0,0,9.597442400001455,6.684598599938909,2.3511397999245673,1.7376472999167163,19.605739099992206,65.43807564256021,feasibility,feasibility_best,0.0008154016065721711,0.007808026302761088,0.4733850916226705,-1.4435523189604282e-05,0.001576331375084313,0.02122159091134866,1.0003408501545588,0.6638708177953958,0.48333333333333334,2.9197850227355957,0.30676543712615967,0.26780080795288086,0.20092938840389252,0.11307860910892487,0.10583601146936417,0.17649348080158234,0.8217058181762695,0.0001,-0.300151526927948,-0.30024129152297974,-0.3001979887485504,0.30031320452690125,0.19958260655403137,-0.20060785114765167,-0.29969078302383423,0.29991477727890015,-0.24934086203575134,-0.20012764632701874,-0.20033428072929382,-0.14999203383922577,0.1499888151884079,0.01800674945116043,0.018007483333349228,0.01798621006309986,0.01798621006309986
3,20,29,10,10,2226,2226,0,0.0,2226,0,0.0,0,11.940142900013598,8.102743500290671,2.9082704999600537,1.7799970001215115,22.880328100000042,63.92791183092061,feasibility,feasibility_best,0.0004448391231042998,0.005791103214557682,0.4638350865670613,-0.0012979603904698575,0.001390521733888558,0.020848214253783227,0.9992146764482771,0.47446776117597306,0.3142857142857143,2.0431978702545166,0.4424148201942444,0.31349658966064453,0.16990092396736145,0.09167417138814926,0.27251389622688293,0.26443636417388916,0.9144877195358276,0.0001,-0.3002408444881439,-0.3008931875228882,-0.3009399175643921,0.300642728805542,0.1994798630475998,-0.20099346339702606,-0.2995104193687439,0.29977673292160034,-0.2489953190088272,-0.20022663474082947,-0.2006406933069229,-0.15013805031776428,0.14988377690315247,0.017977891489863396,0.018006961792707443,0.01798621006309986,0.01798621006309986
4,30,39,10,10,2428,2428,0,0.0,2428,0,0.0,0,12.958694400003878,8.99197220010683,3.246493999962695,2.0479896010365337,25.22866839999915,63.58124316455305,feasibility,not_applicable,0.0012073886801341647,0.004347100726782197,0.4910334948646395,-0.0015293960030631798,0.0011169523527075256,0.014199561414946067,0.9999809672957972,0.49210141863869994,0.34210526315789475,2.0695106983184814,0.5846419930458069,0.33565378189086914,0.1537904292345047,0.07690858840942383,0.4308515787124634,0.3148597478866577,0.9474990963935852,0.0001,-0.3000260591506958,-0.30175459384918213,-0.3019025921821594,0.30126523971557617,0.19939646124839783,-0.2016574591398239,-0.29939621686935425,0.29975152015686035,-0.24899721145629883,-0.20040003955364227,-0.2009192556142807,-0.15034320950508118,0.14993052184581757,0.01800333522260189,0.017972782254219055,0.01798621006309986,0.01798621006309986
5,40,49,10,10,2659,2659,0,0.0,2659,0,0.0,0,15.458370000007562,9.987317399587482,4.862285099981818,2.3617811994918156,27.29783560000942,62.18980292299239,feasibility,phase_transition,-0.0015639749222568103,0.0037521891298681674,0.4424904529892263,-0.004112784706410908,0.0009090444795479666,0.01246279761904762,1.0005221771342414,0.41035968171698706,0.19047619047619047,5.1161298751831055,0.7162460088729858,0.33886754512786865,0.13067369163036346,0.08365831524133682,0.5855723023414612,0.32792478799819946,0.939052164554596,0.0001,-0.3004586696624756,-0.3023013770580292,-0.3023613393306732,0.301814466714859,0.19915376603603363,-0.2021397352218628,-0.2991582751274109,0.29958653450012207,-0.2489960491657257,-0.2002345472574234,-0.20054906606674194,-0.15013957023620605,0.14983969926834106,0.01803595945239067,0.01796218752861023,0.01798621006309986,0.01798621006309986
6,50,59,10,10,2247,2247,0,0.0,2247,0,0.0,0,11.51070109999273,7.950801600032719,3.1766478000499774,1.7802098999673035,22.692287999991095,65.69601251608336,quality,promoted,-0.0010983568693821628,0.002773583877165543,0.4635303483034174,-0.004346868411327402,0.0008466219841365172,0.009114583333333334,0.9985399378670586,0.3135127378110256,0.1527777777777778,1.3609566688537598,0.9078688025474548,0.27944841980934143,0.11976685374975204,0.07504723221063614,0.7881019115447998,0.29327380657196045,0.9278782606124878,0.0001,-0.3003079295158386,-0.3026607036590576,-0.3027040362358093,0.30187398195266724,0.19871112704277039,-0.20256341993808746,-0.2987768352031708,0.2991236448287964,-0.24919170141220093,-0.19974523782730103,-0.20054523646831512,-0.150146484375,0.14959335327148438,0.01806098222732544,0.01793498918414116,0.01798621006309986,0.01798621006309986
7,60,69,10,10,2520,2520,0,0.0,2520,0,0.0,0,15.787307799997507,9.683643999829656,3.7345857999753207,2.2432059012935497,28.259412400017027,57.211978293883696,quality,not_promoted,-0.001855437725316733,0.002014985617279308,0.4375382963567972,-0.005223328713327646,0.0009365395351778715,0.012825520848855377,1.0006279408931733,0.321206777356565,0.15,1.120682716369629,0.9874941110610962,0.276161253452301,0.10104254633188248,0.07212632149457932,0.8864515423774719,0.2949333190917969,0.9317877888679504,0.0001,-0.30000030994415283,-0.30349457263946533,-0.3035903871059418,0.3021826446056366,0.19860810041427612,-0.20330706238746643,-0.2989080250263214,0.2990204095840454,-0.24980075657367706,-0.19969482719898224,-0.20030570030212402,-0.15019011497497559,0.14953011274337769,0.018083659932017326,0.017923135310411453,0.01798621006309986,0.01798621006309986
8,70,79,10,10,2016,2016,0,0.0,2016,0,0.0,0,18.274833600007696,7.111753400036832,10.490926599974046,1.7672494007274508,18.952408400014974,54.15389085226277,quality,not_promoted,0.0010109687282238156,0.002178661361540435,0.47784085245803,-0.0026781089181895368,0.0017841559820226394,0.02197265625,0.9978582561016083,0.3519550551427528,0.203125,1.2200230360031128,1.1712501049041748,0.22770023345947266,0.09617932885885239,0.07481981813907623,1.075070858001709,0.23238922655582428,0.8920291662216187,0.0001,-0.2999756634235382,-0.30379945039749146,-0.30385860800743103,0.3021790087223053,0.19854845106601715,-0.20363304018974304,-0.2991296052932739,0.2994501292705536,-0.25003498792648315,-0.19932810962200165,-0.20053166151046753,-0.1504015177488327,0.14975622296333313,0.018080422654747963,0.01793554425239563,0.01798621006309986,0.01798621006309986
9,80,89,10,10,2146,2146,0,0.0,2146,0,0.0,0,11.87198370002443,7.943559499777621,2.927018499991391,1.93192829968757,22.586025199998403,62.278700032449585,quality,not_promoted,-0.0005806378253242549,0.0017596577912199257,0.5011690657804994,-0.004712498650940902,0.00041440368915894344,0.00390625,0.9991937928340014,0.37893498798503594,0.20588235294117646,1.0587888956069946,1.168014645576477,0.2589341402053833,0.08467727899551392,0.07268806546926498,1.083337426185608,0.2678970992565155,0.9211961030960083,0.0001,-0.300338476896286,-0.30459627509117126,-0.30456894636154175,0.30301493406295776,0.19835610687732697,-0.20422914624214172,-0.2990370988845825,0.2991856038570404,-0.2501104474067688,-0.19920016825199127,-0.2006508857011795,-0.15040943026542664,0.14962461590766907,0.018073761835694313,0.01793253794312477,0.01798621006309986,0.01798621006309986
10,90,99,10,10,2080,2080,0,0.0,2080,0,0.0,0,10.774256800010335,7.555116599978646,2.6150380999897607,1.7217384993855376,20.429012500011595,66.6596817147791,quality,not_promoted,-0.0042111279273575,0.0012665569414490494,0.4876906740846056,-0.008454756645457537,0.0031375687315382743,0.03669507575757576,1.001054342949029,0.32517849642670515,0.19696969696969696,0.8714427947998047,1.2588573694229126,0.2136722058057785,0.06880640983581543,0.0672127977013588,1.1900510787963867,0.22221146523952484,0.9010518193244934,0.0001,-0.30051347613334656,-0.3048308193683624,-0.30479806661605835,0.30345892906188965,0.19827738404273987,-0.20458348095417023,-0.29886379837989807,0.29885703325271606,-0.24996092915534973,-0.19915014505386353,-0.20055918395519257,-0.15006576478481293,0.14944429695606232,0.018079059198498726,0.01793980412185192,0.01798621006309986,0.01798621006309986
