update_id,episode_start,episode_end,episode_count,parallel_envs,transition_count,environment_step_count,forced_action_count,forced_action_ratio,worker_step_command_count,worker_local_physical_forced_action_count,worker_local_physical_forced_share,estimated_worker_step_round_trips_avoided,sampling_wall_time_seconds,policy_inference_time_seconds,generation_time_seconds,environment_step_time_seconds,ppo_update_time_seconds,transitions_per_second,reward_phase,candidate_status,policy_loss,value_loss,entropy,loss,approx_kl,clip_fraction,ratio_mean,gradient_norm,gradient_clipped_fraction,gradient_norm_max,return_mean,return_std,advantage_mean,advantage_std,value_prediction_mean,value_prediction_std,pre_update_explained_variance,learning_rate,policy_head_weight_production_processing_time_norm,policy_head_weight_production_reconfiguration_time_norm,policy_head_weight_production_total_reconfiguration_cost_norm,policy_head_weight_production_horizon_slack_norm,policy_head_weight_production_future_configuration_reuse_value_norm,policy_head_weight_production_configuration_opportunity_cost_norm,policy_head_weight_worker_stage_duration_norm,policy_head_weight_worker_fatigue_headroom_ratio,policy_head_weight_worker_total_incremental_cost_norm,policy_head_weight_worker_incremental_load_variance_norm,policy_head_weight_worker_qualification_opportunity_cost_norm,policy_head_weight_worker_recovery_eta_norm,policy_head_weight_worker_remaining_service_capacity_norm,policy_head_gate_production_common,policy_head_gate_production_residual,policy_head_gate_worker_common,policy_head_gate_worker_residual
1,0,9,10,10,2033,2033,0,0.0,2033,0,0.0,0,9.318599099991843,4.025702600018121,5.3749982999579515,1.9082178006356116,16.247573600005126,79.51913741082728,feasibility,feasibility_best,5.328620318323374e-07,0.02302713572862558,0.5137098436243832,0.006377001715009101,0.0030261113570304587,0.03917211422231048,0.997958816587925,0.5983026613248512,0.578125,1.9706958532333374,0.09156084805727005,0.21351538598537445,0.19303083419799805,0.23487800359725952,-0.1014699637889862,0.03996226191520691,-0.2101142406463623,0.0001,-0.29981446266174316,-0.30027684569358826,-0.3002311885356903,0.30026811361312866,0.19997811317443848,-0.19987475872039795,-0.3001444339752197,0.3005776107311249,-0.25034409761428833,-0.20001497864723206,-0.19999945163726807,-0.14994597434997559,0.15031281113624573,0.017988093197345734,0.11925852298736572,0.017985712736845016,0.1191645935177803
2,10,19,10,10,1868,1868,0,0.0,1868,0,0.0,0,5.879235000000335,3.5294071001408156,2.053751400031615,1.9184577993873972,14.834534499997972,90.1815577314478,feasibility,feasibility_best,0.002595018440236648,0.0099564975205188,0.5540383244554202,0.0020328847070535025,0.00048665239143398745,0.002864583333333333,1.0011809835831325,0.6880423810333014,0.5666666666666667,2.3670921325683594,0.33435961604118347,0.2637663781642914,0.2040025293827057,0.1114262193441391,0.13035708665847778,0.17757463455200195,0.8215420842170715,0.0001,-0.2999741733074188,-0.30074283480644226,-0.300654798746109,0.3004342019557953,0.20011679828166962,-0.20014744997024536,-0.29987701773643494,0.30086085200309753,-0.25029322504997253,-0.20004361867904663,-0.1997067928314209,-0.15020425617694855,0.1504635065793991,0.017988935112953186,0.1191137507557869,0.018015800043940544,0.11915598809719086
3,20,29,10,10,2182,2182,0,0.0,2182,0,0.0,0,7.173226000013528,4.312084600067465,2.480082800058881,2.0707528994826134,18.365698899986455,85.438208873076,feasibility,phase_transition,-0.005005776882171631,0.006207065610215068,0.5681808254548482,-0.007584051588284118,0.0016276866274503325,0.019866071428571427,1.0003067578588214,0.5760360434651375,0.4142857142857143,2.1327264308929443,0.4459015130996704,0.30334755778312683,0.17029842734336853,0.09007271379232407,0.2756030857563019,0.24614305794239044,0.9118331074714661,0.0001,-0.30001100897789,-0.3015868067741394,-0.3016067147254944,0.3007548153400421,0.19982224702835083,-0.20072519779205322,-0.3001151382923126,0.30097177624702454,-0.2503040134906769,-0.1998535692691803,-0.19950662553310394,-0.15027830004692078,0.1505325883626938,0.017962053418159485,0.11929658055305481,0.018003448843955994,0.11908910423517227
4,30,39,10,10,2336,2336,0,0.0,2336,0,0.0,0,7.751210299989907,4.675225799815962,2.7115798000013456,2.282992199267028,20.513169600017136,82.64819565347754,quality,not_promoted,-0.00021717767860438372,0.005217904078686056,0.5533721825561008,-0.0031419478268740145,0.0014597915956196753,0.014358108108108109,1.0001467385807552,0.4590776571752252,0.33783783783783783,1.41958749294281,0.5730732679367065,0.34351468086242676,0.14334990084171295,0.08901174366474152,0.4297234117984772,0.3132798373699188,0.9328565001487732,0.0001,-0.30048447847366333,-0.3021315038204193,-0.3022468686103821,0.3013414442539215,0.19968320429325104,-0.20110668241977692,-0.2999120354652405,0.3009061813354492,-0.24958793818950653,-0.20006117224693298,-0.19927096366882324,-0.15061485767364502,0.15047913789749146,0.01799159310758114,0.11984594166278839,0.017995253205299377,0.11912789195775986
5,40,49,10,10,2995,2995,0,0.0,2995,0,0.0,0,13.947277899977053,7.414648599951761,4.0108320999424905,2.9746397005801555,25.955748300009873,75.05696397535336,quality,not_promoted,6.710299033116787e-05,0.0033234798335817026,0.43854300424139553,-0.0026565871122194097,0.0018649613751009345,0.025308328125863633,1.0003409176430804,0.3836618688036787,0.2127659574468085,1.168837070465088,0.7497543692588806,0.3462751805782318,0.10363203287124634,0.08359061926603317,0.6461223363876343,0.34830066561698914,0.9417263269424438,0.0001,-0.3006768822669983,-0.30303865671157837,-0.3030143082141876,0.30201369524002075,0.1994897574186325,-0.20152300596237183,-0.30011799931526184,0.3011772036552429,-0.24973727762699127,-0.20006199181079865,-0.19949287176132202,-0.1506095975637436,0.15057827532291412,0.01802605576813221,0.12072176486253738,0.01796952448785305,0.1191113293170929
6,50,59,10,10,2231,2231,0,0.0,2231,0,0.0,0,7.08068290000665,4.2825530997652095,2.7104603999468964,2.1686681000865065,18.12816140000359,88.50068545185523,quality,not_promoted,0.0013498536976320403,0.003400373673399112,0.5907216097627367,-0.0028571759350597857,0.0024020024625185346,0.028794642857142855,0.9987500497273036,0.46537714706999916,0.35714285714285715,1.3819639682769775,0.8653002977371216,0.2954801917076111,0.12217246741056442,0.06896407902240753,0.7431278228759766,0.30185478925704956,0.9455260038375854,0.0001,-0.30080896615982056,-0.30382582545280457,-0.3037217855453491,0.3027763366699219,0.19953511655330658,-0.20212030410766602,-0.3005375266075134,0.30171164870262146,-0.24981018900871277,-0.20013485848903656,-0.19938236474990845,-0.15082627534866333,0.15085440874099731,0.018116965889930725,0.12147745490074158,0.017945868894457817,0.1191035807132721
7,60,69,10,10,2421,2421,0,0.0,2421,0,0.0,0,9.671762599988142,5.145624699915061,3.3555095000192523,2.394949199457187,20.910513800015906,79.16349876426071,quality,not_promoted,-0.0016046511622047738,0.0028204573617059444,0.5493504785393414,-0.005687927183891206,0.0025513859857854092,0.028868234863406735,1.000585403881575,0.36839140843796103,0.2236842105263158,1.2699024677276611,0.9255697727203369,0.3091285824775696,0.10952337831258774,0.07096534222364426,0.8160464763641357,0.3167709708213806,0.9472995400428772,0.0001,-0.3013041615486145,-0.3049546182155609,-0.30477553606033325,0.303844690322876,0.19926533102989197,-0.20290224254131317,-0.3010938763618469,0.3017737567424774,-0.25001972913742065,-0.20055188238620758,-0.19983816146850586,-0.15072573721408844,0.1508871167898178,0.018200905993580818,0.12274262309074402,0.01794269308447838,0.11888697743415833
8,70,79,10,10,1937,1937,0,0.0,1937,0,0.0,0,14.134240999992471,3.7798673996294383,9.953358099970501,2.165170999680413,15.288407500018366,65.83363832794612,quality,not_promoted,0.004801452760734866,0.0028841026914080666,0.595440998673439,0.0002890938156915288,0.0018893372560400635,0.023689516129032258,0.9985380999503597,0.4288241685398163,0.2903225806451613,1.1859618425369263,1.1320816278457642,0.23465776443481445,0.10507682710886002,0.08005212992429733,1.0270047187805176,0.24484245479106903,0.8836206197738647,0.0001,-0.30164653062820435,-0.3057572543621063,-0.30546918511390686,0.3044706881046295,0.19918708503246307,-0.20335786044597626,-0.30172479152679443,0.3022195100784302,-0.2502153515815735,-0.20070064067840576,-0.1996791660785675,-0.15109769999980927,0.15113592147827148,0.01816621795296669,0.12335703521966934,0.017946936190128326,0.11886360496282578
9,80,89,10,10,2051,2051,0,0.0,2051,0,0.0,0,7.1899378999951296,4.130969100020593,2.4907228999654762,2.230082600231981,17.608852100005606,82.70564813847527,quality,not_promoted,-0.00440811426519896,0.0018120920285582542,0.635979582866033,-0.009861863768574867,0.0019949865427131017,0.020359848484848484,1.0013606746991475,0.4271285426661824,0.19696969696969696,2.2774555683135986,1.1448827981948853,0.28620150685310364,0.0922260656952858,0.07569857686758041,1.0526565313339233,0.2996450662612915,0.9300429224967957,0.0001,-0.3017801344394684,-0.3064687252044678,-0.3061038851737976,0.30501869320869446,0.19924011826515198,-0.20387548208236694,-0.3021825850009918,0.3019610345363617,-0.2504408657550812,-0.2006501406431198,-0.19959095120429993,-0.15116062760353088,0.15107819437980652,0.018207307904958725,0.12403300404548645,0.0179375521838665,0.11897176504135132
10,90,99,10,10,2027,2027,0,0.0,2027,0,0.0,0,6.708218999992823,3.9752145994571038,2.106461399962427,2.1502915994497016,16.876838399999542,85.94424705536889,quality,not_promoted,-0.0005531436909222975,0.0014651230130766635,0.6268426012247801,-0.006089008369599469,0.002283286947204033,0.028541742358356714,1.0000372854992747,0.433691979967989,0.328125,0.9823310375213623,1.2564022541046143,0.21486954391002655,0.06913115084171295,0.07030413299798965,1.187270998954773,0.22465792298316956,0.8929437398910522,0.0001,-0.30166685581207275,-0.30706435441970825,-0.3066428601741791,0.30530402064323425,0.19928541779518127,-0.20423302054405212,-0.3020172417163849,0.30154934525489807,-0.25054407119750977,-0.20045927166938782,-0.1996675729751587,-0.15110698342323303,0.1508650779724121,0.018247229978442192,0.12437431514263153,0.01795055903494358,0.11908978223800659
