sampling_seed,instance_id,seed,pressure_type,cost_profile,ood_factor,terminated,truncated,termination_reason,decisions,makespan,completed_orders,unfinished_orders,feasibility_proxy_return,total_flow_time,flow_time_objective,reconfiguration_cost,worker_load_variance,quality_score,heuristic_quality_score,inference_time_seconds,solve_time_seconds,inference_time_per_decision_ms,heuristic_completed,heuristic_makespan,heuristic_flow_time,heuristic_reconfiguration_cost,heuristic_worker_load_variance,relative_heuristic_gap_percent,makespan_heuristic_gap_percent,reconfiguration_cost_heuristic_gap_percent,worker_load_variance_heuristic_gap_percent,maximum_worker_fatigue,mean_peak_worker_fatigue,safe_fatigue_limit,fatigue_masked_action_count,fatigue_masked_action_ratio,worker_competition_event_count,worker_matching_deficit_event_count,resource_admission_masked_action_count,resource_admission_masked_action_ratio,minimum_worker_alternatives,matching_preserving_worker_action_count,candidate_recovery_advance_count,machine_waiting_for_worker_time,completed_reconfigurations,worker_switch_ratio,schedule_violation_count,total_effective_load,max_module_load,ready_configuration_gap_ratio,heuristic_reconfiguration_ratio,mean_wave_overlap_ratio
100012,test_reconfiguration_bottleneck_3000015,3000015,reconfiguration_bottleneck,balanced_cost,,True,False,completed,484,206.5,18,0,2.0,1394.3999999999985,1394.3999999999985,1581.2335288890692,4.352222222222213,0.4685240353811724,0.4772857016919196,4.067820353060713,48.17683159999433,8.404587506323788,True,192.9,1263.1,1459.4857049089,13.6366666667,10.395059773572845,7.0502851218247775,8.341830520893563,-68.08441293904981,0.7498702087999988,0.6948202906166663,0.75,127,0.4219269102990033,30,30,3,0.0234375,0,129,1,10.8,28,1.0,0,0.4205208333,0.2645,0.5125,0.325,0.5635713635
100012,test_balanced_3000016,3000016,balanced,labor_dominant,,True,False,completed,242,197.3,15,0,2.0,651.3000000000001,651.3000000000001,391.65675398248004,3.9180555555555583,0.27486639257350126,0.22137183204544184,1.3512987550042446,29.835240999993403,5.583879152910102,True,204.4,589.5,222.5222508066,0.5191666667,10.48346055979645,-3.473581213307238,76.00790597919996,654.6816478916207,0.3163,0.19056271185000004,0.75,0,0.0,0,0,0,0.0,2,58,0,0.0,10,1.0,0,0.2790625,0.1825,0.1153846154,0.1153846154,0.3424017059
100012,test_balanced_3000017,3000017,balanced,balanced_cost,,True,False,completed,369,191.60000000000002,18,0,2.0,1031.8000000000002,1031.8000000000002,823.9019226195203,3.0080555555555546,0.37802560548189734,0.35748572867507683,2.148808361677776,42.852816300000995,5.823328893435707,True,188.2,909.3,874.7748669754,0.4947222222,13.471901462663611,1.8065887353879035,-5.815547094051376,508.0291971076036,0.3237,0.21626642208333335,0.75,0,0.0,0,0,0,0.0,1,104,0,0.0,20,0.9,0,0.38875,0.2271666667,0.2933333333,0.28,0.3670759957
100012,test_balanced_3000018,3000018,balanced,labor_dominant,,True,False,completed,334,222.3,16,0,2.0,801.4000000000004,801.4000000000004,666.6325203021504,3.2525000000000026,0.3324215541687793,0.28616238467408317,1.9038091941741626,39.95678389999375,5.700027527467553,True,199.6,714.0,476.1479916875,0.7288888889,12.240896358543479,11.372745490981973,40.00532018197969,346.2271341395396,0.20859999999999998,0.15978333333333333,0.75,0,0.0,0,0,0,0.0,1,103,0,0.0,19,1.0,0,0.3177083333,0.1680833333,0.234375,0.21875,0.3526886143
100012,test_balanced_3000019,3000019,balanced,downtime_dominant,,True,False,completed,337,222.3,18,0,2.0,960.0999999999999,960.0999999999999,712.5205363646303,2.621388888888889,0.35701790749240525,0.3673188659480026,1.9223349095598068,40.22341320000123,5.704257891868863,True,224.2,911.6,833.7142729268,4.0733333333,5.320315928038601,-0.8474576271186339,-14.53660330615577,-35.64511729352682,0.19090000000000001,0.16942640685,0.75,0,0.0,0,0,0,0.0,2,74,0,0.0,13,1.0,0,0.40375,0.207,0.2133333333,0.2133333333,0.2394692812
100013,test_balanced_3000000,3000000,balanced,balanced_cost,,True,False,completed,273,202.10000000000002,14,0,2.0,701.6999999999999,701.6999999999999,664.3876142505402,18.51138888888889,0.35828521371985833,0.26827048743043946,1.5252572514683904,33.04894380000769,5.587022899151614,True,198.7,622.1,405.364739249,2.9180555556,12.795370519209115,1.7111222949169775,63.89871883810603,534.3741075581628,0.24050000000000005,0.1840666666666667,0.75,0,0.0,0,0,0,0.0,2,87,0,0.0,15,1.0,0,0.2820833333,0.15825,0.1509433962,0.1698113208,0.1738825215
100013,test_machine_bottleneck_3000001,3000001,machine_bottleneck,downtime_dominant,,True,False,completed,366,189.20000000000002,18,0,2.0,1386.2,1386.2,908.4064623571703,1.4022222222222236,0.416256046887406,0.4059658070727755,2.1189140325624,41.92446989999735,5.789382602629509,True,196.0,1280.0,950.3677026909,0.4333333333,8.296875000000004,-3.4693877551020322,-4.415263714762128,223.5897436146354,0.3057,0.21708333333333338,0.75,0,0.0,0,0,0,0.0,2,85,0,0.0,16,1.0,0,0.4420833333,0.4335,0.4,0.2125,0.617876481
100013,test_reconfiguration_bottleneck_3000002,3000002,reconfiguration_bottleneck,downtime_dominant,,True,False,completed,425,222.0,18,0,2.0,1461.5000000000002,1461.5000000000002,1874.368741882779,4.278888888888889,0.48595878346421795,0.5340999254431404,2.690611271131825,45.56807760000811,6.330850049721941,True,237.7,1404.1,2667.3459497884,15.0655555556,4.088027918239464,-6.604964240639457,-29.729072375052354,-71.59820045734465,0.7496999999999998,0.7311649609166665,0.75,27,0.2109375,3,3,81,0.3403361344537815,0,101,4,1.4000000000000001,26,0.9230769230769231,0,0.4119791667,0.2345833333,0.5061728395,0.3456790123,0.5754903502
100013,test_worker_bottleneck_3000003,3000003,worker_bottleneck,balanced_cost,,True,False,completed,418,158.10000000000002,18,0,2.0,1756.7000000000005,1756.7000000000005,1114.8210850443397,5.238888888888885,0.4741832055205815,0.43811949064540695,2.598846637801464,45.24533180000435,6.217336454070488,True,143.2,1684.0,865.3065498386,1.8122222222,4.31710213776725,10.405027932960918,28.835391948931868,189.08645003420074,0.5609710802000001,0.4687614326333334,0.75,0,0.0,0,0,1,0.004405286343612335,1,131,0,0.0,26,1.0,0,0.4077604167,0.32925,0.6875,0.25,0.828712154
100013,test_fatigue_bottleneck_3000004,3000004,fatigue_bottleneck,fixed_cost_dominant,,True,False,completed,358,144.6,17,0,2.0,1553.7000000000005,1553.7000000000005,815.3611361262699,3.264722222222222,0.42911344482989683,0.44890068133267075,2.0551794700623693,41.35603520000586,5.74072477671053,True,152.3,1511.0,943.4031066642,7.0091666667,2.825943084050331,-5.055810899540392,-13.572349893003482,-53.42210597255932,0.6469884044000002,0.5686969168666668,0.75,2,0.022222222222222223,0,0,9,0.034482758620689655,1,88,1,0.0,19,0.9473684210526315,0,0.39515625,0.312,0.6216216216,0.2837837838,0.8243399715
