update_id,episode_start,episode_end,episode_count,parallel_envs,transition_count,environment_step_count,forced_action_count,forced_action_ratio,worker_step_command_count,worker_local_physical_forced_action_count,worker_local_physical_forced_share,estimated_worker_step_round_trips_avoided,sampling_wall_time_seconds,policy_inference_time_seconds,generation_time_seconds,environment_step_time_seconds,ppo_update_time_seconds,transitions_per_second,reward_phase,preference_stage,e2_7_safety_replay_pass,e2_7_safety_replay_rollback,failure_reason,candidate_status,policy_loss,value_loss,entropy,loss,approx_kl,clip_fraction,ratio_mean,gradient_norm,gradient_clipped_fraction,counterfactual_loss,counterfactual_eligible_count,counterfactual_control_evaluated_state_count,counterfactual_high_flow_commit_flip_count,counterfactual_high_flow_commit_flip_rate,counterfactual_state_scale_mean,counterfactual_state_scale_max,counterfactual_low_flow_identity_violation_count,counterfactual_monotonicity_violation_count,counterfactual_flow_cost_flip_count,counterfactual_flow_cost_flip_rate,counterfactual_flow_variance_flip_count,counterfactual_flow_variance_flip_rate,counterfactual_coefficient_mean,counterfactual_gate_loss,production_pair_loss,production_pair_eligible_count,production_pair_control_evaluated_state_count,production_pair_correct_count,production_pair_correct_rate,worker_variance_loss,worker_variance_eligible_count,worker_variance_control_evaluated_state_count,worker_variance_correct_count,worker_variance_correct_rate,canonical_teacher_kl,gradient_norm_max,return_mean,return_std,advantage_mean,advantage_std,value_prediction_mean,value_prediction_std,pre_update_explained_variance,learning_rate,policy_head_weight_production_processing_time_norm,policy_head_weight_production_reconfiguration_time_norm,policy_head_weight_production_fixed_reconfiguration_cost_norm,policy_head_weight_production_estimated_labor_cost_norm,policy_head_weight_production_estimated_downtime_cost_norm,policy_head_weight_production_horizon_slack_norm,policy_head_weight_worker_stage_duration_norm,policy_head_weight_worker_projected_fatigue_ratio,policy_head_weight_worker_incremental_labor_cost_norm,policy_head_weight_worker_incremental_downtime_cost_norm,policy_head_weight_worker_incremental_load_variance_norm,policy_head_gate_production_common,policy_head_gate_production_residual,policy_head_gate_worker_common,policy_head_gate_worker_residual
1,0,19,20,20,3745,3745,0,0.0,3745,0,0.0,0,45.17781740002101,27.06299080007011,0.03047379999770783,20.868418898637174,48.21156060000067,40.10092025668198,feasibility,,,False,,feasibility_best,-0.003588301666333514,0.00996450018690173,0.4712608080294173,-0.003318659779694626,0.003492417824711114,0.031623170284901636,1.000300426604384,0.3590967147532156,0.19491525423728814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2414615154266357,0.24703985452651978,0.2054884284734726,0.20035216212272644,0.18332098424434662,0.046687688678503036,0.04331503435969353,0.20411622524261475,0.0001,-0.3007369637489319,-0.30094853043556213,-0.20110782980918884,-0.20060639083385468,-0.2006407231092453,0.30097126960754395,-0.2999088168144226,-0.29970642924308777,-0.20028531551361084,-0.19993731379508972,-0.19975437223911285,0.017959732562303543,0.11957773566246033,0.01798621006309986,0.1193346306681633
2,20,39,20,20,4394,4394,0,0.0,4394,0,0.0,0,54.044738500000676,30.538726199854864,0.05949660012265667,28.09607460029656,55.04957329999888,40.27707703088529,feasibility,,,False,,feasibility_best,-0.0001874459583474242,0.010003751144656722,0.46408762253712915,0.00017355407412717307,0.002689639295356861,0.03336352660604145,0.9987059054167374,0.44801623174461763,0.3188405797101449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6786023378372192,0.4011661112308502,0.2759026288986206,0.15950360894203186,0.12461601942777634,0.24166248738765717,0.20124603807926178,0.7959972023963928,0.0001,-0.3010861277580261,-0.3016330599784851,-0.20177215337753296,-0.2011098861694336,-0.20105698704719543,0.3016670346260071,-0.300203800201416,-0.29970693588256836,-0.2000003606081009,-0.20014306902885437,-0.19994769990444183,0.017893295735120773,0.12020676583051682,0.01798621006309986,0.11965163797140121
3,40,59,20,20,4445,4445,0,0.0,4445,0,0.0,0,65.1592947000172,30.63095829982194,0.03445299997110851,35.353337099339115,58.532380099990405,35.93612914682377,feasibility,,,False,,phase_transition,0.0012992685893550514,0.014578455367258616,0.4725616529583931,0.0038628801088114936,0.001787340553710237,0.025180880539119245,0.9996918533529554,0.40683489162474873,0.2642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6054599285125732,0.5584815740585327,0.34333139657974243,0.13864600658416748,0.15052436292171478,0.4198355972766876,0.29101014137268066,0.8077853322029114,0.0001,-0.3012729585170746,-0.3020392954349518,-0.20197993516921997,-0.20140711963176727,-0.2013223022222519,0.30163636803627014,-0.2999183237552643,-0.2999657690525055,-0.19975759088993073,-0.19998864829540253,-0.20020608603954315,0.01789003610610962,0.12055735290050507,0.01798621006309986,0.11972883343696594
4,60,79,20,20,4325,4325,0,0.0,4325,0,0.0,0,60.7829356000002,28.615214499935973,0.042626399925211444,26.36809690055088,54.70070039998973,37.451193518018236,quality,,,False,,pending,-0.0005897181793389952,0.003560468933702556,0.47967033175861135,-0.0036061865582322594,0.0018029988226343824,0.022456279818845147,0.999905399101622,0.34167636421454306,0.15441176470588236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3436357975006104,0.7629519701004028,0.31334778666496277,0.14187447726726532,0.07864627242088318,0.6210774779319763,0.3036523759365082,0.9370054602622986,0.0001,-0.30087000131607056,-0.303575724363327,-0.20299725234508514,-0.20250965654850006,-0.20234902203083038,0.3018709719181061,-0.30010277032852173,-0.30117034912109375,-0.19973434507846832,-0.20026859641075134,-0.2011614739894867,0.017924495041370392,0.12150759249925613,0.01798621006309986,0.11962182819843292
5,80,99,20,20,4043,4043,0,0.0,4043,0,0.0,0,52.53375309999683,26.596071500243852,0.02857989995391108,26.2186412998999,50.08863359998213,39.39686193247373,quality,,,False,,pending,0.001873387722298503,0.002905713362451934,0.48630178184248507,-0.0015367729138233699,0.002087098924107522,0.02880859375,0.9991213041357696,0.3591084838844836,0.1796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4340214729309082,0.87049800157547,0.317915141582489,0.1371057778596878,0.07425078004598618,0.7333921790122986,0.3075559139251709,0.9454519152641296,0.0001,-0.30078163743019104,-0.3045605719089508,-0.20363549888134003,-0.203201562166214,-0.2030932754278183,0.3026103079319,-0.3014472723007202,-0.3021121919155121,-0.19977061450481415,-0.20116223394870758,-0.20191268622875214,0.018086565658450127,0.12237785011529922,0.01798621006309986,0.12052072584629059
6,100,119,20,20,4670,4670,0,0.0,4670,0,0.0,0,74.27405939999153,32.223014499933925,0.03787290005129762,38.30059289862402,59.871283299988136,34.81298646681014,quality,,,False,,pending,-0.0005716264681660966,0.0026966162346469314,0.4669646317624066,-0.003892965337312589,0.0017360145300275914,0.023996768646860775,0.9999606576684403,0.3479927003077448,0.18493150684931506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1827706098556519,0.9496466517448425,0.3431795537471771,0.1187412366271019,0.07819782942533493,0.8309054374694824,0.34352025389671326,0.9480785727500916,0.0001,-0.3009181320667267,-0.30591490864753723,-0.20449978113174438,-0.2041572481393814,-0.20400014519691467,0.30371585488319397,-0.3019010126590729,-0.3029040992259979,-0.19917429983615875,-0.2014865279197693,-0.20268307626247406,0.018187662586569786,0.12311877310276031,0.01798621006309986,0.1213781088590622
7,120,139,20,20,4582,4582,0,0.0,4582,0,0.0,0,64.65026509997551,31.781096199905733,0.038583200046559796,32.85494539857609,56.787250400026096,37.73133846764132,quality,,,False,,pending,-0.001499131509465062,0.002028699418992296,0.45390368853178287,-0.0050238189885729095,0.0030093113471391713,0.027891995592249766,0.9988769011365043,0.3127256181711952,0.1388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3786706924438477,1.0690912008285522,0.282147616147995,0.10841535031795502,0.07321151345968246,0.9606759548187256,0.30003172159194946,0.9326704144477844,0.0001,-0.3011130392551422,-0.30696895718574524,-0.20534639060497284,-0.20491944253444672,-0.20473714172840118,0.30413657426834106,-0.3023303747177124,-0.30362609028816223,-0.1987585574388504,-0.20166614651679993,-0.2037046253681183,0.01816284842789173,0.12395326793193817,0.01798621006309986,0.12218306213617325
8,140,159,20,20,4120,4120,0,0.0,4120,0,0.0,0,58.6208301000006,30.20618399954401,0.036634599935496226,29.114199499599636,54.00816640001722,36.58027797485835,quality,,,False,,accepted_98,-0.0007130085705564572,0.0021459160605445506,0.48801015867636754,-0.004520152690103994,0.0020632766020403674,0.029046474368526386,0.9995804241070381,0.3349975830373856,0.17692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9691715836524963,1.2052092552185059,0.29910558462142944,0.09265505522489548,0.07845477014780045,1.1125540733337402,0.3119429051876068,0.9311997890472412,0.0001,-0.30174872279167175,-0.30735889077186584,-0.20567405223846436,-0.20524798333644867,-0.20504505932331085,0.30473142862319946,-0.30271270871162415,-0.3045220375061035,-0.19844071567058563,-0.20191846787929535,-0.20466911792755127,0.01821042038500309,0.12428238987922668,0.01798621006309986,0.12284331023693085
9,160,179,20,20,4176,4176,0,0.0,4176,0,0.0,0,60.21462000001338,29.66261100009433,0.042749500018544495,31.40507320064353,52.16692780001904,37.1591251566549,quality,,,False,,accepted_98,0.0008862068396851872,0.0016900817466772753,0.531656036322767,-0.003585312677773111,0.0013673932637285554,0.018465909090909092,1.00107893121965,0.37853238144607254,0.22727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0343530178070068,1.2439193725585938,0.23579475283622742,0.07679484039545059,0.06574904918670654,1.1671247482299805,0.24332059919834137,0.922248125076294,0.0001,-0.3021427094936371,-0.3086511492729187,-0.20668120682239532,-0.20615249872207642,-0.2059372514486313,0.3059979975223541,-0.3033427298069,-0.30486351251602173,-0.19818668067455292,-0.20239193737506866,-0.20544134080410004,0.018245935440063477,0.12516441941261292,0.01798621006309986,0.12307027727365494
10,180,199,20,20,3690,3690,0,0.0,3690,0,0.0,0,44.89735010001459,25.117469500080915,0.043362800031900406,22.791174599609803,47.3567241000128,39.99823348721985,quality,,,False,,not_promoted,-0.0005307994734752795,0.008015432647441449,0.5112218389223362,-0.001635301806000543,0.0014929672088955753,0.024656198694017428,1.0012085067814793,0.3593826397033087,0.19827586206896552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8430766463279724,1.3350963592529297,0.26573213934898376,0.055158041417598724,0.11260981112718582,1.2799385786056519,0.24201907217502594,0.8204174041748047,0.0001,-0.3024296164512634,-0.30906108021736145,-0.20703621208667755,-0.20644962787628174,-0.20626655220985413,0.30657586455345154,-0.3037654459476471,-0.30526942014694214,-0.1982528567314148,-0.2027263194322586,-0.2057068794965744,0.018201520666480064,0.12530991435050964,0.01798621006309986,0.12328895181417465
