episode,trajectory_index,base_instance_index,preference_slot,preference_group_id,update_id,instance_id,instance_seed,pressure_type,cost_profile,w_flow,w_cost,w_variance,preference_source,steps,policy_steps,forced_actions,forced_action_ratio,worker_step_command_count,worker_local_physical_forced_action_count,worker_local_physical_forced_share,estimated_worker_step_round_trips_avoided,unattributed_forced_reward,reward,reward_base,reward_shaping,reward_training,expected_reward,reward_identity_error,reward_phase,reward_flow,reward_cost,reward_variance,reward_completion_progress,reward_completion_bonus,reward_quality,reward_truncation,reward_unfinished,reward_feasibility_shaping,completed_operations,time,terminated,truncated,terminal_reason,completed_order_ratio,completed_operation_ratio,total_flow_time,flow_time_objective,reconfiguration_cost,worker_load_variance,quality_score,preference_quality_score,maximum_worker_fatigue,mean_peak_worker_fatigue,safe_fatigue_limit,fatigue_masked_action_count,fatigue_masked_action_ratio,worker_competition_event_count,worker_matching_deficit_event_count,resource_admission_masked_action_count,resource_admission_masked_action_ratio,minimum_worker_alternatives,matching_preserving_worker_action_count,candidate_recovery_advance_count,production_defer_recovery_improvement_count,production_defer_wait_ticks,production_defer_wait_time,conditional_worker_wait_opportunity_count,conditional_worker_wait_selected_count,conditional_worker_wait_total_ticks,conditional_worker_wait_total_time,conditional_worker_wait_pair_gain_sum,conditional_worker_wait_fatigue_improvement_sum,conditional_worker_wait_duration_improvement_ticks_sum,conditional_worker_wait_max_consecutive_observed,reconfiguration_reuse_count,qualification_scarcity_regret,qualification_scarcity_decision_count,conditional_worker_wait_reason_counts,machine_waiting_for_worker_time,completed_reconfigurations,worker_switch_ratio,direct_process_action_count,commit_reconfig_action_count,defer_production_action_count,worker_assign_action_count,advance_event_action_count,forced_action_state_count,forced_production_count,forced_worker_count,forced_pair_count,forced_advance_count,forced_production_pair_count,forced_production_advance_count,forced_worker_pair_count,forced_worker_advance_count,forced_pair_advance_blocked_non_delay_count,forced_worker_pair_non_delay_count,forced_pair_advance_physically_unavailable_count,forced_advance_pair_physically_unavailable_count,forced_wait_dis_count,forced_wait_ins_count,forced_mixed_wait_stage_count,forced_phase_handoff_count,forced_recovery_advance_count,forced_future_event_advance_count,forced_direct_process_count,forced_commit_reconfig_count,forced_defer_production_count,forced_worker_assign_count,forced_advance_event_count,forced_action_chain_count,longest_forced_action_chain,mean_forced_action_chain_length,schedule_violation_count,parallel_envs,batch_transition_count,sampling_wall_time_seconds,policy_inference_time_seconds,generation_time_seconds,environment_step_time_seconds,ppo_update_time_seconds,loss_scope,candidate_status,policy_loss,value_loss,entropy,loss,approx_kl,clip_fraction,ratio_mean,gradient_norm,gradient_clipped_fraction,gradient_norm_max,return_mean,return_std,advantage_mean,advantage_std,value_prediction_mean,value_prediction_std,pre_update_explained_variance,learning_rate,policy_head_weight_production_processing_time_norm,policy_head_weight_production_reconfiguration_time_norm,policy_head_weight_production_fixed_reconfiguration_cost_norm,policy_head_weight_production_estimated_labor_cost_norm,policy_head_weight_production_estimated_downtime_cost_norm,policy_head_weight_production_horizon_slack_norm,policy_head_weight_worker_stage_duration_norm,policy_head_weight_worker_projected_fatigue_ratio,policy_head_weight_worker_incremental_labor_cost_norm,policy_head_weight_worker_incremental_downtime_cost_norm,policy_head_weight_worker_incremental_load_variance_norm,policy_head_gate_production_common,policy_head_gate_production_residual,policy_head_gate_worker_common,policy_head_gate_worker_residual,policy_head_preference_action_scale,policy_head_preference_action_scale_production,policy_head_preference_action_scale_worker
0,0,0,0,0,1,train_fatigue_bottleneck_1000000,1000000,fatigue_bottleneck,balanced_cost,1.0,0.0,0.0,group_anchor_0,234,234,0,0.0,234,0,0.0,0,0.0,-0.2291666666666663,-0.16666666666666632,-0.06249999999999997,-0.2291666666666663,-0.16666666666666669,3.608224830031759e-16,feasibility,-4256.200000000001,-643.6570118439599,-17.02000000000001,0.6666666666666669,0.0,-0.7800667130970272,-1.0,-0.3333333333333333,-0.06249999999999997,70,240.0,False,True,horizon,0.6666666666666666,0.8641975308641975,,4256.200000000001,643.6570118439599,17.02000000000001,0.5583043342767644,0.7800667130970272,0.6023808938999999,0.4466689059,0.75,0,0.0,0,0,48,0.03812549642573471,1,63,1,4,2077,207.70000000000002,0,0,0,0.0,0,0.0,0,0,42,0.0,0,{},0.0,13,1.0,62,13,111,26,22,60,35,25,3,57,0,35,3,22,3,3,0,57,13,11,2,19,1,57,0,0,35,3,22,36,6,1.6666666666666667,0,10,2133,17.561403500003507,9.063300500041805,0.23607280000578612,1.1359790999922552,18.360802099996363,parallel_episode_batch,not_applicable,0.002182855928207145,0.035775536191923654,0.9177271145231584,0.010893352952895357,1.0436294634446848e-05,0.0,1.0000073822105633,0.5711690733099685,0.45588235294117646,2.5571136474609375,-0.1981038749217987,0.25634998083114624,0.1763039380311966,0.2743694484233856,-0.3744077682495117,0.051272761076688766,-0.14552605152130127,0.0001,-0.2998790144920349,-0.29991036653518677,-0.19996698200702667,-0.19997082650661469,-0.1999790072441101,0.2997673749923706,-0.300327867269516,-0.30033108592033386,-0.19987079501152039,-0.2001873254776001,-0.20048627257347107,0.01798621006309986,0.1191914826631546,0.01798621006309986,0.11940937489271164,0.0,1.499595284461975,1.0010966062545776
1,1,0,1,0,1,train_fatigue_bottleneck_1000000,1000000,fatigue_bottleneck,balanced_cost,0.0,1.0,0.0,group_anchor_1,281,281,0,0.0,281,0,0.0,0,0.0,0.32638888888888873,0.38888888888888873,-0.062499999999999986,0.32638888888888873,0.38888888888888884,-1.1102230246251565e-16,feasibility,-2472.0000000000005,-829.90431928533,-10.988055555555556,0.9444444444444448,0.0,-0.4535233402856,-1.0,-0.05555555555555555,-0.062499999999999986,80,240.0,False,True,horizon,0.9444444444444444,0.9876543209876543,,2472.0000000000005,829.90431928533,10.988055555555556,0.5086917766663783,0.4535233402856,0.5684808939000001,0.4551189059,0.75,0,0.0,0,0,9,0.009584664536741214,1,85,0,9,1880,188.0,0,0,0,0.0,0,0.0,0,0,49,0.0,0,{},0.0,17,0.8823529411764706,64,17,136,34,30,95,61,34,4,91,0,61,4,30,4,4,0,91,14,16,2,24,0,91,0,0,61,4,30,61,7,1.5573770491803278,0,10,2133,17.561403500003507,9.063300500041805,0.21937540000362787,0.8091346999790403,18.360802099996363,parallel_episode_batch,not_applicable,0.002182855928207145,0.035775536191923654,0.9177271145231584,0.010893352952895357,1.0436294634446848e-05,0.0,1.0000073822105633,0.5711690733099685,0.45588235294117646,2.5571136474609375,-0.1981038749217987,0.25634998083114624,0.1763039380311966,0.2743694484233856,-0.3744077682495117,0.051272761076688766,-0.14552605152130127,0.0001,-0.2998790144920349,-0.29991036653518677,-0.19996698200702667,-0.19997082650661469,-0.1999790072441101,0.2997673749923706,-0.300327867269516,-0.30033108592033386,-0.19987079501152039,-0.2001873254776001,-0.20048627257347107,0.01798621006309986,0.1191914826631546,0.01798621006309986,0.11940937489271164,0.0,1.499595284461975,1.0010966062545776
2,2,0,2,0,1,train_fatigue_bottleneck_1000000,1000000,fatigue_bottleneck,balanced_cost,0.0,0.0,1.0,group_anchor_2,331,331,0,0.0,331,0,0.0,0,0.0,1.9375000000000004,2.0000000000000004,-0.0625,1.9375000000000004,2.0,4.440892098500626e-16,feasibility,-2014.3000000000002,-1233.2315392268706,-2.2800000000000034,1.0000000000000002,1.0,-0.04361132364192817,0.0,0.0,-0.0625,81,237.20000000000002,True,False,completed,1.0,1.0,2014.3000000000002,2014.3000000000002,1233.2315392268706,2.2800000000000034,0.4877219465868535,0.04361132364192814,0.7461871225999996,0.6791689059,0.75,12,0.09523809523809523,1,1,79,0.12440944881889764,0,114,1,11,1878,187.8,0,0,0,0.0,0,0.0,0,0,52,0.0,0,{},0.1,25,1.0,56,25,158,50,42,130,80,50,8,122,0,80,8,42,8,8,0,122,18,25,3,31,16,122,0,0,80,8,42,72,9,1.8055555555555556,0,10,2133,17.561403500003507,9.063300500041805,0.22239080000144895,0.41051320004771696,18.360802099996363,parallel_episode_batch,not_applicable,0.002182855928207145,0.035775536191923654,0.9177271145231584,0.010893352952895357,1.0436294634446848e-05,0.0,1.0000073822105633,0.5711690733099685,0.45588235294117646,2.5571136474609375,-0.1981038749217987,0.25634998083114624,0.1763039380311966,0.2743694484233856,-0.3744077682495117,0.051272761076688766,-0.14552605152130127,0.0001,-0.2998790144920349,-0.29991036653518677,-0.19996698200702667,-0.19997082650661469,-0.1999790072441101,0.2997673749923706,-0.300327867269516,-0.30033108592033386,-0.19987079501152039,-0.2001873254776001,-0.20048627257347107,0.01798621006309986,0.1191914826631546,0.01798621006309986,0.11940937489271164,0.0,1.499595284461975,1.0010966062545776
3,3,0,3,0,1,train_fatigue_bottleneck_1000000,1000000,fatigue_bottleneck,balanced_cost,0.3333333333333333,0.3333333333333333,0.3333333333333333,group_anchor_3,264,264,0,0.0,264,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-2110.6,-704.45602172831,-5.898888888888892,1.0000000000000002,1.0,-0.38545277648199355,0.0,0.0,-0.0625,81,211.9,True,False,completed,1.0,1.0,2110.6,2110.6,704.45602172831,5.898888888888891,0.46386030314857085,0.38545277648199355,0.5267871225999999,0.4015022392333334,0.75,0,0.0,0,0,16,0.017897091722595078,1,74,0,7,1811,181.10000000000002,0,0,0,0.0,0,0.0,0,0,55,0.0,0,{},0.0,15,0.9333333333333333,66,15,130,30,23,79,53,26,3,76,0,53,3,23,3,3,0,76,10,12,2,17,0,76,0,0,53,3,23,53,7,1.490566037735849,0,10,2133,17.561403500003507,9.063300500041805,0.2234759999992093,0.5060271999827819,18.360802099996363,parallel_episode_batch,not_applicable,0.002182855928207145,0.035775536191923654,0.9177271145231584,0.010893352952895357,1.0436294634446848e-05,0.0,1.0000073822105633,0.5711690733099685,0.45588235294117646,2.5571136474609375,-0.1981038749217987,0.25634998083114624,0.1763039380311966,0.2743694484233856,-0.3744077682495117,0.051272761076688766,-0.14552605152130127,0.0001,-0.2998790144920349,-0.29991036653518677,-0.19996698200702667,-0.19997082650661469,-0.1999790072441101,0.2997673749923706,-0.300327867269516,-0.30033108592033386,-0.19987079501152039,-0.2001873254776001,-0.20048627257347107,0.01798621006309986,0.1191914826631546,0.01798621006309986,0.11940937489271164,0.0,1.499595284461975,1.0010966062545776
4,4,0,4,0,1,train_fatigue_bottleneck_1000000,1000000,fatigue_bottleneck,balanced_cost,0.5,0.3,0.2,group_anchor_4,275,275,0,0.0,275,0,0.0,0,0.0,1.9374999999999996,1.9999999999999996,-0.0625,1.9374999999999996,2.0,-4.440892098500626e-16,feasibility,-2673.100000000001,-783.2775634985002,-9.840000000000005,1.0000000000000002,1.0,-0.5097434726220491,0.0,0.0,-0.0625,81,232.5,True,False,completed,1.0,1.0,2673.100000000001,2673.100000000001,783.2775634985002,9.840000000000005,0.5097434726220491,0.5097434726220491,0.39082304389999994,0.3144481373833334,0.75,0,0.0,0,0,0,0.0,1,75,0,5,1977,197.70000000000002,0,0,0,0.0,0,0.0,0,0,51,0.0,0,{},0.0,16,1.0,65,16,136,32,26,93,63,30,4,89,0,63,4,26,4,4,0,89,12,14,2,20,0,89,0,0,63,4,26,58,8,1.603448275862069,0,10,2133,17.561403500003507,9.063300500041805,0.21600860000035027,2.121272600044904,18.360802099996363,parallel_episode_batch,not_applicable,0.002182855928207145,0.035775536191923654,0.9177271145231584,0.010893352952895357,1.0436294634446848e-05,0.0,1.0000073822105633,0.5711690733099685,0.45588235294117646,2.5571136474609375,-0.1981038749217987,0.25634998083114624,0.1763039380311966,0.2743694484233856,-0.3744077682495117,0.051272761076688766,-0.14552605152130127,0.0001,-0.2998790144920349,-0.29991036653518677,-0.19996698200702667,-0.19997082650661469,-0.1999790072441101,0.2997673749923706,-0.300327867269516,-0.30033108592033386,-0.19987079501152039,-0.2001873254776001,-0.20048627257347107,0.01798621006309986,0.1191914826631546,0.01798621006309986,0.11940937489271164,0.0,1.499595284461975,1.0010966062545776
5,5,1,0,1,1,train_easy_1000001,1000001,easy,balanced_cost,1.0,0.0,0.0,group_anchor_0,147,147,0,0.0,147,0,0.0,0,0.0,1.9375000000000002,2.0,-0.0625,1.9375000000000002,2.0,0.0,feasibility,-1679.9,-187.51695898175998,-3.795833333333334,0.9999999999999997,1.0,-0.5833188652383764,0.0,0.0,-0.0625,50,218.0,True,False,completed,1.0,1.0,1679.9,1679.9,187.51695898175998,3.795833333333334,0.3531434590359691,0.5833188652383764,0.13300000000000003,0.10205883235000002,0.75,0,0.0,0,0,0,0.0,2,28,0,4,2060,206.0,0,0,0,0.0,0,0.0,0,0,14,0.0,0,{},0.0,5,1.0,45,5,78,10,9,28,19,9,0,28,0,19,0,9,0,0,0,28,3,4,0,7,0,28,0,0,19,0,9,20,3,1.4,0,10,2133,17.561403500003507,9.063300500041805,0.13010249999933876,0.6079107999103144,18.360802099996363,parallel_episode_batch,not_applicable,0.002182855928207145,0.035775536191923654,0.9177271145231584,0.010893352952895357,1.0436294634446848e-05,0.0,1.0000073822105633,0.5711690733099685,0.45588235294117646,2.5571136474609375,-0.1981038749217987,0.25634998083114624,0.1763039380311966,0.2743694484233856,-0.3744077682495117,0.051272761076688766,-0.14552605152130127,0.0001,-0.2998790144920349,-0.29991036653518677,-0.19996698200702667,-0.19997082650661469,-0.1999790072441101,0.2997673749923706,-0.300327867269516,-0.30033108592033386,-0.19987079501152039,-0.2001873254776001,-0.20048627257347107,0.01798621006309986,0.1191914826631546,0.01798621006309986,0.11940937489271164,0.0,1.499595284461975,1.0010966062545776
6,6,1,1,1,1,train_easy_1000001,1000001,easy,balanced_cost,0.0,1.0,0.0,group_anchor_1,149,149,0,0.0,149,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-807.0999999999998,-231.37542214172,-3.94888888888889,0.9999999999999997,1.0,-0.18789998401891997,0.0,0.0,-0.0625,50,192.60000000000002,True,False,completed,1.0,1.0,807.0999999999998,807.0999999999998,231.37542214172,3.94888888888889,0.27207059842754516,0.18789998401891997,0.166,0.11869472303333334,0.75,0,0.0,0,0,0,0.0,2,33,0,2,1785,178.5,0,0,0,0.0,0,0.0,0,0,19,0.0,0,{},0.0,6,1.0,44,6,75,12,12,43,31,12,0,43,0,31,0,12,0,0,0,43,6,4,0,10,0,43,0,0,31,0,12,34,4,1.2647058823529411,0,10,2133,17.561403500003507,9.063300500041805,0.10506049999821698,0.4678592000127537,18.360802099996363,parallel_episode_batch,not_applicable,0.002182855928207145,0.035775536191923654,0.9177271145231584,0.010893352952895357,1.0436294634446848e-05,0.0,1.0000073822105633,0.5711690733099685,0.45588235294117646,2.5571136474609375,-0.1981038749217987,0.25634998083114624,0.1763039380311966,0.2743694484233856,-0.3744077682495117,0.051272761076688766,-0.14552605152130127,0.0001,-0.2998790144920349,-0.29991036653518677,-0.19996698200702667,-0.19997082650661469,-0.1999790072441101,0.2997673749923706,-0.300327867269516,-0.30033108592033386,-0.19987079501152039,-0.2001873254776001,-0.20048627257347107,0.01798621006309986,0.1191914826631546,0.01798621006309986,0.11940937489271164,0.0,1.499595284461975,1.0010966062545776
7,7,1,2,1,1,train_easy_1000001,1000001,easy,balanced_cost,0.0,0.0,1.0,group_anchor_2,153,153,0,0.0,153,0,0.0,0,0.0,1.9374999999999996,1.9999999999999996,-0.0625,1.9374999999999996,2.0,-4.440892098500626e-16,feasibility,-878.5000000000001,-231.78485165535,-0.3613888888888888,0.9999999999999997,1.0,-0.007175911881346482,0.0,0.0,-0.0625,50,208.5,True,False,completed,1.0,1.0,878.5000000000001,878.5000000000001,231.78485165535,0.3613888888888889,0.26921644334037415,0.007175911881346491,0.13300000000000003,0.11049638488333335,0.75,0,0.0,0,0,0,0.0,3,36,0,3,1847,184.70000000000002,0,0,0,0.0,0,0.0,0,0,19,0.0,0,{},0.0,6,1.0,44,6,79,12,12,43,31,12,0,43,0,31,0,12,0,0,0,43,5,5,0,10,0,42,0,0,31,0,12,30,3,1.4333333333333333,0,10,2133,17.561403500003507,9.063300500041805,0.12279689999559196,0.5190310000180034,18.360802099996363,parallel_episode_batch,not_applicable,0.002182855928207145,0.035775536191923654,0.9177271145231584,0.010893352952895357,1.0436294634446848e-05,0.0,1.0000073822105633,0.5711690733099685,0.45588235294117646,2.5571136474609375,-0.1981038749217987,0.25634998083114624,0.1763039380311966,0.2743694484233856,-0.3744077682495117,0.051272761076688766,-0.14552605152130127,0.0001,-0.2998790144920349,-0.29991036653518677,-0.19996698200702667,-0.19997082650661469,-0.1999790072441101,0.2997673749923706,-0.300327867269516,-0.30033108592033386,-0.19987079501152039,-0.2001873254776001,-0.20048627257347107,0.01798621006309986,0.1191914826631546,0.01798621006309986,0.11940937489271164,0.0,1.499595284461975,1.0010966062545776
8,8,1,3,1,1,train_easy_1000001,1000001,easy,balanced_cost,0.3333333333333333,0.3333333333333333,0.3333333333333333,group_anchor_3,154,154,0,0.0,154,0,0.0,0,0.0,1.9375000000000002,2.0,-0.0625,1.9375000000000002,2.0,0.0,feasibility,-861.7,-264.82879227086,-9.559166666666668,0.9999999999999997,1.0,-0.2626112937387873,0.0,0.0,-0.0625,50,181.70000000000002,True,False,completed,1.0,1.0,861.7,861.7,264.82879227086,9.559166666666668,0.3038915091219787,0.2626112937387873,0.3002,0.16991305155000003,0.75,0,0.0,0,0,0,0.0,2,37,0,0,1652,165.20000000000002,0,0,0,0.0,0,0.0,0,0,17,0.0,0,{},0.0,7,1.0,43,7,78,14,12,43,31,12,0,43,0,31,0,12,0,0,0,43,4,4,1,7,0,43,0,0,31,0,12,30,6,1.4333333333333333,0,10,2133,17.561403500003507,9.063300500041805,0.119726000004448,0.49393079998117173,18.360802099996363,parallel_episode_batch,not_applicable,0.002182855928207145,0.035775536191923654,0.9177271145231584,0.010893352952895357,1.0436294634446848e-05,0.0,1.0000073822105633,0.5711690733099685,0.45588235294117646,2.5571136474609375,-0.1981038749217987,0.25634998083114624,0.1763039380311966,0.2743694484233856,-0.3744077682495117,0.051272761076688766,-0.14552605152130127,0.0001,-0.2998790144920349,-0.29991036653518677,-0.19996698200702667,-0.19997082650661469,-0.1999790072441101,0.2997673749923706,-0.300327867269516,-0.30033108592033386,-0.19987079501152039,-0.2001873254776001,-0.20048627257347107,0.01798621006309986,0.1191914826631546,0.01798621006309986,0.11940937489271164,0.0,1.499595284461975,1.0010966062545776
9,9,1,4,1,1,train_easy_1000001,1000001,easy,balanced_cost,0.5,0.3,0.2,group_anchor_4,145,145,0,0.0,145,0,0.0,0,0.0,1.9375000000000002,2.0,-0.0625,1.9375000000000002,2.0,0.0,feasibility,-605.9,-223.69922132611995,-5.1588888888888915,0.9999999999999997,1.0,-0.24130296437281185,0.0,0.0,-0.0625,50,187.4,True,False,completed,1.0,1.0,605.9,605.9,223.69922132611995,5.1588888888888915,0.24130296437281185,0.24130296437281185,0.15336758110000004,0.1286438215,0.75,0,0.0,0,0,0,0.0,2,34,0,0,1682,168.20000000000002,0,0,0,0.0,0,0.0,0,0,17,0.0,0,{},0.0,6,1.0,44,6,73,12,10,46,36,10,0,46,0,36,0,10,0,0,0,46,4,6,0,10,0,46,0,0,36,0,10,31,4,1.4838709677419355,0,10,2133,17.561403500003507,9.063300500041805,0.12048100000538398,0.30207109996990766,18.360802099996363,parallel_episode_batch,not_applicable,0.002182855928207145,0.035775536191923654,0.9177271145231584,0.010893352952895357,1.0436294634446848e-05,0.0,1.0000073822105633,0.5711690733099685,0.45588235294117646,2.5571136474609375,-0.1981038749217987,0.25634998083114624,0.1763039380311966,0.2743694484233856,-0.3744077682495117,0.051272761076688766,-0.14552605152130127,0.0001,-0.2998790144920349,-0.29991036653518677,-0.19996698200702667,-0.19997082650661469,-0.1999790072441101,0.2997673749923706,-0.300327867269516,-0.30033108592033386,-0.19987079501152039,-0.2001873254776001,-0.20048627257347107,0.01798621006309986,0.1191914826631546,0.01798621006309986,0.11940937489271164,0.0,1.499595284461975,1.0010966062545776
