episode,update_id,instance_id,instance_seed,pressure_type,cost_profile,w_flow,w_cost,w_variance,preference_source,steps,policy_steps,forced_actions,forced_action_ratio,worker_step_command_count,worker_local_physical_forced_action_count,worker_local_physical_forced_share,estimated_worker_step_round_trips_avoided,unattributed_forced_reward,reward,reward_base,reward_shaping,reward_training,expected_reward,reward_identity_error,reward_phase,reward_flow,reward_cost,reward_variance,reward_completion_progress,reward_completion_bonus,reward_quality,reward_truncation,reward_unfinished,reward_feasibility_shaping,completed_operations,time,terminated,truncated,terminal_reason,completed_order_ratio,completed_operation_ratio,total_flow_time,flow_time_objective,reconfiguration_cost,worker_load_variance,quality_score,preference_quality_score,maximum_worker_fatigue,mean_peak_worker_fatigue,safe_fatigue_limit,fatigue_masked_action_count,fatigue_masked_action_ratio,worker_competition_event_count,worker_matching_deficit_event_count,resource_admission_masked_action_count,resource_admission_masked_action_ratio,minimum_worker_alternatives,matching_preserving_worker_action_count,candidate_recovery_advance_count,production_defer_recovery_improvement_count,production_defer_wait_ticks,production_defer_wait_time,conditional_worker_wait_opportunity_count,conditional_worker_wait_selected_count,conditional_worker_wait_total_ticks,conditional_worker_wait_total_time,conditional_worker_wait_pair_gain_sum,conditional_worker_wait_fatigue_improvement_sum,conditional_worker_wait_duration_improvement_ticks_sum,conditional_worker_wait_max_consecutive_observed,reconfiguration_reuse_count,qualification_scarcity_regret,qualification_scarcity_decision_count,conditional_worker_wait_reason_counts,machine_waiting_for_worker_time,completed_reconfigurations,worker_switch_ratio,direct_process_action_count,commit_reconfig_action_count,defer_production_action_count,worker_assign_action_count,advance_event_action_count,forced_action_state_count,forced_production_count,forced_worker_count,forced_pair_count,forced_advance_count,forced_production_pair_count,forced_production_advance_count,forced_worker_pair_count,forced_worker_advance_count,forced_pair_advance_blocked_non_delay_count,forced_worker_pair_non_delay_count,forced_pair_advance_physically_unavailable_count,forced_advance_pair_physically_unavailable_count,forced_wait_dis_count,forced_wait_ins_count,forced_mixed_wait_stage_count,forced_phase_handoff_count,forced_recovery_advance_count,forced_future_event_advance_count,forced_direct_process_count,forced_commit_reconfig_count,forced_defer_production_count,forced_worker_assign_count,forced_advance_event_count,forced_action_chain_count,longest_forced_action_chain,mean_forced_action_chain_length,schedule_violation_count,parallel_envs,batch_transition_count,sampling_wall_time_seconds,policy_inference_time_seconds,generation_time_seconds,environment_step_time_seconds,ppo_update_time_seconds,loss_scope,candidate_status,policy_loss,value_loss,entropy,loss,approx_kl,clip_fraction,ratio_mean,gradient_norm,gradient_clipped_fraction,gradient_norm_max,return_mean,return_std,advantage_mean,advantage_std,value_prediction_mean,value_prediction_std,pre_update_explained_variance,learning_rate,policy_head_weight_production_processing_time_norm,policy_head_weight_production_reconfiguration_time_norm,policy_head_weight_production_fixed_reconfiguration_cost_norm,policy_head_weight_production_estimated_labor_cost_norm,policy_head_weight_production_estimated_downtime_cost_norm,policy_head_weight_production_horizon_slack_norm,policy_head_weight_worker_stage_duration_norm,policy_head_weight_worker_projected_fatigue_ratio,policy_head_weight_worker_incremental_labor_cost_norm,policy_head_weight_worker_incremental_downtime_cost_norm,policy_head_weight_worker_incremental_load_variance_norm,policy_head_gate_production_common,policy_head_gate_production_residual,policy_head_gate_worker_common,policy_head_gate_worker_residual
0,1,train_fatigue_bottleneck_1000000,1000000,fatigue_bottleneck,balanced_cost,0.0,0.0,1.0,anchor_2,352,352,0,0.0,352,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-1691.9000000000008,-1197.1980017135993,-4.021388888888887,1.0000000000000002,1.0,-0.07444067936054131,0.0,0.0,-0.0625,81,161.5,True,False,completed,1.0,1.0,1691.9000000000008,1691.9000000000008,1197.1980017135993,4.021388888888887,0.470874546639244,0.07444067936054131,0.6814808939,0.6082689059,0.75,6,0.04081632653061224,18,18,20,0.08888888888888889,0,106,1,1,1135,113.5,0,0,0,0.0,0,0.0,0,0,47,0.0,0,{},4.0,24,0.875,57,24,161,48,62,218,145,73,11,207,0,145,11,62,11,11,0,207,27,63,1,60,6,207,0,0,145,11,62,107,40,2.0373831775700935,0,10,2140,19.59160789998714,14.49641340051312,0.21308970003155991,0.25974870030768216,23.416902899974957,parallel_episode_batch,feasibility_best,-0.0021646707181764,0.027117740458754057,0.4915970883825246,0.006478228212525959,0.0018093158706666574,0.02849264705882353,1.000636016621309,0.5744838046238703,0.5294117647058824,1.7464637756347656,0.06479169428348541,0.19928774237632751,0.1772845983505249,0.25884342193603516,-0.11249291151762009,0.1022515669465065,-0.6869921684265137,0.0001,-0.3002214729785919,-0.3000982105731964,-0.200179785490036,-0.200077623128891,-0.20000670850276947,0.3001050353050232,-0.3001261055469513,-0.30007150769233704,-0.19997538626194,-0.20008234679698944,-0.19966267049312592,0.017979305237531662,0.11913998425006866,0.01798621006309986,0.1191515401005745
1,1,train_easy_1000001,1000001,easy,balanced_cost,0.5,0.3,0.2,anchor_4,190,190,0,0.0,190,0,0.0,0,0.0,1.9374999999999998,1.9999999999999998,-0.0625,1.9374999999999998,2.0,-2.220446049250313e-16,feasibility,-523.6,-505.3205516674999,-7.026666666666668,0.9999999999999997,1.0,-0.27724173127058593,0.0,0.0,-0.0625,50,167.3,True,False,completed,1.0,1.0,523.6,523.6,505.3205516674999,7.026666666666668,0.27724173127058593,0.27724173127058593,0.3135,0.17461666666666667,0.75,0,0.0,0,0,0,0.0,2,76,0,1,1257,125.7,0,0,0,0.0,0,0.0,0,0,21,0.0,0,{},0.0,13,0.8461538461538461,37,13,89,26,25,107,82,25,0,107,0,82,0,25,0,0,0,107,13,13,1,25,0,107,0,0,82,0,25,72,6,1.4861111111111112,0,10,2140,19.59160789998714,14.49641340051312,0.16919749998487532,0.13697000045794994,23.416902899974957,parallel_episode_batch,feasibility_best,-0.0021646707181764,0.027117740458754057,0.4915970883825246,0.006478228212525959,0.0018093158706666574,0.02849264705882353,1.000636016621309,0.5744838046238703,0.5294117647058824,1.7464637756347656,0.06479169428348541,0.19928774237632751,0.1772845983505249,0.25884342193603516,-0.11249291151762009,0.1022515669465065,-0.6869921684265137,0.0001,-0.3002214729785919,-0.3000982105731964,-0.200179785490036,-0.200077623128891,-0.20000670850276947,0.3001050353050232,-0.3001261055469513,-0.30007150769233704,-0.19997538626194,-0.20008234679698944,-0.19966267049312592,0.017979305237531662,0.11913998425006866,0.01798621006309986,0.1191515401005745
2,1,train_easy_1000002,1000002,easy,balanced_cost,0.3053001537978902,0.1638740316943252,0.5308258145077847,dirichlet,143,143,0,0.0,143,0,0.0,0,0.0,1.9374999999999998,1.9999999999999998,-0.0625,1.9374999999999998,2.0,-2.220446049250313e-16,feasibility,-454.7000000000001,-312.05802334901995,-16.485555555555553,0.9999999999999998,1.0,-0.25449186695340364,0.0,0.0,-0.0625,43,169.5,True,False,completed,1.0,1.0,454.7000000000001,454.7000000000001,312.05802334901995,16.485555555555553,0.2583394722795427,0.25449186695340364,0.19030000000000005,0.11950437321666668,0.75,0,0.0,0,0,0,0.0,2,47,0,0,1477,147.70000000000002,0,0,0,0.0,0,0.0,0,0,14,0.0,0,{},0.0,8,1.0,35,8,70,16,14,76,62,14,0,76,0,62,0,14,0,0,0,76,7,8,1,14,0,76,0,0,62,0,14,51,7,1.4901960784313726,0,10,2140,19.59160789998714,14.49641340051312,2.6308749999734573,0.10206270025810227,23.416902899974957,parallel_episode_batch,feasibility_best,-0.0021646707181764,0.027117740458754057,0.4915970883825246,0.006478228212525959,0.0018093158706666574,0.02849264705882353,1.000636016621309,0.5744838046238703,0.5294117647058824,1.7464637756347656,0.06479169428348541,0.19928774237632751,0.1772845983505249,0.25884342193603516,-0.11249291151762009,0.1022515669465065,-0.6869921684265137,0.0001,-0.3002214729785919,-0.3000982105731964,-0.200179785490036,-0.200077623128891,-0.20000670850276947,0.3001050353050232,-0.3001261055469513,-0.30007150769233704,-0.19997538626194,-0.20008234679698944,-0.19966267049312592,0.017979305237531662,0.11913998425006866,0.01798621006309986,0.1191515401005745
3,1,train_balanced_1000003,1000003,balanced,balanced_cost,0.05518236740815784,0.555582696904091,0.389234935687751,dirichlet,199,199,0,0.0,199,0,0.0,0,0.0,1.9375000000000007,2.000000000000001,-0.0625,1.9375000000000007,2.0,8.881784197001252e-16,feasibility,-676.8000000000002,-515.3673448875998,-26.26138888888889,0.9999999999999997,1.0,-0.34288689593000893,0.0,0.0,-0.0625,57,216.3,True,False,completed,1.0,1.0,676.8000000000002,676.8000000000002,515.3673448875998,26.26138888888889,0.3512071505962896,0.34288689593000893,0.1572,0.14093377313333336,0.75,0,0.0,0,0,0,0.0,2,71,0,1,1662,166.20000000000002,0,0,0,0.0,0,0.0,0,0,19,0.0,0,{},0.0,12,1.0,45,12,94,24,24,108,84,24,0,108,0,84,0,24,0,0,0,108,12,12,0,24,0,108,0,0,84,0,24,76,4,1.4210526315789473,0,10,2140,19.59160789998714,14.49641340051312,0.18051629996625707,0.12710660026641563,23.416902899974957,parallel_episode_batch,feasibility_best,-0.0021646707181764,0.027117740458754057,0.4915970883825246,0.006478228212525959,0.0018093158706666574,0.02849264705882353,1.000636016621309,0.5744838046238703,0.5294117647058824,1.7464637756347656,0.06479169428348541,0.19928774237632751,0.1772845983505249,0.25884342193603516,-0.11249291151762009,0.1022515669465065,-0.6869921684265137,0.0001,-0.3002214729785919,-0.3000982105731964,-0.200179785490036,-0.200077623128891,-0.20000670850276947,0.3001050353050232,-0.3001261055469513,-0.30007150769233704,-0.19997538626194,-0.20008234679698944,-0.19966267049312592,0.017979305237531662,0.11913998425006866,0.01798621006309986,0.1191515401005745
4,1,train_balanced_1000004,1000004,balanced,balanced_cost,0.3600587386649546,0.0696278397569974,0.5703134215780481,dirichlet,210,210,0,0.0,210,0,0.0,0,0.0,1.9374999999999998,1.9999999999999998,-0.0625,1.9374999999999998,2.0,-2.220446049250313e-16,feasibility,-792.4000000000001,-450.2351042947702,-3.8613888888888894,0.9999999999999999,1.0,-0.2057023218152749,0.0,0.0,-0.0625,64,198.60000000000002,True,False,completed,1.0,1.0,792.4000000000001,792.4000000000001,450.2351042947702,3.8613888888888894,0.3063308854791482,0.2057023218152749,0.177,0.14835821415,0.75,0,0.0,0,0,0,0.0,2,69,0,0,1610,161.0,0,0,0,0.0,0,0.0,0,0,29,0.0,0,{},0.0,12,1.0,52,12,99,24,23,102,79,23,0,102,0,79,0,23,0,0,0,102,11,12,1,22,0,102,0,0,79,0,23,70,3,1.457142857142857,0,10,2140,19.59160789998714,14.49641340051312,0.1204198999912478,0.12740350008243695,23.416902899974957,parallel_episode_batch,feasibility_best,-0.0021646707181764,0.027117740458754057,0.4915970883825246,0.006478228212525959,0.0018093158706666574,0.02849264705882353,1.000636016621309,0.5744838046238703,0.5294117647058824,1.7464637756347656,0.06479169428348541,0.19928774237632751,0.1772845983505249,0.25884342193603516,-0.11249291151762009,0.1022515669465065,-0.6869921684265137,0.0001,-0.3002214729785919,-0.3000982105731964,-0.200179785490036,-0.200077623128891,-0.20000670850276947,0.3001050353050232,-0.3001261055469513,-0.30007150769233704,-0.19997538626194,-0.20008234679698944,-0.19966267049312592,0.017979305237531662,0.11913998425006866,0.01798621006309986,0.1191515401005745
5,1,train_easy_1000005,1000005,easy,downtime_dominant,0.30336135274304127,0.2831273494401623,0.4135112978167964,dirichlet,169,169,0,0.0,169,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-489.7999999999999,-563.9496217136702,-18.105833333333344,0.9999999999999998,1.0,-0.29995650478557706,0.0,0.0,-0.0625,45,172.3,True,False,completed,1.0,1.0,489.7999999999999,489.7999999999999,563.9496217136702,18.10583333333334,0.3062760574213008,0.29995650478557706,0.21220000000000003,0.1471,0.75,0,0.0,0,0,0,0.0,2,63,0,0,1345,134.5,0,0,0,0.0,0,0.0,0,0,9,0.0,0,{},0.0,11,0.9090909090909091,34,11,80,22,22,96,74,22,0,96,0,74,0,22,0,0,0,96,11,11,0,22,0,96,0,0,74,0,22,64,5,1.5,0,10,2140,19.59160789998714,14.49641340051312,0.11548580002272502,0.12430570041760802,23.416902899974957,parallel_episode_batch,feasibility_best,-0.0021646707181764,0.027117740458754057,0.4915970883825246,0.006478228212525959,0.0018093158706666574,0.02849264705882353,1.000636016621309,0.5744838046238703,0.5294117647058824,1.7464637756347656,0.06479169428348541,0.19928774237632751,0.1772845983505249,0.25884342193603516,-0.11249291151762009,0.1022515669465065,-0.6869921684265137,0.0001,-0.3002214729785919,-0.3000982105731964,-0.200179785490036,-0.200077623128891,-0.20000670850276947,0.3001050353050232,-0.3001261055469513,-0.30007150769233704,-0.19997538626194,-0.20008234679698944,-0.19966267049312592,0.017979305237531662,0.11913998425006866,0.01798621006309986,0.1191515401005745
6,1,train_balanced_1000006,1000006,balanced,fixed_cost_dominant,0.1383119436380508,0.45989785361859215,0.40179020274335703,dirichlet,238,238,0,0.0,238,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-822.1,-558.6026216796199,-12.155555555555557,1.0000000000000002,1.0,-0.29963576499257155,0.0,0.0,-0.0625,66,199.5,True,False,completed,1.0,1.0,822.1,822.1,558.6026216796199,12.155555555555557,0.3499119979223093,0.29963576499257155,0.23958183489999998,0.17406031205000003,0.75,0,0.0,0,0,0,0.0,2,87,0,1,1514,151.4,0,0,0,0.0,0,0.0,0,0,31,0.0,0,{},0.0,15,1.0,51,15,113,30,29,115,86,29,0,115,0,86,0,29,0,0,0,115,13,11,0,24,0,115,0,0,86,0,29,81,3,1.4197530864197532,0,10,2140,19.59160789998714,14.49641340051312,0.16978699999162927,0.20245549944229424,23.416902899974957,parallel_episode_batch,feasibility_best,-0.0021646707181764,0.027117740458754057,0.4915970883825246,0.006478228212525959,0.0018093158706666574,0.02849264705882353,1.000636016621309,0.5744838046238703,0.5294117647058824,1.7464637756347656,0.06479169428348541,0.19928774237632751,0.1772845983505249,0.25884342193603516,-0.11249291151762009,0.1022515669465065,-0.6869921684265137,0.0001,-0.3002214729785919,-0.3000982105731964,-0.200179785490036,-0.200077623128891,-0.20000670850276947,0.3001050353050232,-0.3001261055469513,-0.30007150769233704,-0.19997538626194,-0.20008234679698944,-0.19966267049312592,0.017979305237531662,0.11913998425006866,0.01798621006309986,0.1191515401005745
7,1,train_balanced_1000007,1000007,balanced,balanced_cost,0.28451645643308326,0.5697427535221415,0.14574079004477528,dirichlet,196,196,0,0.0,196,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-681.4000000000001,-522.0689588569103,-10.485555555555559,0.9999999999999998,1.0,-0.32373194278710443,0.0,0.0,-0.0625,53,187.60000000000002,True,False,completed,1.0,1.0,681.4000000000001,681.4000000000001,522.0689588569103,10.485555555555559,0.31865968566329983,0.32373194278710443,0.1505,0.13175658026666667,0.75,0,0.0,0,0,0,0.0,2,77,0,1,1474,147.4,0,0,0,0.0,0,0.0,0,0,28,0.0,0,{},0.0,13,1.0,40,13,91,26,26,99,73,26,0,99,0,73,0,26,0,0,0,99,13,11,0,24,0,99,0,0,73,0,26,69,3,1.434782608695652,0,10,2140,19.59160789998714,14.49641340051312,0.15118489996530116,0.1637640997651033,23.416902899974957,parallel_episode_batch,feasibility_best,-0.0021646707181764,0.027117740458754057,0.4915970883825246,0.006478228212525959,0.0018093158706666574,0.02849264705882353,1.000636016621309,0.5744838046238703,0.5294117647058824,1.7464637756347656,0.06479169428348541,0.19928774237632751,0.1772845983505249,0.25884342193603516,-0.11249291151762009,0.1022515669465065,-0.6869921684265137,0.0001,-0.3002214729785919,-0.3000982105731964,-0.200179785490036,-0.200077623128891,-0.20000670850276947,0.3001050353050232,-0.3001261055469513,-0.30007150769233704,-0.19997538626194,-0.20008234679698944,-0.19966267049312592,0.017979305237531662,0.11913998425006866,0.01798621006309986,0.1191515401005745
8,1,train_fatigue_bottleneck_1000008,1000008,fatigue_bottleneck,labor_dominant,0.0,1.0,0.0,anchor_1,282,282,0,0.0,282,0,0.0,0,0.0,1.9375000000000002,2.0,-0.06249999999999997,1.9375000000000002,2.0,0.0,feasibility,-1437.9,-899.6829864532997,-8.654722222222228,1.0,1.0,-0.473596380485043,0.0,0.0,-0.06249999999999997,71,172.0,True,False,completed,1.0,1.0,1437.9,1437.9,899.6829864532997,8.654722222222228,0.4441360010190729,0.473596380485043,0.7143771539000001,0.6560939683000001,0.75,15,0.14018691588785046,9,9,27,0.16265060240963855,0,82,1,1,1404,140.4,0,0,0,0.0,0,0.0,0,0,41,0.0,0,{},4.1000000000000005,20,1.0,51,20,128,40,43,159,105,54,11,148,0,105,11,43,11,11,0,148,22,41,3,40,18,148,0,0,105,11,43,82,17,1.9390243902439024,0,10,2140,19.59160789998714,14.49641340051312,0.3810406999546103,0.20344900025520474,23.416902899974957,parallel_episode_batch,feasibility_best,-0.0021646707181764,0.027117740458754057,0.4915970883825246,0.006478228212525959,0.0018093158706666574,0.02849264705882353,1.000636016621309,0.5744838046238703,0.5294117647058824,1.7464637756347656,0.06479169428348541,0.19928774237632751,0.1772845983505249,0.25884342193603516,-0.11249291151762009,0.1022515669465065,-0.6869921684265137,0.0001,-0.3002214729785919,-0.3000982105731964,-0.200179785490036,-0.200077623128891,-0.20000670850276947,0.3001050353050232,-0.3001261055469513,-0.30007150769233704,-0.19997538626194,-0.20008234679698944,-0.19966267049312592,0.017979305237531662,0.11913998425006866,0.01798621006309986,0.1191515401005745
9,1,train_balanced_1000009,1000009,balanced,fixed_cost_dominant,0.2544918728245741,0.28886145182662715,0.4566466753487989,dirichlet,161,161,0,0.0,161,0,0.0,0,0.0,1.9374999999999998,1.9999999999999998,-0.0625,1.9374999999999998,2.0,-2.220446049250313e-16,feasibility,-618.0,-319.40582848584995,-10.126666666666667,1.0,1.0,-0.23334835566033887,0.0,0.0,-0.0625,50,194.9,True,False,completed,1.0,1.0,618.0,618.0,319.40582848584995,10.126666666666667,0.27627636505060815,0.23334835566033887,0.20650000000000002,0.1296782735,0.75,0,0.0,0,0,0,0.0,2,51,0,0,1659,165.9,0,0,0,0.0,0,0.0,0,0,22,0.0,0,{},0.0,9,1.0,41,9,75,18,18,83,65,18,0,83,0,65,0,18,0,0,0,83,9,8,0,17,0,83,0,0,65,0,18,62,4,1.3387096774193548,0,10,2140,19.59160789998714,14.49641340051312,0.08343520003836602,0.14502530061872676,23.416902899974957,parallel_episode_batch,feasibility_best,-0.0021646707181764,0.027117740458754057,0.4915970883825246,0.006478228212525959,0.0018093158706666574,0.02849264705882353,1.000636016621309,0.5744838046238703,0.5294117647058824,1.7464637756347656,0.06479169428348541,0.19928774237632751,0.1772845983505249,0.25884342193603516,-0.11249291151762009,0.1022515669465065,-0.6869921684265137,0.0001,-0.3002214729785919,-0.3000982105731964,-0.200179785490036,-0.200077623128891,-0.20000670850276947,0.3001050353050232,-0.3001261055469513,-0.30007150769233704,-0.19997538626194,-0.20008234679698944,-0.19966267049312592,0.017979305237531662,0.11913998425006866,0.01798621006309986,0.1191515401005745
