episode,update_id,instance_id,instance_seed,pressure_type,cost_profile,w_flow,w_cost,w_variance,preference_source,steps,policy_steps,forced_actions,forced_action_ratio,worker_step_command_count,worker_local_physical_forced_action_count,worker_local_physical_forced_share,estimated_worker_step_round_trips_avoided,unattributed_forced_reward,reward,reward_base,reward_shaping,reward_training,expected_reward,reward_identity_error,reward_phase,reward_flow,reward_cost,reward_variance,reward_completion_progress,reward_completion_bonus,reward_quality,reward_truncation,reward_unfinished,reward_feasibility_shaping,completed_operations,time,terminated,truncated,terminal_reason,completed_order_ratio,completed_operation_ratio,total_flow_time,flow_time_objective,reconfiguration_cost,worker_load_variance,quality_score,preference_quality_score,maximum_worker_fatigue,mean_peak_worker_fatigue,safe_fatigue_limit,fatigue_masked_action_count,fatigue_masked_action_ratio,worker_competition_event_count,worker_matching_deficit_event_count,resource_admission_masked_action_count,resource_admission_masked_action_ratio,minimum_worker_alternatives,matching_preserving_worker_action_count,candidate_recovery_advance_count,production_defer_recovery_improvement_count,production_defer_wait_ticks,production_defer_wait_time,conditional_worker_wait_opportunity_count,conditional_worker_wait_selected_count,conditional_worker_wait_total_ticks,conditional_worker_wait_total_time,conditional_worker_wait_pair_gain_sum,conditional_worker_wait_fatigue_improvement_sum,conditional_worker_wait_duration_improvement_ticks_sum,conditional_worker_wait_max_consecutive_observed,reconfiguration_reuse_count,qualification_scarcity_regret,qualification_scarcity_decision_count,conditional_worker_wait_reason_counts,machine_waiting_for_worker_time,completed_reconfigurations,worker_switch_ratio,direct_process_action_count,commit_reconfig_action_count,defer_production_action_count,worker_assign_action_count,advance_event_action_count,forced_action_state_count,forced_production_count,forced_worker_count,forced_pair_count,forced_advance_count,forced_production_pair_count,forced_production_advance_count,forced_worker_pair_count,forced_worker_advance_count,forced_pair_advance_blocked_non_delay_count,forced_worker_pair_non_delay_count,forced_pair_advance_physically_unavailable_count,forced_advance_pair_physically_unavailable_count,forced_wait_dis_count,forced_wait_ins_count,forced_mixed_wait_stage_count,forced_phase_handoff_count,forced_recovery_advance_count,forced_future_event_advance_count,forced_direct_process_count,forced_commit_reconfig_count,forced_defer_production_count,forced_worker_assign_count,forced_advance_event_count,forced_action_chain_count,longest_forced_action_chain,mean_forced_action_chain_length,schedule_violation_count,parallel_envs,batch_transition_count,sampling_wall_time_seconds,policy_inference_time_seconds,generation_time_seconds,environment_step_time_seconds,ppo_update_time_seconds,loss_scope,candidate_status,policy_loss,value_loss,entropy,loss,approx_kl,clip_fraction,ratio_mean,gradient_norm,gradient_clipped_fraction,gradient_norm_max,return_mean,return_std,advantage_mean,advantage_std,value_prediction_mean,value_prediction_std,pre_update_explained_variance,learning_rate,policy_head_weight_production_processing_time_norm,policy_head_weight_production_reconfiguration_time_norm,policy_head_weight_production_fixed_reconfiguration_cost_norm,policy_head_weight_production_estimated_labor_cost_norm,policy_head_weight_production_estimated_downtime_cost_norm,policy_head_weight_production_horizon_slack_norm,policy_head_weight_worker_stage_duration_norm,policy_head_weight_worker_projected_fatigue_ratio,policy_head_weight_worker_incremental_labor_cost_norm,policy_head_weight_worker_incremental_downtime_cost_norm,policy_head_weight_worker_incremental_load_variance_norm,policy_head_gate_production_common,policy_head_gate_production_residual,policy_head_gate_worker_common,policy_head_gate_worker_residual
0,1,train_fatigue_bottleneck_1000000,1000000,fatigue_bottleneck,balanced_cost,0.3333333333333333,0.3333333333333333,0.3333333333333333,anchor_3,356,356,0,0.0,356,0,0.0,0,0.0,1.9375000000000004,2.0000000000000004,-0.0625,1.9375000000000004,2.0,4.440892098500626e-16,feasibility,-1739.9999999999993,-1390.7667959525509,-4.086666666666665,1.0000000000000002,1.0,-0.4163728790874657,0.0,0.0,-0.0625,81,166.10000000000002,True,False,completed,1.0,1.0,1739.9999999999993,1739.9999999999993,1390.7667959525509,4.086666666666665,0.48554716343488646,0.4163728790874657,0.7496230438999996,0.696952239233333,0.75,15,0.09740259740259741,12,12,23,0.10747663551401869,0,117,4,0,1060,106.0,0,0,0,0.0,0,0.0,0,0,48,0.0,0,{},2.4000000000000004,27,0.9259259259259259,54,27,157,54,64,211,134,77,13,198,0,134,13,64,13,13,0,198,31,54,0,60,14,198,0,0,134,13,64,107,28,1.97196261682243,0,10,2114,19.661076099961065,14.526044999540318,0.23684500000672415,0.2425086998846382,23.74871300003724,parallel_episode_batch,feasibility_best,0.024410489480942488,0.010511097494814107,0.4851723006542991,0.024814316598862848,0.0025863686083432507,0.04044117647058824,0.9982660035876667,0.45799818788381186,0.3382352941176471,2.182295322418213,0.3549206852912903,0.17431512475013733,0.16361892223358154,0.15783070027828217,0.19130174815654755,0.03848006948828697,0.1801908016204834,0.0001,-0.29981529712677,-0.3002551794052124,-0.20009899139404297,-0.20017801225185394,-0.20015251636505127,0.2998896837234497,-0.2995757758617401,-0.2996216118335724,-0.19991865754127502,-0.19970647990703583,-0.19960466027259827,0.017976729199290276,0.11923959851264954,0.01798621006309986,0.11913780122995377
1,1,train_easy_1000001,1000001,easy,balanced_cost,0.0,0.0,1.0,anchor_2,178,178,0,0.0,178,0,0.0,0,0.0,1.9375000000000002,2.0,-0.0625,1.9375000000000002,2.0,0.0,feasibility,-524.9,-411.56537478175,-2.519999999999999,0.9999999999999998,1.0,-0.047981721249047975,0.0,0.0,-0.0625,50,172.9,True,False,completed,1.0,1.0,524.9,524.9,411.56537478175,2.519999999999999,0.24922008457292646,0.04798172124904797,0.16920000000000002,0.13404343780000003,0.75,0,0.0,0,0,0,0.0,2,62,0,0,1399,139.9,0,0,0,0.0,0,0.0,0,0,17,0.0,0,{},0.0,11,1.0,39,11,84,22,22,97,75,22,0,97,0,75,0,22,0,0,0,97,11,11,0,22,0,97,0,0,75,0,22,67,4,1.4477611940298507,0,10,2114,19.661076099961065,14.526044999540318,0.15162530000088736,0.13421749969711527,23.74871300003724,parallel_episode_batch,feasibility_best,0.024410489480942488,0.010511097494814107,0.4851723006542991,0.024814316598862848,0.0025863686083432507,0.04044117647058824,0.9982660035876667,0.45799818788381186,0.3382352941176471,2.182295322418213,0.3549206852912903,0.17431512475013733,0.16361892223358154,0.15783070027828217,0.19130174815654755,0.03848006948828697,0.1801908016204834,0.0001,-0.29981529712677,-0.3002551794052124,-0.20009899139404297,-0.20017801225185394,-0.20015251636505127,0.2998896837234497,-0.2995757758617401,-0.2996216118335724,-0.19991865754127502,-0.19970647990703583,-0.19960466027259827,0.017976729199290276,0.11923959851264954,0.01798621006309986,0.11913780122995377
2,1,train_easy_1000002,1000002,easy,balanced_cost,0.5280397284039658,0.22732522595718815,0.24463504563884597,dirichlet,146,146,0,0.0,146,0,0.0,0,0.0,1.9374999999999998,1.9999999999999998,-0.0625,1.9374999999999998,2.0,-2.220446049250313e-16,feasibility,-460.70000000000005,-318.50294014223,-10.224722222222226,0.9999999999999998,1.0,-0.24293196525638744,0.0,0.0,-0.0625,43,171.70000000000002,True,False,completed,1.0,1.0,460.70000000000005,460.70000000000005,318.50294014223,10.224722222222226,0.24513102382702537,0.24293196525638744,0.15350000000000003,0.12091666666666667,0.75,0,0.0,0,0,0,0.0,2,44,0,0,1501,150.1,0,0,0,0.0,0,0.0,0,0,15,0.0,0,{},0.0,8,1.0,35,8,71,16,16,79,63,16,0,79,0,63,0,16,0,0,0,79,7,8,0,15,0,79,0,0,63,0,16,54,4,1.462962962962963,0,10,2114,19.661076099961065,14.526044999540318,2.654345699993428,0.12117530015530065,23.74871300003724,parallel_episode_batch,feasibility_best,0.024410489480942488,0.010511097494814107,0.4851723006542991,0.024814316598862848,0.0025863686083432507,0.04044117647058824,0.9982660035876667,0.45799818788381186,0.3382352941176471,2.182295322418213,0.3549206852912903,0.17431512475013733,0.16361892223358154,0.15783070027828217,0.19130174815654755,0.03848006948828697,0.1801908016204834,0.0001,-0.29981529712677,-0.3002551794052124,-0.20009899139404297,-0.20017801225185394,-0.20015251636505127,0.2998896837234497,-0.2995757758617401,-0.2996216118335724,-0.19991865754127502,-0.19970647990703583,-0.19960466027259827,0.017976729199290276,0.11923959851264954,0.01798621006309986,0.11913780122995377
3,1,train_balanced_1000003,1000003,balanced,balanced_cost,0.5,0.3,0.2,anchor_4,191,191,0,0.0,191,0,0.0,0,0.0,1.9375000000000002,2.0000000000000004,-0.06250000000000003,1.9375000000000002,2.0,4.440892098500626e-16,feasibility,-688.0999999999998,-482.76736246488014,-18.104722222222225,0.9999999999999997,1.0,-0.33306313643956753,0.0,0.0,-0.06250000000000003,57,212.20000000000002,True,False,completed,1.0,1.0,688.0999999999998,688.0999999999998,482.76736246488014,18.104722222222225,0.33306313643956753,0.33306313643956753,0.18420000000000003,0.13828333333333337,0.75,0,0.0,0,0,0,0.0,2,65,0,0,1705,170.5,0,0,0,0.0,0,0.0,0,0,23,0.0,0,{},0.0,11,1.0,46,11,91,22,21,100,79,21,0,100,0,79,0,21,0,0,0,100,11,11,1,21,0,100,0,0,79,0,21,70,4,1.4285714285714286,0,10,2114,19.661076099961065,14.526044999540318,0.1457183000165969,0.1492377994582057,23.74871300003724,parallel_episode_batch,feasibility_best,0.024410489480942488,0.010511097494814107,0.4851723006542991,0.024814316598862848,0.0025863686083432507,0.04044117647058824,0.9982660035876667,0.45799818788381186,0.3382352941176471,2.182295322418213,0.3549206852912903,0.17431512475013733,0.16361892223358154,0.15783070027828217,0.19130174815654755,0.03848006948828697,0.1801908016204834,0.0001,-0.29981529712677,-0.3002551794052124,-0.20009899139404297,-0.20017801225185394,-0.20015251636505127,0.2998896837234497,-0.2995757758617401,-0.2996216118335724,-0.19991865754127502,-0.19970647990703583,-0.19960466027259827,0.017976729199290276,0.11923959851264954,0.01798621006309986,0.11913780122995377
4,1,train_balanced_1000004,1000004,balanced,balanced_cost,0.42538306127654346,0.19678616092421705,0.3778307777992395,dirichlet,203,203,0,0.0,203,0,0.0,0,0.0,1.9375000000000002,2.0,-0.0625,1.9375000000000002,2.0,0.0,feasibility,-831.6000000000001,-412.8337232860801,-29.078888888888894,0.9999999999999999,1.0,-0.370560497254641,0.0,0.0,-0.0625,64,200.3,True,False,completed,1.0,1.0,831.6000000000001,831.6000000000001,412.8337232860801,29.078888888888894,0.36587106018988264,0.370560497254641,0.22450000000000003,0.1443248808166667,0.75,0,0.0,0,0,0,0.0,2,63,0,2,1753,175.3,0,0,0,0.0,0,0.0,0,0,29,0.0,0,{},0.0,11,1.0,53,11,98,22,19,86,67,19,0,86,0,67,0,19,0,0,0,86,9,9,2,16,0,86,0,0,67,0,19,63,4,1.3650793650793651,0,10,2114,19.661076099961065,14.526044999540318,0.10134130000369623,0.13414799969177693,23.74871300003724,parallel_episode_batch,feasibility_best,0.024410489480942488,0.010511097494814107,0.4851723006542991,0.024814316598862848,0.0025863686083432507,0.04044117647058824,0.9982660035876667,0.45799818788381186,0.3382352941176471,2.182295322418213,0.3549206852912903,0.17431512475013733,0.16361892223358154,0.15783070027828217,0.19130174815654755,0.03848006948828697,0.1801908016204834,0.0001,-0.29981529712677,-0.3002551794052124,-0.20009899139404297,-0.20017801225185394,-0.20015251636505127,0.2998896837234497,-0.2995757758617401,-0.2996216118335724,-0.19991865754127502,-0.19970647990703583,-0.19960466027259827,0.017976729199290276,0.11923959851264954,0.01798621006309986,0.11913780122995377
5,1,train_easy_1000005,1000005,easy,downtime_dominant,0.0,1.0,0.0,anchor_1,154,154,0,0.0,154,0,0.0,0,0.0,1.9375000000000004,2.0000000000000004,-0.0625,1.9375000000000004,2.0,4.440892098500626e-16,feasibility,-489.30000000000007,-482.2580170561,-9.736666666666668,0.9999999999999998,1.0,-0.3253536236652702,0.0,0.0,-0.0625,45,175.60000000000002,True,False,completed,1.0,1.0,489.30000000000007,489.30000000000007,482.2580170561,9.736666666666668,0.27502801399987176,0.3253536236652702,0.2495,0.17226666666666668,0.75,0,0.0,0,0,0,0.0,2,50,0,0,1437,143.70000000000002,0,0,0,0.0,0,0.0,0,0,11,0.0,0,{},0.0,9,1.0,36,9,73,18,18,84,66,18,0,84,0,66,0,18,0,0,0,84,9,8,0,17,0,84,0,0,66,0,18,59,4,1.423728813559322,0,10,2114,19.661076099961065,14.526044999540318,0.12137459998484701,0.10876150004332885,23.74871300003724,parallel_episode_batch,feasibility_best,0.024410489480942488,0.010511097494814107,0.4851723006542991,0.024814316598862848,0.0025863686083432507,0.04044117647058824,0.9982660035876667,0.45799818788381186,0.3382352941176471,2.182295322418213,0.3549206852912903,0.17431512475013733,0.16361892223358154,0.15783070027828217,0.19130174815654755,0.03848006948828697,0.1801908016204834,0.0001,-0.29981529712677,-0.3002551794052124,-0.20009899139404297,-0.20017801225185394,-0.20015251636505127,0.2998896837234497,-0.2995757758617401,-0.2996216118335724,-0.19991865754127502,-0.19970647990703583,-0.19960466027259827,0.017976729199290276,0.11923959851264954,0.01798621006309986,0.11913780122995377
6,1,train_balanced_1000006,1000006,balanced,fixed_cost_dominant,0.6337237319278586,0.08873613625079141,0.27754013182135007,dirichlet,231,231,0,0.0,231,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-772.5,-513.87271913503,-8.49583333333334,1.0000000000000002,1.0,-0.3186186435520769,0.0,0.0,-0.0625,66,200.70000000000002,True,False,completed,1.0,1.0,772.5,772.5,513.87271913503,8.495833333333339,0.32669788923413207,0.3186186435520769,0.21308522610000002,0.16715406180000003,0.75,0,0.0,0,0,0,0.0,1,76,0,1,1565,156.5,0,0,0,0.0,0,0.0,0,0,29,0.0,0,{},0.0,14,0.8571428571428571,52,14,109,28,28,129,99,30,2,127,0,99,2,28,2,2,0,127,14,15,0,27,0,127,0,0,99,2,28,88,7,1.4659090909090908,0,10,2114,19.661076099961065,14.526044999540318,0.11454549996415153,0.1637610999168828,23.74871300003724,parallel_episode_batch,feasibility_best,0.024410489480942488,0.010511097494814107,0.4851723006542991,0.024814316598862848,0.0025863686083432507,0.04044117647058824,0.9982660035876667,0.45799818788381186,0.3382352941176471,2.182295322418213,0.3549206852912903,0.17431512475013733,0.16361892223358154,0.15783070027828217,0.19130174815654755,0.03848006948828697,0.1801908016204834,0.0001,-0.29981529712677,-0.3002551794052124,-0.20009899139404297,-0.20017801225185394,-0.20015251636505127,0.2998896837234497,-0.2995757758617401,-0.2996216118335724,-0.19991865754127502,-0.19970647990703583,-0.19960466027259827,0.017976729199290276,0.11923959851264954,0.01798621006309986,0.11913780122995377
7,1,train_balanced_1000007,1000007,balanced,balanced_cost,0.2863497505250139,0.4236467724875217,0.2900034769874645,dirichlet,184,184,0,0.0,184,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-645.6999999999997,-446.5934576840902,-14.938055555555556,0.9999999999999998,1.0,-0.2976762898841627,0.0,0.0,-0.0625,53,186.10000000000002,True,False,completed,1.0,1.0,645.6999999999997,645.6999999999997,446.5934576840902,14.938055555555556,0.3135434101451652,0.2976762898841627,0.1941,0.1533174587,0.75,0,0.0,0,0,0,0.0,2,62,0,0,1526,152.6,0,0,0,0.0,0,0.0,0,0,28,0.0,0,{},0.0,11,1.0,42,11,88,22,21,96,75,21,0,96,0,75,0,21,0,0,0,96,11,10,1,20,0,96,0,0,75,0,21,68,3,1.411764705882353,0,10,2114,19.661076099961065,14.526044999540318,0.1784419000032358,0.1548931997967884,23.74871300003724,parallel_episode_batch,feasibility_best,0.024410489480942488,0.010511097494814107,0.4851723006542991,0.024814316598862848,0.0025863686083432507,0.04044117647058824,0.9982660035876667,0.45799818788381186,0.3382352941176471,2.182295322418213,0.3549206852912903,0.17431512475013733,0.16361892223358154,0.15783070027828217,0.19130174815654755,0.03848006948828697,0.1801908016204834,0.0001,-0.29981529712677,-0.3002551794052124,-0.20009899139404297,-0.20017801225185394,-0.20015251636505127,0.2998896837234497,-0.2995757758617401,-0.2996216118335724,-0.19991865754127502,-0.19970647990703583,-0.19960466027259827,0.017976729199290276,0.11923959851264954,0.01798621006309986,0.11913780122995377
8,1,train_fatigue_bottleneck_1000008,1000008,fatigue_bottleneck,labor_dominant,0.0,1.0,0.0,anchor_1,307,307,0,0.0,307,0,0.0,0,0.0,1.9375000000000007,2.000000000000001,-0.0625,1.9375000000000007,2.0,8.881784197001252e-16,feasibility,-1514.4,-1129.9010640792599,-3.491388888888881,1.0,1.0,-0.5304946239686995,0.0,0.0,-0.0625,71,169.0,True,False,completed,1.0,1.0,1514.4,1514.4,1129.9010640792599,3.491388888888881,0.4511590848936514,0.5304946239686995,0.7496502573,0.7148773016333334,0.75,26,0.21666666666666667,3,3,47,0.21658986175115208,0,93,4,2,1072,107.2,0,0,0,0.0,0,0.0,0,0,36,0.0,0,{},2.7,25,0.88,46,25,136,50,50,181,110,71,21,160,0,110,21,50,21,21,0,160,33,37,1,45,28,160,0,0,110,21,50,89,13,2.033707865168539,0,10,2114,19.661076099961065,14.526044999540318,0.3701554999570362,0.21499240008415654,23.74871300003724,parallel_episode_batch,feasibility_best,0.024410489480942488,0.010511097494814107,0.4851723006542991,0.024814316598862848,0.0025863686083432507,0.04044117647058824,0.9982660035876667,0.45799818788381186,0.3382352941176471,2.182295322418213,0.3549206852912903,0.17431512475013733,0.16361892223358154,0.15783070027828217,0.19130174815654755,0.03848006948828697,0.1801908016204834,0.0001,-0.29981529712677,-0.3002551794052124,-0.20009899139404297,-0.20017801225185394,-0.20015251636505127,0.2998896837234497,-0.2995757758617401,-0.2996216118335724,-0.19991865754127502,-0.19970647990703583,-0.19960466027259827,0.017976729199290276,0.11923959851264954,0.01798621006309986,0.11913780122995377
9,1,train_balanced_1000009,1000009,balanced,fixed_cost_dominant,0.7629141760672441,0.17503031414935405,0.06205550978340179,dirichlet,164,164,0,0.0,164,0,0.0,0,0.0,1.9374999999999998,1.9999999999999998,-0.0625,1.9374999999999998,2.0,-2.220446049250313e-16,feasibility,-614.6000000000003,-309.88113588135013,-23.678055555555556,1.0,1.0,-0.3197470798897518,0.0,0.0,-0.0625,50,193.0,True,False,completed,1.0,1.0,614.6000000000003,614.6000000000003,309.88113588135013,23.678055555555556,0.30459457895968783,0.3197470798897518,0.20900000000000002,0.12157192405,0.75,0,0.0,0,0,0,0.0,2,50,0,2,1697,169.70000000000002,0,0,0,0.0,0,0.0,0,0,17,0.0,0,{},0.0,9,0.8888888888888888,41,9,80,18,16,86,70,16,0,86,0,70,0,16,0,0,0,86,7,9,0,16,0,86,0,0,70,0,16,60,4,1.4333333333333333,0,10,2114,19.661076099961065,14.526044999540318,0.07986110000638291,0.15932159998919815,23.74871300003724,parallel_episode_batch,feasibility_best,0.024410489480942488,0.010511097494814107,0.4851723006542991,0.024814316598862848,0.0025863686083432507,0.04044117647058824,0.9982660035876667,0.45799818788381186,0.3382352941176471,2.182295322418213,0.3549206852912903,0.17431512475013733,0.16361892223358154,0.15783070027828217,0.19130174815654755,0.03848006948828697,0.1801908016204834,0.0001,-0.29981529712677,-0.3002551794052124,-0.20009899139404297,-0.20017801225185394,-0.20015251636505127,0.2998896837234497,-0.2995757758617401,-0.2996216118335724,-0.19991865754127502,-0.19970647990703583,-0.19960466027259827,0.017976729199290276,0.11923959851264954,0.01798621006309986,0.11913780122995377
