update_id,episode_start,episode_end,episode_count,parallel_envs,transition_count,environment_step_count,forced_action_count,forced_action_ratio,worker_step_command_count,worker_local_physical_forced_action_count,worker_local_physical_forced_share,estimated_worker_step_round_trips_avoided,sampling_wall_time_seconds,policy_inference_time_seconds,generation_time_seconds,environment_step_time_seconds,ppo_update_time_seconds,transitions_per_second,reward_phase,candidate_status,policy_loss,value_loss,entropy,loss,approx_kl,clip_fraction,ratio_mean,gradient_norm,gradient_clipped_fraction,gradient_norm_max,return_mean,return_std,advantage_mean,advantage_std,value_prediction_mean,value_prediction_std,pre_update_explained_variance,learning_rate,policy_head_weight_production_processing_time_norm,policy_head_weight_production_reconfiguration_time_norm,policy_head_weight_production_fixed_reconfiguration_cost_norm,policy_head_weight_production_estimated_labor_cost_norm,policy_head_weight_production_estimated_downtime_cost_norm,policy_head_weight_production_horizon_slack_norm,policy_head_weight_worker_stage_duration_norm,policy_head_weight_worker_projected_fatigue_ratio,policy_head_weight_worker_incremental_labor_cost_norm,policy_head_weight_worker_incremental_downtime_cost_norm,policy_head_weight_worker_incremental_load_variance_norm,policy_head_gate_production_common,policy_head_gate_production_residual,policy_head_gate_worker_common,policy_head_gate_worker_residual
1,0,9,10,10,2112,2112,0,0.0,2112,0,0.0,0,12.358575699996436,7.114093299824162,4.2613861999998335,1.508428800283582,18.408509100001538,68.64478756206825,feasibility,feasibility_best,-0.001659236058141246,0.013418755374115073,0.4686371815024,0.0003637696411742857,0.0028238402975892477,0.030776515151515152,1.0010178062048825,0.8580710795341115,0.4696969696969697,6.75117301940918,0.2212214320898056,0.2054511159658432,0.1783600002527237,0.18401722609996796,0.04286143556237221,0.040187690407037735,0.19776803255081177,0.0001,-0.29973289370536804,-0.2999861538410187,-0.2001928687095642,-0.19999220967292786,-0.2000115066766739,0.29971787333488464,-0.30013251304626465,-0.3005780577659607,-0.19997236132621765,-0.2000168114900589,-0.19994966685771942,0.018006864935159683,0.017973218113183975,0.01798621006309986,0.01798621006309986
2,10,19,10,10,1825,1825,0,0.0,1825,0,0.0,0,8.35650729999179,6.140542900015134,1.4892855000070995,1.5369309003144735,17.16502899999614,71.50823440048408,feasibility,not_applicable,0.00027364786264711413,0.006682967871491765,0.4942684826152078,-0.0013275536154557404,0.0008238207414376967,0.010237068965517241,1.000065700761203,0.869837597526353,0.5,15.972265243530273,0.43955788016319275,0.239435076713562,0.19910931587219238,0.09402180463075638,0.24044859409332275,0.17152422666549683,0.8458009362220764,0.0001,-0.29946959018707275,-0.30063968896865845,-0.20060819387435913,-0.20044191181659698,-0.2004799097776413,0.2999885082244873,-0.30043721199035645,-0.3006778359413147,-0.1999596208333969,-0.20021170377731323,-0.19983218610286713,0.018012193962931633,0.018013712018728256,0.01798621006309986,0.01798621006309986
3,20,29,10,10,2207,2207,0,0.0,2207,0,0.0,0,10.05546959998901,7.491880599991418,1.3566057999705663,1.5764982997789048,22.021427899991977,68.80341217542339,feasibility,phase_transition,-0.0020227355416864157,0.005102243713502373,0.48086321694510326,-0.004280244648855712,0.0007353711482470057,0.006710829479353768,0.999472736460822,0.4955366424151829,0.37142857142857144,1.7532411813735962,0.6232102513313293,0.27093708515167236,0.15492235124111176,0.07770563662052155,0.4682878851890564,0.237928569316864,0.9177439212799072,0.0001,-0.299325168132782,-0.3015196919441223,-0.2012510746717453,-0.2010784149169922,-0.20104080438613892,0.30071282386779785,-0.30038008093833923,-0.300480455160141,-0.19983860850334167,-0.20010827481746674,-0.19988860189914703,0.01801189035177231,0.01804444007575512,0.01798621006309986,0.01798621006309986
4,30,39,10,10,2395,2395,0,0.0,2395,0,0.0,0,11.004294999991544,8.434504500066396,1.5054771999857621,1.7577125000825617,23.14276560000144,70.13780858199233,quality,promoted,0.00011631123427497714,0.0038926163872115708,0.4590720267672288,-0.002528100669702613,0.0008500426185109015,0.012335526315789474,0.9990545722999071,0.44761469862178754,0.25,1.7384192943572998,0.7542904019355774,0.306753009557724,0.12499422580003738,0.07620645314455032,0.6292961835861206,0.2932649552822113,0.93828284740448,0.0001,-0.2991197109222412,-0.3018985986709595,-0.20163467526435852,-0.20134864747524261,-0.20130492746829987,0.3009769320487976,-0.30012989044189453,-0.3003007471561432,-0.19972187280654907,-0.19993005692958832,-0.19971495866775513,0.017998874187469482,0.01809501461684704,0.01798621006309986,0.01798621006309986
5,40,49,10,10,2415,2415,0,0.0,2415,0,0.0,0,11.487975399999414,8.554094100298244,2.018527299995185,1.6947715998976491,22.305654600000707,71.46317220138799,quality,promoted,0.0011267088672244235,0.003204937772304555,0.4623377852533993,-0.0018942000920345124,0.0012297311822246563,0.01715600502824313,1.0004494315699528,0.38375158372678253,0.27631578947368424,1.1827595233917236,0.8891125321388245,0.31307703256607056,0.1119631975889206,0.0725182592868805,0.7771493196487427,0.30424508452415466,0.946347177028656,0.0001,-0.29858729243278503,-0.3021087944507599,-0.20185008645057678,-0.20149490237236023,-0.20157065987586975,0.30095165967941284,-0.2997379004955292,-0.3001765310764313,-0.19982682168483734,-0.19975368678569794,-0.19948337972164154,0.017985105514526367,0.01810709945857525,0.01798621006309986,0.01798621006309986
6,50,59,10,10,2234,2234,0,0.0,2234,0,0.0,0,9.74271520000184,7.360368500114419,1.550768400033121,1.6283328999415971,19.22093589999713,77.13115975216535,quality,not_promoted,-4.679377057722637e-05,0.002620394086365455,0.46482888204710826,-0.003384885118742074,0.0011506376605081772,0.01678725369274616,0.9994517045361655,0.3717057514403548,0.21428571428571427,1.263804316520691,1.0366735458374023,0.240363210439682,0.10231544822454453,0.07185189425945282,0.9343578815460205,0.25303876399993896,0.9106405377388,0.0001,-0.2988927662372589,-0.30245429277420044,-0.2020549327135086,-0.20174045860767365,-0.2018679529428482,0.30144429206848145,-0.3000714182853699,-0.30042269825935364,-0.20008771121501923,-0.20002086460590363,-0.199510395526886,0.018007328733801842,0.01812242530286312,0.01798621006309986,0.01798621006309986
7,60,69,10,10,2261,2261,0,0.0,2261,0,0.0,0,10.634164699993562,7.648652699950617,1.8272857000119984,1.565439799640444,22.496896099997684,68.24411731484908,quality,not_promoted,0.0052386887966551715,0.0016571084739148824,0.43684607475168175,0.001698781386949122,0.002562895095858645,0.024966931229250297,1.0019992109802034,0.3354946541496449,0.1388888888888889,0.9909287095069885,1.1095268726348877,0.24383224546909332,0.0939553827047348,0.06474324315786362,1.0155714750289917,0.2568206191062927,0.9294971227645874,0.0001,-0.29887619614601135,-0.3025846779346466,-0.2021455466747284,-0.20183856785297394,-0.2019963413476944,0.30150556564331055,-0.299713134765625,-0.3003254234790802,-0.20018769800662994,-0.19977478682994843,-0.1995910257101059,0.018086573109030724,0.018144022673368454,0.01798621006309986,0.01798621006309986
8,70,79,10,10,1994,1994,0,0.0,1994,0,0.0,0,17.01753440000175,6.609337100046105,9.560660000002827,1.4812900994584197,16.28736139999819,59.871077572925586,quality,not_promoted,0.00733653933275491,0.00146948811789116,0.43374278396368027,0.0037338558031478897,0.0008215074631152675,0.01513671875,0.9998475443571806,0.30206246743910015,0.171875,0.9174900054931641,1.2581835985183716,0.2061043232679367,0.07827481627464294,0.06614992022514343,1.1799088716506958,0.2011183798313141,0.8969888091087341,0.0001,-0.29878753423690796,-0.30293357372283936,-0.2022327184677124,-0.20208218693733215,-0.2022632658481598,0.3015674948692322,-0.29949790239334106,-0.2999657690525055,-0.19986918568611145,-0.19960416853427887,-0.1996385157108307,0.0181305930018425,0.018174616619944572,0.01798621006309986,0.01798621006309986
9,80,89,10,10,2192,2192,0,0.0,2192,0,0.0,0,10.471202800006722,7.683845300009125,1.7430083999788621,1.6106277997314464,19.883796599999187,72.21215757953773,quality,not_promoted,0.0016358508196260247,0.0011357598738478763,0.45358266617570603,-0.0023320951033383606,0.0011310542534504618,0.01607142857142857,0.9998828641005925,0.2935511219714369,0.11428571428571428,1.0675443410873413,1.2245131731033325,0.25901761651039124,0.06655072420835495,0.06143689155578613,1.1579625606536865,0.2551529109477997,0.9437400102615356,0.0001,-0.2982396185398102,-0.3031998872756958,-0.2023601531982422,-0.20226208865642548,-0.20246531069278717,0.3012186884880066,-0.2995792031288147,-0.30035820603370667,-0.19988113641738892,-0.19974157214164734,-0.1996239870786667,0.01812201738357544,0.018189895898103714,0.01798621006309986,0.01798621006309986
10,90,99,10,10,2064,2064,0,0.0,2064,0,0.0,0,9.266029000005801,6.959063100031926,1.360820199974114,1.4385150001762668,19.352705800003605,72.12058864318914,quality,not_promoted,-0.00035553308429591584,0.000797775576012844,0.43188314681703394,-0.004275476154306847,0.0012756641742519357,0.017045454545454544,1.0027003839160458,0.2342120169690161,0.045454545454545456,0.5365476012229919,1.3165173530578613,0.19840988516807556,0.05292076990008354,0.05628325790166855,1.263596534729004,0.18975378572940826,0.9195303916931152,0.0001,-0.2983573079109192,-0.3034546673297882,-0.20244599878787994,-0.20245492458343506,-0.20255787670612335,0.3013095259666443,-0.299372136592865,-0.3001071512699127,-0.19961605966091156,-0.19961056113243103,-0.19969892501831055,0.01809392124414444,0.018180621787905693,0.01798621006309986,0.01798621006309986
