episode,update_id,instance_id,instance_seed,pressure_type,cost_profile,steps,policy_steps,forced_actions,forced_action_ratio,worker_step_command_count,worker_local_physical_forced_action_count,worker_local_physical_forced_share,estimated_worker_step_round_trips_avoided,unattributed_forced_reward,reward,reward_base,reward_shaping,reward_training,expected_reward,reward_identity_error,reward_phase,reward_flow,reward_cost,reward_variance,reward_completion_progress,reward_completion_bonus,reward_quality,reward_truncation,reward_unfinished,reward_feasibility_shaping,completed_operations,time,terminated,truncated,terminal_reason,completed_order_ratio,completed_operation_ratio,total_flow_time,flow_time_objective,reconfiguration_cost,worker_load_variance,quality_score,maximum_worker_fatigue,mean_peak_worker_fatigue,safe_fatigue_limit,fatigue_masked_action_count,fatigue_masked_action_ratio,worker_competition_event_count,worker_matching_deficit_event_count,resource_admission_masked_action_count,resource_admission_masked_action_ratio,minimum_worker_alternatives,matching_preserving_worker_action_count,candidate_recovery_advance_count,production_defer_recovery_improvement_count,production_defer_wait_ticks,production_defer_wait_time,conditional_worker_wait_opportunity_count,conditional_worker_wait_selected_count,conditional_worker_wait_total_ticks,conditional_worker_wait_total_time,conditional_worker_wait_pair_gain_sum,conditional_worker_wait_fatigue_improvement_sum,conditional_worker_wait_duration_improvement_ticks_sum,conditional_worker_wait_max_consecutive_observed,reconfiguration_reuse_count,qualification_scarcity_regret,qualification_scarcity_decision_count,conditional_worker_wait_reason_counts,machine_waiting_for_worker_time,completed_reconfigurations,worker_switch_ratio,direct_process_action_count,commit_reconfig_action_count,defer_production_action_count,worker_assign_action_count,advance_event_action_count,forced_action_state_count,forced_production_count,forced_worker_count,forced_pair_count,forced_advance_count,forced_production_pair_count,forced_production_advance_count,forced_worker_pair_count,forced_worker_advance_count,forced_pair_advance_blocked_non_delay_count,forced_worker_pair_non_delay_count,forced_pair_advance_physically_unavailable_count,forced_advance_pair_physically_unavailable_count,forced_wait_dis_count,forced_wait_ins_count,forced_mixed_wait_stage_count,forced_phase_handoff_count,forced_recovery_advance_count,forced_future_event_advance_count,forced_direct_process_count,forced_commit_reconfig_count,forced_defer_production_count,forced_worker_assign_count,forced_advance_event_count,forced_action_chain_count,longest_forced_action_chain,mean_forced_action_chain_length,schedule_violation_count,parallel_envs,batch_transition_count,sampling_wall_time_seconds,policy_inference_time_seconds,generation_time_seconds,environment_step_time_seconds,ppo_update_time_seconds,loss_scope,candidate_status,policy_loss,value_loss,entropy,loss,approx_kl,clip_fraction,ratio_mean,gradient_norm,gradient_clipped_fraction,gradient_norm_max,return_mean,return_std,advantage_mean,advantage_std,value_prediction_mean,value_prediction_std,pre_update_explained_variance,learning_rate,policy_head_weight_production_processing_time_norm,policy_head_weight_production_reconfiguration_time_norm,policy_head_weight_production_fixed_reconfiguration_cost_norm,policy_head_weight_production_estimated_labor_cost_norm,policy_head_weight_production_estimated_downtime_cost_norm,policy_head_weight_production_horizon_slack_norm,policy_head_weight_worker_stage_duration_norm,policy_head_weight_worker_projected_fatigue_ratio,policy_head_weight_worker_incremental_labor_cost_norm,policy_head_weight_worker_incremental_downtime_cost_norm,policy_head_weight_worker_incremental_load_variance_norm,policy_head_gate_production_common,policy_head_gate_production_residual,policy_head_gate_worker_common,policy_head_gate_worker_residual
0,1,train_fatigue_bottleneck_1000000,1000000,fatigue_bottleneck,balanced_cost,324,324,0,0.0,324,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-1718.1000000000008,-1203.2021608498096,-14.129166666666665,1.0000000000000002,1.0,-0.5022860278572996,0.0,0.0,-0.0625,81,176.5,True,False,completed,1.0,1.0,1718.1000000000008,1718.1000000000008,1203.2021608498096,14.129166666666661,0.5022860278572996,0.7026871225999998,0.5807355725666666,0.75,1,0.009174311926605505,2,2,4,0.01762114537444934,0,108,0,0,1242,124.2,0,0,0,0.0,0,0.0,0,0,47,0.0,0,{},0.6000000000000001,25,0.92,56,25,141,50,52,188,125,63,11,177,0,125,11,52,11,11,0,177,29,31,0,47,1,177,0,0,125,11,52,111,12,1.6936936936936937,0,10,2129,12.544630999967922,7.313027799711563,0.22337530000368133,0.25099479960044846,23.43597710004542,parallel_episode_batch,feasibility_best,0.0026171993025962043,0.009574059650356717,0.460845509872717,0.0027957743184421867,0.004881191633210298,0.04751027249457205,0.9983665767837974,0.43556007414179687,0.29411764705882354,1.921805739402771,0.4282149374485016,0.1854686290025711,0.14605583250522614,0.15361209213733673,0.28215911984443665,0.08536086231470108,0.31402236223220825,0.0001,-0.29979729652404785,-0.2999182343482971,-0.19995065033435822,-0.19994951784610748,-0.20000694692134857,0.29966282844543457,-0.2998184263706207,-0.29968902468681335,-0.19989387691020966,-0.19985371828079224,-0.20005996525287628,0.017959926277399063,0.11939273774623871,0.01798621006309986,0.11926687508821487
1,1,train_easy_1000001,1000001,easy,balanced_cost,166,166,0,0.0,166,0,0.0,0,0.0,1.9374999999999996,1.9999999999999996,-0.0625,1.9374999999999996,2.0,-4.440892098500626e-16,feasibility,-516.3000000000002,-351.73727483362023,-13.209166666666663,0.9999999999999997,1.0,-0.2702692470421512,0.0,0.0,-0.0625,50,168.20000000000002,True,False,completed,1.0,1.0,516.3000000000002,516.3000000000002,351.73727483362023,13.209166666666663,0.2702692470421512,0.15300000000000002,0.11947971821666668,0.75,0,0.0,0,0,0,0.0,3,54,0,0,1341,134.1,0,0,0,0.0,0,0.0,0,0,18,0.0,0,{},0.0,9,1.0,41,9,80,18,18,87,69,18,0,87,0,69,0,18,0,0,0,87,8,8,0,16,0,87,0,0,69,0,18,61,3,1.4262295081967213,0,10,2129,12.544630999967922,7.313027799711563,0.17020320001756772,0.14873710001120344,23.43597710004542,parallel_episode_batch,feasibility_best,0.0026171993025962043,0.009574059650356717,0.460845509872717,0.0027957743184421867,0.004881191633210298,0.04751027249457205,0.9983665767837974,0.43556007414179687,0.29411764705882354,1.921805739402771,0.4282149374485016,0.1854686290025711,0.14605583250522614,0.15361209213733673,0.28215911984443665,0.08536086231470108,0.31402236223220825,0.0001,-0.29979729652404785,-0.2999182343482971,-0.19995065033435822,-0.19994951784610748,-0.20000694692134857,0.29966282844543457,-0.2998184263706207,-0.29968902468681335,-0.19989387691020966,-0.19985371828079224,-0.20005996525287628,0.017959926277399063,0.11939273774623871,0.01798621006309986,0.11926687508821487
2,1,train_easy_1000002,1000002,easy,balanced_cost,139,139,0,0.0,139,0,0.0,0,0.0,1.9374999999999998,1.9999999999999998,-0.0625,1.9374999999999998,2.0,-2.220446049250313e-16,feasibility,-433.79999999999995,-277.3061405995,-9.944722222222225,0.9999999999999998,1.0,-0.2310683291870133,0.0,0.0,-0.0625,43,177.0,True,False,completed,1.0,1.0,433.79999999999995,433.79999999999995,277.3061405995,9.944722222222225,0.2310683291870133,0.16360000000000002,0.11294819445000003,0.75,0,0.0,0,0,0,0.0,2,41,0,0,1487,148.70000000000002,0,0,0,0.0,0,0.0,0,0,14,0.0,0,{},0.0,7,1.0,36,7,68,14,14,80,66,14,0,80,0,66,0,14,0,0,0,80,7,7,0,14,0,80,0,0,66,0,14,56,5,1.4285714285714286,0,10,2129,12.544630999967922,7.313027799711563,2.633256800007075,0.1286200001486577,23.43597710004542,parallel_episode_batch,feasibility_best,0.0026171993025962043,0.009574059650356717,0.460845509872717,0.0027957743184421867,0.004881191633210298,0.04751027249457205,0.9983665767837974,0.43556007414179687,0.29411764705882354,1.921805739402771,0.4282149374485016,0.1854686290025711,0.14605583250522614,0.15361209213733673,0.28215911984443665,0.08536086231470108,0.31402236223220825,0.0001,-0.29979729652404785,-0.2999182343482971,-0.19995065033435822,-0.19994951784610748,-0.20000694692134857,0.29966282844543457,-0.2998184263706207,-0.29968902468681335,-0.19989387691020966,-0.19985371828079224,-0.20005996525287628,0.017959926277399063,0.11939273774623871,0.01798621006309986,0.11926687508821487
3,1,train_balanced_1000003,1000003,balanced,balanced_cost,193,193,0,0.0,193,0,0.0,0,0.0,1.9375,2.0,-0.06249999999999997,1.9375,2.0,0.0,feasibility,-677.4000000000003,-515.6111532179599,-9.645555555555559,0.9999999999999997,1.0,-0.31481203829402793,0.0,0.0,-0.06249999999999997,57,217.60000000000002,True,False,completed,1.0,1.0,677.4000000000003,677.4000000000003,515.6111532179599,9.645555555555559,0.31481203829402793,0.30920000000000003,0.17113613630000002,0.75,0,0.0,0,0,0,0.0,2,72,0,0,1766,176.60000000000002,0,0,0,0.0,0,0.0,0,0,15,0.0,0,{},0.0,12,1.0,45,12,90,24,22,105,83,22,0,105,0,83,0,22,0,0,0,105,12,12,2,22,0,105,0,0,83,0,22,74,6,1.4189189189189189,0,10,2129,12.544630999967922,7.313027799711563,0.1638088999898173,0.14964709972264245,23.43597710004542,parallel_episode_batch,feasibility_best,0.0026171993025962043,0.009574059650356717,0.460845509872717,0.0027957743184421867,0.004881191633210298,0.04751027249457205,0.9983665767837974,0.43556007414179687,0.29411764705882354,1.921805739402771,0.4282149374485016,0.1854686290025711,0.14605583250522614,0.15361209213733673,0.28215911984443665,0.08536086231470108,0.31402236223220825,0.0001,-0.29979729652404785,-0.2999182343482971,-0.19995065033435822,-0.19994951784610748,-0.20000694692134857,0.29966282844543457,-0.2998184263706207,-0.29968902468681335,-0.19989387691020966,-0.19985371828079224,-0.20005996525287628,0.017959926277399063,0.11939273774623871,0.01798621006309986,0.11926687508821487
4,1,train_balanced_1000004,1000004,balanced,balanced_cost,212,212,0,0.0,212,0,0.0,0,0.0,1.9374999999999998,1.9999999999999998,-0.0625,1.9374999999999998,2.0,-2.220446049250313e-16,feasibility,-834.1,-489.5355337031403,-16.053333333333335,0.9999999999999999,1.0,-0.35223137303962376,0.0,0.0,-0.0625,64,204.3,True,False,completed,1.0,1.0,834.1,834.1,489.5355337031403,16.053333333333335,0.35223137303962376,0.266,0.16037104693333334,0.75,0,0.0,0,0,0,0.0,2,67,0,0,1724,172.4,0,0,0,0.0,0,0.0,0,0,31,0.0,0,{},0.0,12,0.9166666666666666,52,12,100,24,24,106,82,24,0,106,0,82,0,24,0,0,0,106,11,11,0,22,0,106,0,0,82,0,24,77,4,1.3766233766233766,0,10,2129,12.544630999967922,7.313027799711563,0.11402010003803298,0.13550300023052841,23.43597710004542,parallel_episode_batch,feasibility_best,0.0026171993025962043,0.009574059650356717,0.460845509872717,0.0027957743184421867,0.004881191633210298,0.04751027249457205,0.9983665767837974,0.43556007414179687,0.29411764705882354,1.921805739402771,0.4282149374485016,0.1854686290025711,0.14605583250522614,0.15361209213733673,0.28215911984443665,0.08536086231470108,0.31402236223220825,0.0001,-0.29979729652404785,-0.2999182343482971,-0.19995065033435822,-0.19994951784610748,-0.20000694692134857,0.29966282844543457,-0.2998184263706207,-0.29968902468681335,-0.19989387691020966,-0.19985371828079224,-0.20005996525287628,0.017959926277399063,0.11939273774623871,0.01798621006309986,0.11926687508821487
5,1,train_easy_1000005,1000005,easy,downtime_dominant,146,146,0,0.0,146,0,0.0,0,0.0,1.9374999999999998,1.9999999999999998,-0.0625,1.9374999999999998,2.0,-2.220446049250313e-16,feasibility,-457.7999999999999,-346.48410940850994,-4.258055555555556,0.9999999999999998,1.0,-0.2309676458305545,0.0,0.0,-0.0625,45,175.10000000000002,True,False,completed,1.0,1.0,457.7999999999999,457.7999999999999,346.48410940850994,4.258055555555556,0.2309676458305545,0.14350000000000004,0.11711836226666668,0.75,0,0.0,0,0,0,0.0,3,42,0,1,1565,156.5,0,0,0,0.0,0,0.0,0,0,13,0.0,0,{},0.0,7,1.0,38,7,73,14,14,79,65,14,0,79,0,65,0,14,0,0,0,79,7,7,0,14,0,79,0,0,65,0,14,55,4,1.4363636363636363,0,10,2129,12.544630999967922,7.313027799711563,0.10181120003107935,0.12054180027917027,23.43597710004542,parallel_episode_batch,feasibility_best,0.0026171993025962043,0.009574059650356717,0.460845509872717,0.0027957743184421867,0.004881191633210298,0.04751027249457205,0.9983665767837974,0.43556007414179687,0.29411764705882354,1.921805739402771,0.4282149374485016,0.1854686290025711,0.14605583250522614,0.15361209213733673,0.28215911984443665,0.08536086231470108,0.31402236223220825,0.0001,-0.29979729652404785,-0.2999182343482971,-0.19995065033435822,-0.19994951784610748,-0.20000694692134857,0.29966282844543457,-0.2998184263706207,-0.29968902468681335,-0.19989387691020966,-0.19985371828079224,-0.20005996525287628,0.017959926277399063,0.11939273774623871,0.01798621006309986,0.11926687508821487
6,1,train_balanced_1000006,1000006,balanced,fixed_cost_dominant,236,236,0,0.0,236,0,0.0,0,0.0,1.9375000000000002,2.0,-0.0625,1.9375000000000002,2.0,0.0,feasibility,-804.6000000000001,-559.7484439483399,-25.424722222222226,1.0000000000000002,1.0,-0.3757671855575809,0.0,0.0,-0.0625,66,200.3,True,False,completed,1.0,1.0,804.6000000000001,804.6000000000001,559.7484439483399,25.424722222222226,0.3757671855575809,0.26188865320000004,0.1795534966,0.75,0,0.0,0,0,0,0.0,2,85,0,1,1549,154.9,0,0,0,0.0,0,0.0,0,0,26,0.0,0,{},0.0,15,1.0,51,15,112,30,28,125,97,28,0,125,0,97,0,28,0,0,0,125,15,14,2,27,0,125,0,0,97,0,28,85,5,1.4705882352941178,0,10,2129,12.544630999967922,7.313027799711563,0.13002280000364408,0.1662974002538249,23.43597710004542,parallel_episode_batch,feasibility_best,0.0026171993025962043,0.009574059650356717,0.460845509872717,0.0027957743184421867,0.004881191633210298,0.04751027249457205,0.9983665767837974,0.43556007414179687,0.29411764705882354,1.921805739402771,0.4282149374485016,0.1854686290025711,0.14605583250522614,0.15361209213733673,0.28215911984443665,0.08536086231470108,0.31402236223220825,0.0001,-0.29979729652404785,-0.2999182343482971,-0.19995065033435822,-0.19994951784610748,-0.20000694692134857,0.29966282844543457,-0.2998184263706207,-0.29968902468681335,-0.19989387691020966,-0.19985371828079224,-0.20005996525287628,0.017959926277399063,0.11939273774623871,0.01798621006309986,0.11926687508821487
7,1,train_balanced_1000007,1000007,balanced,balanced_cost,180,180,0,0.0,180,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-650.5999999999999,-448.5049645351701,-24.269166666666663,0.9999999999999998,1.0,-0.33402535566439806,0.0,0.0,-0.0625,53,193.9,True,False,completed,1.0,1.0,650.5999999999999,650.5999999999999,448.5049645351701,24.269166666666663,0.33402535566439806,0.19190000000000002,0.15480031315,0.75,0,0.0,0,0,0,0.0,2,63,0,0,1599,159.9,0,0,0,0.0,0,0.0,0,0,27,0.0,0,{},0.0,11,0.9090909090909091,42,11,84,22,21,92,71,21,0,92,0,71,0,21,0,0,0,92,10,10,0,20,0,92,0,0,71,0,21,67,3,1.373134328358209,0,10,2129,12.544630999967922,7.313027799711563,0.14337080001132563,0.1448174996767193,23.43597710004542,parallel_episode_batch,feasibility_best,0.0026171993025962043,0.009574059650356717,0.460845509872717,0.0027957743184421867,0.004881191633210298,0.04751027249457205,0.9983665767837974,0.43556007414179687,0.29411764705882354,1.921805739402771,0.4282149374485016,0.1854686290025711,0.14605583250522614,0.15361209213733673,0.28215911984443665,0.08536086231470108,0.31402236223220825,0.0001,-0.29979729652404785,-0.2999182343482971,-0.19995065033435822,-0.19994951784610748,-0.20000694692134857,0.29966282844543457,-0.2998184263706207,-0.29968902468681335,-0.19989387691020966,-0.19985371828079224,-0.20005996525287628,0.017959926277399063,0.11939273774623871,0.01798621006309986,0.11926687508821487
8,1,train_fatigue_bottleneck_1000008,1000008,fatigue_bottleneck,labor_dominant,374,374,0,0.0,374,0,0.0,0,0.0,1.9375000000000009,2.000000000000001,-0.06249999999999997,1.9375000000000009,2.0,8.881784197001252e-16,feasibility,-1589.0999999999997,-1323.81945594275,-1.4591666666666665,1.0,1.0,-0.4614501963298844,0.0,0.0,-0.06249999999999997,71,190.60000000000002,True,False,completed,1.0,1.0,1589.0999999999997,1589.0999999999997,1323.81945594275,1.4591666666666665,0.4614501963298844,0.7499627572999986,0.7448939682999992,0.75,176,0.6048109965635738,45,45,172,0.5259938837920489,0,88,5,0,919,91.9,0,0,0,0.0,0,0.0,0,0,41,0.0,0,{},40.7,26,1.0,45,26,158,52,93,260,142,118,25,235,0,142,25,93,25,25,0,235,40,118,2,86,100,235,0,0,142,25,93,95,35,2.736842105263158,0,10,2129,12.544630999967922,7.313027799711563,0.37048699997831136,0.2541159000247717,23.43597710004542,parallel_episode_batch,feasibility_best,0.0026171993025962043,0.009574059650356717,0.460845509872717,0.0027957743184421867,0.004881191633210298,0.04751027249457205,0.9983665767837974,0.43556007414179687,0.29411764705882354,1.921805739402771,0.4282149374485016,0.1854686290025711,0.14605583250522614,0.15361209213733673,0.28215911984443665,0.08536086231470108,0.31402236223220825,0.0001,-0.29979729652404785,-0.2999182343482971,-0.19995065033435822,-0.19994951784610748,-0.20000694692134857,0.29966282844543457,-0.2998184263706207,-0.29968902468681335,-0.19989387691020966,-0.19985371828079224,-0.20005996525287628,0.017959926277399063,0.11939273774623871,0.01798621006309986,0.11926687508821487
9,1,train_balanced_1000009,1000009,balanced,fixed_cost_dominant,159,159,0,0.0,159,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-608.1000000000001,-287.9865188091199,-10.741388888888887,1.0,1.0,-0.27060586471762416,0.0,0.0,-0.0625,50,197.20000000000002,True,False,completed,1.0,1.0,608.1000000000001,608.1000000000001,287.9865188091199,10.741388888888887,0.27060586471762416,0.20420000000000005,0.12296869741666668,0.75,0,0.0,0,0,0,0.0,3,48,0,0,1665,166.5,0,0,0,0.0,0,0.0,0,0,22,0.0,0,{},0.0,8,1.0,42,8,77,16,16,86,70,16,0,86,0,70,0,16,0,0,0,86,8,8,0,16,0,86,0,0,70,0,16,62,4,1.3870967741935485,0,10,2129,12.544630999967922,7.313027799711563,0.08053430001018569,0.12284009996801615,23.43597710004542,parallel_episode_batch,feasibility_best,0.0026171993025962043,0.009574059650356717,0.460845509872717,0.0027957743184421867,0.004881191633210298,0.04751027249457205,0.9983665767837974,0.43556007414179687,0.29411764705882354,1.921805739402771,0.4282149374485016,0.1854686290025711,0.14605583250522614,0.15361209213733673,0.28215911984443665,0.08536086231470108,0.31402236223220825,0.0001,-0.29979729652404785,-0.2999182343482971,-0.19995065033435822,-0.19994951784610748,-0.20000694692134857,0.29966282844543457,-0.2998184263706207,-0.29968902468681335,-0.19989387691020966,-0.19985371828079224,-0.20005996525287628,0.017959926277399063,0.11939273774623871,0.01798621006309986,0.11926687508821487
