update_id,episode_start,episode_end,episode_count,parallel_envs,transition_count,environment_step_count,forced_action_count,forced_action_ratio,worker_step_command_count,worker_local_physical_forced_action_count,worker_local_physical_forced_share,estimated_worker_step_round_trips_avoided,sampling_wall_time_seconds,policy_inference_time_seconds,generation_time_seconds,environment_step_time_seconds,ppo_update_time_seconds,transitions_per_second,reward_phase,preference_stage,candidate_status,policy_loss,value_loss,entropy,loss,approx_kl,clip_fraction,ratio_mean,gradient_norm,gradient_clipped_fraction,counterfactual_loss,counterfactual_eligible_count,counterfactual_high_flow_commit_flip_count,counterfactual_high_flow_commit_flip_rate,counterfactual_state_scale_mean,counterfactual_state_scale_max,counterfactual_low_flow_identity_violation_count,counterfactual_monotonicity_violation_count,counterfactual_flow_cost_flip_count,counterfactual_flow_variance_flip_count,counterfactual_coefficient_mean,canonical_teacher_kl,gradient_norm_max,return_mean,return_std,advantage_mean,advantage_std,value_prediction_mean,value_prediction_std,pre_update_explained_variance,learning_rate,policy_head_weight_production_processing_time_norm,policy_head_weight_production_reconfiguration_time_norm,policy_head_weight_production_fixed_reconfiguration_cost_norm,policy_head_weight_production_estimated_labor_cost_norm,policy_head_weight_production_estimated_downtime_cost_norm,policy_head_weight_production_horizon_slack_norm,policy_head_weight_worker_stage_duration_norm,policy_head_weight_worker_projected_fatigue_ratio,policy_head_weight_worker_incremental_labor_cost_norm,policy_head_weight_worker_incremental_downtime_cost_norm,policy_head_weight_worker_incremental_load_variance_norm,policy_head_gate_production_common,policy_head_gate_production_residual,policy_head_gate_worker_common,policy_head_gate_worker_residual,policy_head_centered_production_pair_scale,policy_head_centered_worker_variance_scale,policy_head_centered_stage_index,counterfactual_constraint_status
1,0,9,10,10,1994,1994,0,0.0,1994,0,0.0,0,10.525736499985214,7.736720399669139,2.5869250999821816,2.645080100483028,31.914077099994756,46.9841837382844,feasibility,gate,not_applicable,-0.008214765068260022,0.00028669920220636413,0.533280823379755,-0.013390991269261576,6.6337801598592705e-06,0.0,0.9999790200963616,0.04193630103691248,0.0,0.0001323218280402036,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009023816192893719,0.0,0.14214026927947998,1.5177236795425415,0.27834075689315796,0.013675936497747898,0.009852454997599125,1.5040476322174072,0.2746807038784027,0.9987470507621765,0.0001,-0.3020574450492859,-0.32005712389945984,-0.21326029300689697,-0.21406029164791107,-0.21360446512699127,0.3149941861629486,-0.32070186734199524,-0.32415035367012024,-0.1943478286266327,-0.21488246321678162,-0.2251509726047516,0.01835443265736103,0.13085128366947174,0.01798621006309986,0.12828756868839264,0.0,0.0,0.0,constraint_active
2,10,19,10,10,1755,1755,0,0.0,1755,0,0.0,0,8.678801900008693,6.724732200091239,2.03950669997721,2.4424673001631163,27.33147309999913,48.7360899076616,feasibility,gate,feasibility_best,-0.0008828072542590755,0.0003110193494129427,0.5019635542162827,-0.005746521093117606,2.3242288249569754e-07,0.0,1.0000080945236343,0.037910678556987217,0.0,4.117514964668041e-06,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01053536861270134,0.0,0.11246287822723389,1.443697452545166,0.2776602804660797,0.013213129714131355,0.01160771120339632,1.4304842948913574,0.27648958563804626,0.9982523322105408,0.0001,-0.3020574450492859,-0.32005712389945984,-0.21326029300689697,-0.21406029164791107,-0.21360446512699127,0.3149941861629486,-0.32070186734199524,-0.32415035367012024,-0.1943478286266327,-0.21488246321678162,-0.2251509726047516,0.01835443265736103,0.13085128366947174,0.01798621006309986,0.12828756868839264,0.0,0.0,0.0,constraint_active
3,20,29,10,10,2107,2107,0,0.0,2107,0,0.0,0,10.691482499998529,8.179745299887145,2.1037337000016123,2.7527717002958525,32.87539820000529,48.36242499224451,feasibility,gate,not_applicable,1.7564701424403623e-05,0.00039387861210288423,0.5373987862558076,-0.005156208363945497,1.442948603431143e-06,0.0,0.9999971452987555,0.04300832967132782,0.0,3.2756701150714036e-05,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009327016523898099,0.0,0.11679486930370331,1.4784998893737793,0.2770015001296997,0.014692039228975773,0.013344538398087025,1.4638078212738037,0.27695780992507935,0.9976791739463806,0.0001,-0.3020574450492859,-0.32005712389945984,-0.21326029300689697,-0.21406029164791107,-0.21360446512699127,0.3149941861629486,-0.32070186734199524,-0.32415035367012024,-0.1943478286266327,-0.21488246321678162,-0.2251509726047516,0.01835443265736103,0.13085128366947174,0.01798621006309986,0.12828756868839264,0.0,0.0,0.0,constraint_active
4,30,39,10,10,2254,2254,0,0.0,2254,0,0.0,0,11.626508000015747,8.948004000034416,2.4475805000402033,3.1455385991139337,36.29998410001281,47.03035630681297,feasibility,gate,not_applicable,-0.0030294062453322113,0.000296364879735241,0.5580831724736426,-0.008458119047443487,1.3757232824534387e-06,0.0,1.0000238426857524,0.049989334721532136,0.0,3.935960350061792e-05,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008605652482300583,0.0,0.22882074117660522,1.526321530342102,0.2746866047382355,0.013652407564222813,0.010512417182326317,1.5126689672470093,0.27270516753196716,0.9985353350639343,0.0001,-0.3020574450492859,-0.32005712389945984,-0.21326029300689697,-0.21406029164791107,-0.21360446512699127,0.3149941861629486,-0.32070186734199524,-0.32415035367012024,-0.1943478286266327,-0.21488246321678162,-0.2251509726047516,0.01835443265736103,0.13085128366947174,0.01798621006309986,0.12828756868839264,0.0,0.0,0.0,constraint_active
5,40,49,10,10,2263,2263,0,0.0,2263,0,0.0,0,11.970423999999184,8.94173099991167,3.2410732999560423,3.073179799481295,35.67502819999936,47.49666328069962,feasibility,gate,not_applicable,-0.002368209210948812,0.00031390419866915583,0.5259631992214255,-0.007460836254621326,1.6557529091995902e-06,0.0,0.9999762185745769,0.07130285678431392,0.0,0.00010051989101395659,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010450125322677195,0.0,0.24047218263149261,1.5342518091201782,0.2723320722579956,0.014066418632864952,0.010748193599283695,1.5201853513717651,0.2704797089099884,0.9984423518180847,0.0001,-0.3020574450492859,-0.32005712389945984,-0.21326029300689697,-0.21406029164791107,-0.21360446512699127,0.3149941861629486,-0.32070186734199524,-0.32415035367012024,-0.1943478286266327,-0.21488246321678162,-0.2251509726047516,0.01835443265736103,0.13085128366947174,0.01798621006309986,0.12828756868839264,0.0,0.0,0.0,constraint_active
6,50,59,10,10,2112,2112,0,0.0,2112,0,0.0,0,10.408555100002559,8.072266599891009,2.4047202999936417,2.712635899661109,32.735719299991615,48.952034293576745,feasibility,gate,phase_transition,-4.92419172642809e-05,0.0002906173330936299,0.5428378780682882,-0.005277639787615926,8.387970879222407e-07,0.0,0.9999752234328877,0.05732705987369021,0.0,0.0005467284967325571,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009311236737465317,0.0,0.1896549016237259,1.486049771308899,0.2792019546031952,0.01340560708194971,0.010531244799494743,1.4726440906524658,0.2771151661872864,0.9985772967338562,0.0001,-0.3020574450492859,-0.32005712389945984,-0.21326029300689697,-0.21406029164791107,-0.21360446512699127,0.3149941861629486,-0.32070186734199524,-0.32415035367012024,-0.1943478286266327,-0.21488246321678162,-0.2251509726047516,0.01835443265736103,0.13085128366947174,0.01798621006309986,0.12828756868839264,0.0,0.0,0.0,constraint_active
7,60,69,10,10,2162,2162,0,0.0,2162,0,0.0,0,11.64304809999885,8.480456799879903,2.781357000058051,2.9812025996798184,34.34373510000296,47.01350800288016,quality,gate,pending,-4.547858535421683e-05,0.0002743713761019,0.5574907432584202,-0.005473780836088254,9.247013361560034e-06,0.0,1.0000528044560377,0.05252413354430567,0.0,9.419860113430859e-05,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013724895632442306,0.0,0.17793655395507812,1.4747694730758667,0.27298861742019653,0.003389730118215084,0.016222530975937843,1.4713797569274902,0.2778095602989197,0.9964686036109924,0.0001,-0.3020574450492859,-0.32005712389945984,-0.21326029300689697,-0.21406029164791107,-0.21360446512699127,0.3149941861629486,-0.32070186734199524,-0.32415035367012024,-0.1943478286266327,-0.21488246321678162,-0.2251509726047516,0.01835443265736103,0.13085128366947174,0.01798621006309986,0.12828756868839264,0.0,0.0,0.0,constraint_active
8,70,79,10,10,1884,1884,0,0.0,1884,0,0.0,0,9.64217340000323,7.168097199843032,2.1897898000024725,2.579228299873648,29.085410100000445,48.64749694490546,quality,gate,pending,0.00316234032313029,0.00016143725163904796,0.5376707732677459,-0.002133648788246016,8.668351373823194e-06,0.0,0.9999744226535161,0.049974584206938746,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026912499343355496,0.0,0.21356435120105743,1.484813928604126,0.2720485031604767,0.0005858730291947722,0.01266996655613184,1.4842280149459839,0.2742115557193756,0.9978309869766235,0.0001,-0.3020574450492859,-0.32005712389945984,-0.21326029300689697,-0.21406029164791107,-0.21360446512699127,0.3149941861629486,-0.32070186734199524,-0.32415035367012024,-0.1943478286266327,-0.21488246321678162,-0.2251509726047516,0.01835443265736103,0.13085128366947174,0.01798621006309986,0.12828756868839264,0.0,0.0,0.0,constraint_satisfied
9,80,89,10,10,2015,2015,0,0.0,2015,0,0.0,0,10.292235500004608,7.759996300155763,2.363970900012646,2.760911700403085,32.02999769998132,47.61090915213496,quality,gate,pending,-0.00039726236718706787,0.00025218169093932374,0.5464764442294836,-0.0057359351485501975,5.057149649045911e-07,0.0,1.0000108517706394,0.056434581958455965,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03349893965059891,0.0,0.2524471879005432,1.4662855863571167,0.27810895442962646,0.0039338162168860435,0.015335110947489738,1.46235191822052,0.2823692560195923,0.9969595074653625,0.0001,-0.3020574450492859,-0.32005712389945984,-0.21326029300689697,-0.21406029164791107,-0.21360446512699127,0.3149941861629486,-0.32070186734199524,-0.32415035367012024,-0.1943478286266327,-0.21488246321678162,-0.2251509726047516,0.01835443265736103,0.13085128366947174,0.01798621006309986,0.12828756868839264,0.0,0.0,0.0,constraint_satisfied
10,90,99,10,10,1959,1959,0,0.0,1959,0,0.0,0,9.708677499991609,7.5471530999056995,2.0814530999632552,2.633054399804678,30.773248299985426,48.39196656995778,quality,gate,pending,0.0007039536872217732,0.0001784591580461335,0.553984294495275,-0.004746658757569328,2.875250460889337e-06,0.0,0.9999407577899194,0.04272444588282416,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04011657389421617,0.0,0.1312209814786911,1.440319299697876,0.2680923044681549,-0.0006691282032988966,0.013371105305850506,1.440988302230835,0.2711578607559204,0.9975124597549438,0.0001,-0.3020574450492859,-0.32005712389945984,-0.21326029300689697,-0.21406029164791107,-0.21360446512699127,0.3149941861629486,-0.32070186734199524,-0.32415035367012024,-0.1943478286266327,-0.21488246321678162,-0.2251509726047516,0.01835443265736103,0.13085128366947174,0.01798621006309986,0.12828756868839264,0.0,0.0,0.0,constraint_satisfied
