episode,update_id,instance_id,instance_seed,pressure_type,cost_profile,w_flow,w_cost,w_variance,preference_source,steps,policy_steps,forced_actions,forced_action_ratio,worker_step_command_count,worker_local_physical_forced_action_count,worker_local_physical_forced_share,estimated_worker_step_round_trips_avoided,unattributed_forced_reward,reward,reward_base,reward_shaping,reward_training,expected_reward,reward_identity_error,reward_phase,reward_flow,reward_cost,reward_variance,reward_completion_progress,reward_completion_bonus,reward_quality,reward_truncation,reward_unfinished,reward_feasibility_shaping,completed_operations,time,terminated,truncated,terminal_reason,completed_order_ratio,completed_operation_ratio,total_flow_time,flow_time_objective,reconfiguration_cost,worker_load_variance,quality_score,preference_quality_score,maximum_worker_fatigue,mean_peak_worker_fatigue,safe_fatigue_limit,fatigue_masked_action_count,fatigue_masked_action_ratio,worker_competition_event_count,worker_matching_deficit_event_count,resource_admission_masked_action_count,resource_admission_masked_action_ratio,minimum_worker_alternatives,matching_preserving_worker_action_count,candidate_recovery_advance_count,production_defer_recovery_improvement_count,production_defer_wait_ticks,production_defer_wait_time,conditional_worker_wait_opportunity_count,conditional_worker_wait_selected_count,conditional_worker_wait_total_ticks,conditional_worker_wait_total_time,conditional_worker_wait_pair_gain_sum,conditional_worker_wait_fatigue_improvement_sum,conditional_worker_wait_duration_improvement_ticks_sum,conditional_worker_wait_max_consecutive_observed,reconfiguration_reuse_count,qualification_scarcity_regret,qualification_scarcity_decision_count,conditional_worker_wait_reason_counts,machine_waiting_for_worker_time,completed_reconfigurations,worker_switch_ratio,direct_process_action_count,commit_reconfig_action_count,defer_production_action_count,worker_assign_action_count,advance_event_action_count,forced_action_state_count,forced_production_count,forced_worker_count,forced_pair_count,forced_advance_count,forced_production_pair_count,forced_production_advance_count,forced_worker_pair_count,forced_worker_advance_count,forced_pair_advance_blocked_non_delay_count,forced_worker_pair_non_delay_count,forced_pair_advance_physically_unavailable_count,forced_advance_pair_physically_unavailable_count,forced_wait_dis_count,forced_wait_ins_count,forced_mixed_wait_stage_count,forced_phase_handoff_count,forced_recovery_advance_count,forced_future_event_advance_count,forced_direct_process_count,forced_commit_reconfig_count,forced_defer_production_count,forced_worker_assign_count,forced_advance_event_count,forced_action_chain_count,longest_forced_action_chain,mean_forced_action_chain_length,schedule_violation_count,parallel_envs,batch_transition_count,sampling_wall_time_seconds,policy_inference_time_seconds,generation_time_seconds,environment_step_time_seconds,ppo_update_time_seconds,loss_scope,candidate_status,policy_loss,value_loss,entropy,loss,approx_kl,clip_fraction,ratio_mean,gradient_norm,gradient_clipped_fraction,gradient_norm_max,return_mean,return_std,advantage_mean,advantage_std,value_prediction_mean,value_prediction_std,pre_update_explained_variance,learning_rate,policy_head_weight_production_processing_time_norm,policy_head_weight_production_reconfiguration_time_norm,policy_head_weight_production_fixed_reconfiguration_cost_norm,policy_head_weight_production_estimated_labor_cost_norm,policy_head_weight_production_estimated_downtime_cost_norm,policy_head_weight_production_horizon_slack_norm,policy_head_weight_worker_stage_duration_norm,policy_head_weight_worker_projected_fatigue_ratio,policy_head_weight_worker_incremental_labor_cost_norm,policy_head_weight_worker_incremental_downtime_cost_norm,policy_head_weight_worker_incremental_load_variance_norm,policy_head_gate_production_common,policy_head_gate_production_residual,policy_head_gate_worker_common,policy_head_gate_worker_residual
0,1,train_fatigue_bottleneck_1000000,1000000,fatigue_bottleneck,balanced_cost,0.3333333333333333,0.3333333333333333,0.3333333333333333,anchor_3,370,370,0,0.0,370,0,0.0,0,0.0,1.9374999999999996,1.9999999999999996,-0.0625,1.9374999999999996,2.0,-4.440892098500626e-16,feasibility,-1783.3999999999996,-1223.8232725442303,-9.1425,1.0000000000000002,1.0,-0.4342275324987835,0.0,0.0,-0.0625,81,161.20000000000002,True,False,completed,1.0,1.0,1783.3999999999996,1783.3999999999996,1223.8232725442303,9.1425,0.49490122284981297,0.4342275324987835,0.7499808939000003,0.6603835701333334,0.75,45,0.22277227722772278,33,33,26,0.1145374449339207,0,111,0,4,1061,106.10000000000001,0,0,0,0.0,0,0.0,0,0,48,0.0,0,{},10.600000000000001,24,0.875,57,24,165,48,76,223,139,84,8,215,0,139,8,76,8,8,0,215,25,89,3,70,44,215,0,0,139,8,76,106,30,2.1037735849056602,0,10,2154,19.446289200044703,14.37077120016329,0.1953358000027947,0.2682466993574053,22.725064900005236,parallel_episode_batch,feasibility_best,-0.0003160677083274897,0.009364538302179426,0.46136247279012904,-0.0002474236603388015,0.0011358109761123855,0.016434698886073688,0.9993676367928,0.37756545162376237,0.22058823529411764,1.7262006998062134,0.44723790884017944,0.14413096010684967,0.14964790642261505,0.1520240157842636,0.2975900173187256,0.03138328716158867,-0.11252522468566895,0.0001,-0.3005483150482178,-0.30067020654678345,-0.20042474567890167,-0.20047375559806824,-0.20047372579574585,0.3008093535900116,-0.30038517713546753,-0.2997732162475586,-0.20029370486736298,-0.2002585083246231,-0.20002999901771545,0.01795397326350212,0.1193305179476738,0.01798621006309986,0.11938146501779556
1,1,train_easy_1000001,1000001,easy,balanced_cost,0.606768693380291,0.13157654466327526,0.2616547619564336,dirichlet,180,180,0,0.0,180,0,0.0,0,0.0,1.9374999999999998,1.9999999999999998,-0.0625,1.9374999999999998,2.0,-2.220446049250313e-16,feasibility,-533.1999999999998,-437.2610266266702,-3.1147222222222246,0.9999999999999997,1.0,-0.24203936454916788,0.0,0.0,-0.0625,50,169.8,True,False,completed,1.0,1.0,533.1999999999998,533.1999999999998,437.2610266266702,3.1147222222222246,0.2568174546542362,0.24203936454916788,0.1562,0.11957971821666667,0.75,0,0.0,0,0,0,0.0,2,62,0,2,1365,136.5,0,0,0,0.0,0,0.0,0,0,20,0.0,0,{},0.0,11,1.0,39,11,86,22,22,100,78,22,0,100,0,78,0,22,0,0,0,100,11,11,0,22,0,100,0,0,78,0,22,70,3,1.4285714285714286,0,10,2154,19.446289200044703,14.37077120016329,0.15609879995463416,0.13344000017968938,22.725064900005236,parallel_episode_batch,feasibility_best,-0.0003160677083274897,0.009364538302179426,0.46136247279012904,-0.0002474236603388015,0.0011358109761123855,0.016434698886073688,0.9993676367928,0.37756545162376237,0.22058823529411764,1.7262006998062134,0.44723790884017944,0.14413096010684967,0.14964790642261505,0.1520240157842636,0.2975900173187256,0.03138328716158867,-0.11252522468566895,0.0001,-0.3005483150482178,-0.30067020654678345,-0.20042474567890167,-0.20047375559806824,-0.20047372579574585,0.3008093535900116,-0.30038517713546753,-0.2997732162475586,-0.20029370486736298,-0.2002585083246231,-0.20002999901771545,0.01795397326350212,0.1193305179476738,0.01798621006309986,0.11938146501779556
2,1,train_easy_1000002,1000002,easy,balanced_cost,0.0,0.0,1.0,anchor_2,145,145,0,0.0,145,0,0.0,0,0.0,1.9374999999999998,1.9999999999999998,-0.0625,1.9374999999999998,2.0,-2.220446049250313e-16,feasibility,-449.3999999999998,-313.70512292865004,-11.915555555555558,0.9999999999999998,1.0,-0.192448496159644,0.0,0.0,-0.0625,43,166.0,True,False,completed,1.0,1.0,449.3999999999998,449.3999999999998,313.70512292865004,11.915555555555558,0.24635930674052306,0.192448496159644,0.18310000000000004,0.13278333333333336,0.75,0,0.0,0,0,0,0.0,2,45,0,0,1365,136.5,0,0,0,0.0,0,0.0,0,0,16,0.0,0,{},0.0,8,1.0,35,8,70,16,16,81,65,16,0,81,0,65,0,16,0,0,0,81,8,8,0,16,0,81,0,0,65,0,16,54,5,1.5,0,10,2154,19.446289200044703,14.37077120016329,2.577850400004536,0.09413070057053119,22.725064900005236,parallel_episode_batch,feasibility_best,-0.0003160677083274897,0.009364538302179426,0.46136247279012904,-0.0002474236603388015,0.0011358109761123855,0.016434698886073688,0.9993676367928,0.37756545162376237,0.22058823529411764,1.7262006998062134,0.44723790884017944,0.14413096010684967,0.14964790642261505,0.1520240157842636,0.2975900173187256,0.03138328716158867,-0.11252522468566895,0.0001,-0.3005483150482178,-0.30067020654678345,-0.20042474567890167,-0.20047375559806824,-0.20047372579574585,0.3008093535900116,-0.30038517713546753,-0.2997732162475586,-0.20029370486736298,-0.2002585083246231,-0.20002999901771545,0.01795397326350212,0.1193305179476738,0.01798621006309986,0.11938146501779556
3,1,train_balanced_1000003,1000003,balanced,balanced_cost,0.09667793656524647,0.044480222862467715,0.8588418405722859,dirichlet,202,202,0,0.0,202,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-690.9000000000001,-601.6926954081999,-10.228055555555562,0.9999999999999997,1.0,-0.1978841335824178,0.0,0.0,-0.0625,57,212.0,True,False,completed,1.0,1.0,690.9000000000001,690.9000000000001,601.6926954081999,10.228055555555562,0.3293533575427041,0.1978841335824178,0.2723000000000001,0.19760575093333332,0.75,0,0.0,0,0,1,0.00847457627118644,1,73,0,2,1740,174.0,0,0,0,0.0,0,0.0,0,0,28,0.0,0,{},0.0,13,0.8461538461538461,44,13,94,26,25,108,82,26,1,107,0,82,1,25,1,1,0,107,13,12,1,23,0,107,0,0,82,1,25,77,4,1.4025974025974026,0,10,2154,19.446289200044703,14.37077120016329,0.14898310002172366,0.14754980034194887,22.725064900005236,parallel_episode_batch,feasibility_best,-0.0003160677083274897,0.009364538302179426,0.46136247279012904,-0.0002474236603388015,0.0011358109761123855,0.016434698886073688,0.9993676367928,0.37756545162376237,0.22058823529411764,1.7262006998062134,0.44723790884017944,0.14413096010684967,0.14964790642261505,0.1520240157842636,0.2975900173187256,0.03138328716158867,-0.11252522468566895,0.0001,-0.3005483150482178,-0.30067020654678345,-0.20042474567890167,-0.20047375559806824,-0.20047372579574585,0.3008093535900116,-0.30038517713546753,-0.2997732162475586,-0.20029370486736298,-0.2002585083246231,-0.20002999901771545,0.01795397326350212,0.1193305179476738,0.01798621006309986,0.11938146501779556
4,1,train_balanced_1000004,1000004,balanced,balanced_cost,0.6348544964998813,0.21041795174004313,0.15472755176007563,dirichlet,226,226,0,0.0,226,0,0.0,0,0.0,1.9374999999999996,1.9999999999999996,-0.0625,1.9374999999999996,2.0,-4.440892098500626e-16,feasibility,-840.3000000000002,-610.3293840588701,-8.376666666666665,0.9999999999999999,1.0,-0.3634182729943023,0.0,0.0,-0.0625,64,200.8,True,False,completed,1.0,1.0,840.3000000000002,840.3000000000002,610.3293840588701,8.376666666666665,0.34832699031636316,0.3634182729943023,0.39440000000000003,0.22418333333333332,0.75,0,0.0,0,0,3,0.04054054054054054,1,77,1,0,1578,157.8,0,0,0,0.0,0,0.0,0,0,30,0.0,0,{},0.0,15,0.9333333333333333,49,15,102,30,30,125,93,32,2,123,0,93,2,30,2,2,0,123,16,16,0,30,0,123,0,0,93,2,30,82,6,1.524390243902439,0,10,2154,19.446289200044703,14.37077120016329,0.14607999997679144,0.13051209942204878,22.725064900005236,parallel_episode_batch,feasibility_best,-0.0003160677083274897,0.009364538302179426,0.46136247279012904,-0.0002474236603388015,0.0011358109761123855,0.016434698886073688,0.9993676367928,0.37756545162376237,0.22058823529411764,1.7262006998062134,0.44723790884017944,0.14413096010684967,0.14964790642261505,0.1520240157842636,0.2975900173187256,0.03138328716158867,-0.11252522468566895,0.0001,-0.3005483150482178,-0.30067020654678345,-0.20042474567890167,-0.20047375559806824,-0.20047372579574585,0.3008093535900116,-0.30038517713546753,-0.2997732162475586,-0.20029370486736298,-0.2002585083246231,-0.20002999901771545,0.01795397326350212,0.1193305179476738,0.01798621006309986,0.11938146501779556
5,1,train_easy_1000005,1000005,easy,downtime_dominant,0.5,0.3,0.2,anchor_4,157,157,0,0.0,157,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-465.5,-460.40241945858986,-23.82888888888889,0.9999999999999998,1.0,-0.29887665808313135,0.0,0.0,-0.0625,45,176.5,True,False,completed,1.0,1.0,465.5,465.5,460.4024194585898,23.828888888888894,0.29887665808313135,0.29887665808313135,0.18930000000000002,0.13395,0.75,0,0.0,0,0,0,0.0,2,53,0,1,1510,151.0,0,0,0,0.0,0,0.0,0,0,12,0.0,0,{},0.0,9,1.0,36,9,76,18,18,90,72,18,0,90,0,72,0,18,0,0,0,90,9,8,0,17,0,90,0,0,72,0,18,62,5,1.4516129032258065,0,10,2154,19.446289200044703,14.37077120016329,0.1036712999921292,0.10280010045971721,22.725064900005236,parallel_episode_batch,feasibility_best,-0.0003160677083274897,0.009364538302179426,0.46136247279012904,-0.0002474236603388015,0.0011358109761123855,0.016434698886073688,0.9993676367928,0.37756545162376237,0.22058823529411764,1.7262006998062134,0.44723790884017944,0.14413096010684967,0.14964790642261505,0.1520240157842636,0.2975900173187256,0.03138328716158867,-0.11252522468566895,0.0001,-0.3005483150482178,-0.30067020654678345,-0.20042474567890167,-0.20047375559806824,-0.20047372579574585,0.3008093535900116,-0.30038517713546753,-0.2997732162475586,-0.20029370486736298,-0.2002585083246231,-0.20002999901771545,0.01795397326350212,0.1193305179476738,0.01798621006309986,0.11938146501779556
6,1,train_balanced_1000006,1000006,balanced,fixed_cost_dominant,1.0,0.0,0.0,anchor_0,232,232,0,0.0,232,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-785.0000000000001,-525.2325881894802,-12.93138888888889,1.0000000000000002,1.0,-0.3954659949622167,0.0,0.0,-0.0625,66,201.10000000000002,True,False,completed,1.0,1.0,785.0000000000001,785.0000000000001,525.2325881894802,12.93138888888889,0.3421384700439534,0.3954659949622167,0.20270000000000005,0.1648955365166667,0.75,0,0.0,0,0,0,0.0,2,81,0,1,1549,154.9,0,0,0,0.0,0,0.0,0,0,21,0.0,0,{},0.0,14,1.0,52,14,111,28,27,125,98,27,0,125,0,98,0,27,0,0,0,125,14,13,1,26,0,125,0,0,98,0,27,87,5,1.4367816091954022,0,10,2154,19.446289200044703,14.37077120016329,0.13165939995087683,0.18349059973843396,22.725064900005236,parallel_episode_batch,feasibility_best,-0.0003160677083274897,0.009364538302179426,0.46136247279012904,-0.0002474236603388015,0.0011358109761123855,0.016434698886073688,0.9993676367928,0.37756545162376237,0.22058823529411764,1.7262006998062134,0.44723790884017944,0.14413096010684967,0.14964790642261505,0.1520240157842636,0.2975900173187256,0.03138328716158867,-0.11252522468566895,0.0001,-0.3005483150482178,-0.30067020654678345,-0.20042474567890167,-0.20047375559806824,-0.20047372579574585,0.3008093535900116,-0.30038517713546753,-0.2997732162475586,-0.20029370486736298,-0.2002585083246231,-0.20002999901771545,0.01795397326350212,0.1193305179476738,0.01798621006309986,0.11938146501779556
7,1,train_balanced_1000007,1000007,balanced,balanced_cost,0.0,1.0,0.0,anchor_1,182,182,0,0.0,182,0,0.0,0,0.0,1.9375000000000004,2.0000000000000004,-0.0625,1.9375000000000004,2.0,4.440892098500626e-16,feasibility,-637.7000000000003,-452.48306454772,-7.114722222222222,1.0,1.0,-0.31152381435071397,0.0,0.0,-0.0625,53,190.20000000000002,True,False,completed,1.0,1.0,637.7000000000003,637.7000000000003,452.48306454772,7.114722222222222,0.2918758633005191,0.31152381435071397,0.2336,0.15241168828333337,0.75,0,0.0,0,0,0,0.0,2,62,0,1,1560,156.0,0,0,0,0.0,0,0.0,0,0,27,0.0,0,{},0.0,11,1.0,42,11,86,22,21,94,73,21,0,94,0,73,0,21,0,0,0,94,10,11,0,21,0,94,0,0,73,0,21,67,4,1.4029850746268657,0,10,2154,19.446289200044703,14.37077120016329,0.15553729998646304,0.1413726998725906,22.725064900005236,parallel_episode_batch,feasibility_best,-0.0003160677083274897,0.009364538302179426,0.46136247279012904,-0.0002474236603388015,0.0011358109761123855,0.016434698886073688,0.9993676367928,0.37756545162376237,0.22058823529411764,1.7262006998062134,0.44723790884017944,0.14413096010684967,0.14964790642261505,0.1520240157842636,0.2975900173187256,0.03138328716158867,-0.11252522468566895,0.0001,-0.3005483150482178,-0.30067020654678345,-0.20042474567890167,-0.20047375559806824,-0.20047372579574585,0.3008093535900116,-0.30038517713546753,-0.2997732162475586,-0.20029370486736298,-0.2002585083246231,-0.20002999901771545,0.01795397326350212,0.1193305179476738,0.01798621006309986,0.11938146501779556
8,1,train_fatigue_bottleneck_1000008,1000008,fatigue_bottleneck,labor_dominant,0.4093369858305102,0.15641547741496,0.43424753675453,dirichlet,288,288,0,0.0,288,0,0.0,0,0.0,1.9375000000000004,2.0000000000000004,-0.06249999999999997,1.9375000000000004,2.0,4.440892098500626e-16,feasibility,-1469.6,-875.75300502057,-14.746666666666657,1.0,1.0,-0.39726910976321583,0.0,0.0,-0.06249999999999997,71,148.3,True,False,completed,1.0,1.0,1469.6,1469.6,875.75300502057,14.746666666666657,0.4608633532458003,0.39726910976321583,0.7021502573,0.6108106349666668,0.75,5,0.043859649122807015,8,8,2,0.013157894736842105,0,95,0,1,1112,111.2,0,0,0,0.0,0,0.0,0,0,41,0.0,0,{},3.5,20,0.95,51,20,132,40,45,158,106,52,7,151,0,106,7,45,7,7,0,151,21,36,1,41,5,151,0,0,106,7,45,86,21,1.8372093023255813,0,10,2154,19.446289200044703,14.37077120016329,0.3702430999837816,0.1934065001551062,22.725064900005236,parallel_episode_batch,feasibility_best,-0.0003160677083274897,0.009364538302179426,0.46136247279012904,-0.0002474236603388015,0.0011358109761123855,0.016434698886073688,0.9993676367928,0.37756545162376237,0.22058823529411764,1.7262006998062134,0.44723790884017944,0.14413096010684967,0.14964790642261505,0.1520240157842636,0.2975900173187256,0.03138328716158867,-0.11252522468566895,0.0001,-0.3005483150482178,-0.30067020654678345,-0.20042474567890167,-0.20047375559806824,-0.20047372579574585,0.3008093535900116,-0.30038517713546753,-0.2997732162475586,-0.20029370486736298,-0.2002585083246231,-0.20002999901771545,0.01795397326350212,0.1193305179476738,0.01798621006309986,0.11938146501779556
9,1,train_balanced_1000009,1000009,balanced,fixed_cost_dominant,0.0196777526853583,0.5324303977695929,0.44789184954504885,dirichlet,172,172,0,0.0,172,0,0.0,0,0.0,1.9375000000000002,2.0,-0.0625,1.9375000000000002,2.0,0.0,feasibility,-625.3999999999999,-379.62447220166,-6.514722222222223,1.0,1.0,-0.20487867716219674,0.0,0.0,-0.0625,50,198.5,True,False,completed,1.0,1.0,625.3999999999999,625.3999999999999,379.62447220166,6.514722222222223,0.27690939833311873,0.20487867716219674,0.22760000000000002,0.1517,0.75,0,0.0,0,0,0,0.0,2,63,0,0,1693,169.3,0,0,0,0.0,0,0.0,0,0,20,0.0,0,{},0.0,11,1.0,39,11,79,22,21,88,67,21,0,88,0,67,0,21,0,0,0,88,10,11,0,21,0,88,0,0,67,0,21,61,3,1.4426229508196722,0,10,2154,19.446289200044703,14.37077120016329,0.078905499947723,0.16211330011719838,22.725064900005236,parallel_episode_batch,feasibility_best,-0.0003160677083274897,0.009364538302179426,0.46136247279012904,-0.0002474236603388015,0.0011358109761123855,0.016434698886073688,0.9993676367928,0.37756545162376237,0.22058823529411764,1.7262006998062134,0.44723790884017944,0.14413096010684967,0.14964790642261505,0.1520240157842636,0.2975900173187256,0.03138328716158867,-0.11252522468566895,0.0001,-0.3005483150482178,-0.30067020654678345,-0.20042474567890167,-0.20047375559806824,-0.20047372579574585,0.3008093535900116,-0.30038517713546753,-0.2997732162475586,-0.20029370486736298,-0.2002585083246231,-0.20002999901771545,0.01795397326350212,0.1193305179476738,0.01798621006309986,0.11938146501779556
