episode,instance_id,reward,expected_reward,reward_identity_error,terminated,truncated,task_succeeded,task_failed,terminal_reason,completed_order_ratio,completed_operation_ratio,initial_progress,operation_progress,initial_preference_quality_score,preference_quality_score,flow_time_objective,reconfiguration_cost,worker_load_variance,preference_key,step_count,policy_step_count,forced_action_count,forced_action_ratio,reward_flow,reward_cost,reward_variance,reward_operation_progress,reward_quality,reward_feasibility_shaping
22,train_balanced_1000021,0.5391319974840506,0.5391319974840507,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.4608680025159493,1025.7999999999997,1151.6938016972197,203.69138888888892,d17fb47064bdfcb2,321,321,0,0.0,-1025.7999999999997,-1151.6938016972197,-203.69138888888892,1.0,-0.4608680025159493,0.0
23,train_balanced_1000022,0.5358099660653688,0.5358099660653688,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.46419003393463115,1039.5999999999997,1648.9025317160203,74.5213888888889,d17fb47064bdfcb2,349,349,0,0.0,-1039.5999999999997,-1648.9025317160203,-74.5213888888889,1.0,-0.46419003393463115,0.0
24,train_balanced_1000023,0.631745196104238,0.631745196104238,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.36825480389576204,699.5,1006.5691255981302,77.25555555555557,d17fb47064bdfcb2,251,251,0,0.0,-699.5,-1006.5691255981302,-77.25555555555557,1.0,-0.36825480389576204,0.0
25,train_balanced_1000024,0.5432568246638598,0.5432568246638598,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.4567431753361401,1008.9,1128.6958835464009,88.14472222222224,d17fb47064bdfcb2,297,297,0,0.0,-1008.9,-1128.6958835464009,-88.14472222222224,1.0,-0.4567431753361401,0.0
26,train_balanced_1000025,0.5216937657594991,0.5216937657594991,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.47830623424050084,1100.2000000000005,1359.7129977698896,203.08666666666667,d17fb47064bdfcb2,357,357,0,0.0,-1100.2000000000005,-1359.7129977698896,-203.08666666666667,1.0,-0.47830623424050084,0.0
27,train_balanced_1000026,0.5080870522482852,0.5080870522482852,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.49191294775171474,1161.8,1393.1191032302509,79.6088888888889,d17fb47064bdfcb2,347,347,0,0.0,-1161.8,-1393.1191032302509,-79.6088888888889,1.0,-0.49191294775171474,0.0
28,train_balanced_1000027,0.6407518154634773,0.6407518154634773,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.3592481845365228,672.8,747.4538452452795,25.875555555555554,d17fb47064bdfcb2,218,218,0,0.0,-672.8,-747.4538452452795,-25.875555555555554,1.0,-0.3592481845365228,0.0
29,train_easy_1000028,0.6524575902566332,0.6524575902566333,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.3475424097433667,639.2,814.3872934691697,135.33555555555557,d17fb47064bdfcb2,236,236,0,0.0,-639.2,-814.3872934691697,-135.33555555555557,1.0,-0.3475424097433667,0.0
30,train_easy_1000029,0.695974944901984,0.6959749449019836,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.3040250550980164,524.1999999999999,643.4029310346403,81.05555555555554,d17fb47064bdfcb2,195,195,0,0.0,-524.1999999999999,-643.4029310346403,-81.05555555555554,1.0,-0.3040250550980164,0.0
31,train_balanced_1000030,0.6215362303827631,0.621536230382763,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.3784637696172371,730.6999999999997,850.4359555263404,115.99222222222222,d17fb47064bdfcb2,235,235,0,0.0,-730.6999999999997,-850.4359555263404,-115.99222222222222,1.0,-0.3784637696172371,0.0
32,train_high_arrival_pressure_1000031,0.39242617482586084,0.39242617482586084,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.6075738251741392,1857.9,1899.6025110573996,10.453333333333344,d17fb47064bdfcb2,415,415,0,0.0,-1857.9,-1899.6025110573996,-10.453333333333342,1.0,-0.6075738251741392,0.0
33,train_balanced_1000032,-0.014285714285714457,-0.014285714285714235,0.0,False,True,False,True,unrecoverable_deadlock,0.9285714285714286,0.9824561403508771,0.0,0.9857142857142858,0.0,1.0,1043.999999999999,1101.4857274789606,157.89888888888888,d17fb47064bdfcb2,271,271,0,0.0,-1043.999999999999,-1101.4857274789606,-157.89888888888888,0.9857142857142858,-1.0,0.0
34,train_worker_bottleneck_1000033,0.4,0.4,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.6,1800.0,2681.789396045068,62.142500000000005,d17fb47064bdfcb2,395,395,0,0.0,-1800.0,-2681.789396045068,-62.142500000000005,1.0,-0.6,0.0
35,train_balanced_1000034,0.6159531875577454,0.6159531875577455,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.3840468124422544,748.2,1100.41977127805,81.42222222222222,d17fb47064bdfcb2,249,249,0,0.0,-748.2,-1100.41977127805,-81.42222222222222,1.0,-0.3840468124422544,0.0
36,train_balanced_1000035,0.5386963548213323,0.5386963548213323,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.46130364517866773,1027.6000000000004,1169.6940872186606,85.34805555555552,d17fb47064bdfcb2,345,345,0,0.0,-1027.6000000000004,-1169.6940872186606,-85.34805555555552,1.0,-0.46130364517866773,0.0
37,train_balanced_1000036,0.5775061360026952,0.577506136002695,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.422493863997305,877.8999999999999,1093.3305344041698,68.35805555555557,d17fb47064bdfcb2,257,257,0,0.0,-877.8999999999999,-1093.3305344041698,-68.35805555555557,1.0,-0.422493863997305,0.0
38,train_easy_1000037,0.7006890108606794,0.7006890108606797,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.2993109891393203,512.5999999999999,665.95627619868,88.02805555555561,d17fb47064bdfcb2,183,183,0,0.0,-512.5999999999999,-665.95627619868,-88.02805555555561,1.0,-0.2993109891393203,0.0
39,train_machine_bottleneck_1000038,0.4533091568449683,0.4533091568449683,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.5466908431550317,1447.2,1605.0024779431808,37.91138888888887,d17fb47064bdfcb2,375,375,0,0.0,-1447.2,-1605.0024779431808,-37.91138888888887,1.0,-0.5466908431550317,0.0
40,train_balanced_1000039,0.5654243038213258,0.5654243038213258,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.43457569617867414,922.3000000000003,1113.6105855608898,131.37222222222215,d17fb47064bdfcb2,319,319,0,0.0,-922.3000000000003,-1113.6105855608898,-131.37222222222215,1.0,-0.43457569617867414,0.0
41,train_worker_bottleneck_1000040,0.34618047542118613,0.34618047542118613,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.6538195245788139,2266.4000000000015,1702.8380485848102,4.1280555555555525,d17fb47064bdfcb2,423,423,0,0.0,-2266.4000000000015,-1702.8380485848102,-4.128055555555553,1.0,-0.6538195245788139,0.0
42,train_fatigue_bottleneck_1000041,0.3515041448197077,0.3515041448197077,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.6484958551802923,2213.9,2722.0144451911237,4.728888888888894,d17fb47064bdfcb2,428,428,0,0.0,-2213.9,-2722.0144451911237,-4.728888888888893,1.0,-0.6484958551802923,0.0
43,train_balanced_1000042,-0.014285714285714124,-0.014285714285714235,0.0,False,True,False,True,unrecoverable_deadlock,0.9285714285714286,0.9830508474576272,0.0,0.9857142857142858,0.0,1.0,1097.7999999999997,1036.53046440335,64.56333333333333,d17fb47064bdfcb2,288,288,0,0.0,-1097.7999999999997,-1036.53046440335,-64.56333333333333,0.9857142857142858,-1.0,0.0
44,train_balanced_1000043,0.6285355122564424,0.6285355122564424,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.3714644877435575,709.2,548.4987922977798,24.712222222222223,d17fb47064bdfcb2,195,195,0,0.0,-709.2,-548.4987922977798,-24.712222222222223,1.0,-0.3714644877435575,0.0
45,train_easy_1000044,0.7111532535261347,0.7111532535261348,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.2888467464738652,487.40000000000015,717.0778567149803,25.81666666666666,d17fb47064bdfcb2,188,188,0,0.0,-487.40000000000015,-717.0778567149803,-25.81666666666666,1.0,-0.2888467464738652,0.0
46,train_high_arrival_pressure_1000045,0.3573449271909711,0.3573449271909711,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.6426550728090289,2158.0999999999995,2374.7481110197905,12.95222222222223,d17fb47064bdfcb2,458,458,0,0.0,-2158.0999999999995,-2374.7481110197905,-12.95222222222223,1.0,-0.6426550728090289,0.0
47,train_reconfiguration_bottleneck_1000046,-0.05882352941176472,-0.05882352941176472,0.0,False,True,False,True,unrecoverable_deadlock,0.8823529411764706,0.948051948051948,0.0,0.9411764705882353,0.0,1.0,2215.1,3024.04539838112,10.805555555555562,d17fb47064bdfcb2,418,418,0,0.0,-2215.1,-3024.04539838112,-10.805555555555566,0.9411764705882353,-1.0,0.0
48,train_balanced_1000047,0.6312799200378767,0.6312799200378767,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.3687200799621233,700.9000000000002,1201.8835169934603,63.48666666666668,d17fb47064bdfcb2,236,236,0,0.0,-700.9000000000002,-1201.8835169934603,-63.48666666666668,1.0,-0.3687200799621233,0.0
49,train_easy_1000048,0.6995452955578871,0.6995452955578874,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.3004547044421127,515.4000000000002,798.49324437444,28.134722222222237,d17fb47064bdfcb2,208,208,0,0.0,-515.4000000000002,-798.49324437444,-28.134722222222237,1.0,-0.3004547044421127,0.0
50,train_balanced_1000049,0.6605383387460781,0.6605383387460781,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.3394616612539219,616.7,561.0743475229801,112.3913888888889,d17fb47064bdfcb2,178,178,0,0.0,-616.7,-561.0743475229801,-112.3913888888889,1.0,-0.3394616612539219,0.0
51,train_balanced_1000050,0.5590756615728663,0.5590756615728663,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.4409243384271338,946.3999999999999,1378.3405941712213,188.20472222222224,d17fb47064bdfcb2,311,311,0,0.0,-946.3999999999999,-1378.3405941712213,-188.20472222222224,1.0,-0.4409243384271338,0.0
52,train_worker_bottleneck_1000051,0.35797386790764274,0.35797386790764274,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.6420261320923573,2152.2,1792.5221767939013,5.69805555555557,d17fb47064bdfcb2,445,445,0,0.0,-2152.2,-1792.5221767939013,-5.69805555555557,1.0,-0.6420261320923573,0.0
53,train_balanced_1000052,0.5413696652530904,0.5413696652530904,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.4586303347469097,1016.6000000000001,1003.7060455006299,39.29555555555557,d17fb47064bdfcb2,292,292,0,0.0,-1016.6000000000001,-1003.7060455006299,-39.29555555555557,1.0,-0.4586303347469097,0.0
54,train_machine_bottleneck_1000053,0.44701061650214213,0.44701061650214213,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.5529893834978579,1484.4999999999995,1671.46330054994,195.3355555555556,d17fb47064bdfcb2,335,335,0,0.0,-1484.4999999999995,-1671.46330054994,-195.3355555555556,1.0,-0.5529893834978579,0.0
55,train_balanced_1000054,0.627844922304191,0.6278449223041909,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.37215507769580913,711.3,865.6998867469698,100.28916666666665,d17fb47064bdfcb2,240,240,0,0.0,-711.3,-865.6998867469698,-100.28916666666665,1.0,-0.37215507769580913,0.0
56,train_balanced_1000055,0.5501054368754009,0.550105436875401,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.4498945631245989,981.3999999999999,922.2527028221798,56.65916666666669,d17fb47064bdfcb2,283,283,0,0.0,-981.3999999999999,-922.2527028221798,-56.65916666666669,1.0,-0.4498945631245989,0.0
57,train_easy_1000056,0.6857142857142859,0.6857142857142857,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.3142857142857143,550.0,680.3421019720105,30.563333333333343,d17fb47064bdfcb2,207,207,0,0.0,-550.0,-680.3421019720105,-30.563333333333343,1.0,-0.3142857142857143,0.0
58,train_easy_1000057,0.6857926620185163,0.6857926620185164,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.31420733798148365,549.8000000000002,873.26917808226,60.51138888888889,d17fb47064bdfcb2,196,196,0,0.0,-549.8000000000002,-873.26917808226,-60.51138888888889,1.0,-0.31420733798148365,0.0
59,train_balanced_1000058,0.6216972334473111,0.6216972334473112,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.3783027665526888,730.2,1207.22521586439,52.768055555555556,d17fb47064bdfcb2,234,234,0,0.0,-730.2,-1207.22521586439,-52.768055555555556,1.0,-0.3783027665526888,0.0
60,train_easy_1000059,0.6608293408227326,0.6608293408227326,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.3391706591772674,615.9,687.80266017793,61.45555555555555,d17fb47064bdfcb2,212,212,0,0.0,-615.9,-687.80266017793,-61.45555555555555,1.0,-0.3391706591772674,0.0
61,train_high_arrival_pressure_1000060,0.43766868480560217,0.43766868480560217,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.5623313151943978,1541.8,1416.9555483694598,25.984722222222214,d17fb47064bdfcb2,345,345,0,0.0,-1541.8,-1416.9555483694598,-25.984722222222214,1.0,-0.5623313151943978,0.0
62,train_easy_1000061,0.7121661721068252,0.7121661721068251,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.28783382789317496,484.99999999999983,527.2627890770102,32.088888888888896,d17fb47064bdfcb2,169,169,0,0.0,-484.99999999999983,-527.2627890770102,-32.088888888888896,1.0,-0.28783382789317496,0.0
63,train_machine_bottleneck_1000062,0.489296636085627,0.489296636085627,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.510703363914373,1252.4999999999993,963.7319248253402,98.72138888888884,d17fb47064bdfcb2,319,319,0,0.0,-1252.4999999999993,-963.7319248253402,-98.72138888888884,1.0,-0.510703363914373,0.0
64,train_balanced_1000063,0.5785084124764979,0.5785084124764979,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.4214915875235021,874.3000000000004,1280.1100098352395,51.28472222222223,d17fb47064bdfcb2,306,306,0,0.0,-874.3000000000004,-1280.1100098352395,-51.28472222222223,1.0,-0.4214915875235021,0.0
65,train_balanced_1000064,0.5888703503778586,0.5888703503778584,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.4111296496221416,837.8000000000002,887.8081133442898,35.57138888888887,d17fb47064bdfcb2,246,246,0,0.0,-837.8000000000002,-887.8081133442898,-35.57138888888887,1.0,-0.4111296496221416,0.0
66,train_balanced_1000065,0.5982352061418814,0.5982352061418815,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.4017647938581185,805.8999999999999,791.0763607241303,107.05583333333334,d17fb47064bdfcb2,249,249,0,0.0,-805.8999999999999,-791.0763607241303,-107.05583333333334,1.0,-0.4017647938581185,0.0
67,train_reconfiguration_bottleneck_1000066,0.43103448275862066,0.43103448275862066,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.5689655172413793,1584.0,2771.7519272866693,6.135833333333334,d17fb47064bdfcb2,398,398,0,0.0,-1584.0,-2771.7519272866693,-6.135833333333332,1.0,-0.5689655172413793,0.0
68,train_easy_1000067,0.7041427062551344,0.7041427062551343,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.2958572937448657,504.2000000000001,530.5651428154,113.53888888888888,d17fb47064bdfcb2,178,178,0,0.0,-504.2000000000001,-530.5651428154,-113.53888888888888,1.0,-0.2958572937448657,0.0
69,train_balanced_1000068,0.6011421701232342,0.6011421701232341,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.3988578298767659,796.1999999999999,556.66788304543,31.44555555555556,d17fb47064bdfcb2,212,212,0,0.0,-796.1999999999999,-556.66788304543,-31.44555555555556,1.0,-0.3988578298767659,0.0
70,train_balanced_1000069,0.624057413282022,0.624057413282022,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.375942586717978,722.8999999999997,814.8365890464999,48.03555555555556,d17fb47064bdfcb2,234,234,0,0.0,-722.8999999999997,-814.8365890464999,-48.03555555555556,1.0,-0.375942586717978,0.0
71,train_worker_bottleneck_1000070,0.3668827198238962,0.3668827198238962,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.6331172801761038,2070.8000000000015,2153.4228451490403,25.40888888888888,d17fb47064bdfcb2,454,454,0,0.0,-2070.8000000000015,-2153.4228451490403,-25.408888888888868,1.0,-0.6331172801761038,0.0
72,train_balanced_1000071,0.5366486293099593,0.5366486293099593,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.46335137069004073,1036.1000000000004,1299.3841907435615,52.4113888888889,d17fb47064bdfcb2,329,329,0,0.0,-1036.1000000000004,-1299.3841907435615,-52.4113888888889,1.0,-0.46335137069004073,0.0
73,train_balanced_1000072,0.5576208178438664,0.5576208178438664,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.44237918215613364,951.9999999999994,1466.4133024403907,29.044722222222237,d17fb47064bdfcb2,325,325,0,0.0,-951.9999999999994,-1466.4133024403907,-29.044722222222237,1.0,-0.44237918215613364,0.0
74,train_easy_1000073,0.6964596633778293,0.6964596633778293,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.3035403366221707,523.0000000000001,613.2379834377501,36.54222222222224,d17fb47064bdfcb2,214,214,0,0.0,-523.0000000000001,-613.2379834377501,-36.54222222222224,1.0,-0.3035403366221707,0.0
75,train_balanced_1000074,0.5769508149430258,0.576950814943026,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.423049185056974,879.9000000000002,1056.2615836405198,24.664722222222235,d17fb47064bdfcb2,280,280,0,0.0,-879.9000000000002,-1056.2615836405198,-24.664722222222235,1.0,-0.423049185056974,0.0
76,train_balanced_1000075,0.6283380458686774,0.6283380458686774,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.37166195413132264,709.8,1345.0996181597898,119.99472222222228,d17fb47064bdfcb2,239,239,0,0.0,-709.8,-1345.0996181597898,-119.99472222222228,1.0,-0.37166195413132264,0.0
77,train_balanced_1000076,0.6287660466334821,0.6287660466334817,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.37123395336651827,708.5000000000001,804.9042012708201,25.33888888888889,d17fb47064bdfcb2,218,218,0,0.0,-708.5000000000001,-804.9042012708201,-25.33888888888889,1.0,-0.37123395336651827,0.0
78,train_balanced_1000077,0.5720005720005719,0.5720005720005719,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.4279994279994281,897.9000000000002,1217.3249271934899,54.73222222222221,d17fb47064bdfcb2,277,277,0,0.0,-897.9000000000002,-1217.3249271934899,-54.73222222222221,1.0,-0.4279994279994281,0.0
79,train_balanced_1000078,0.6368074718743367,0.6368074718743367,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.36319252812566327,684.3999999999997,764.5750292599898,52.60472222222224,d17fb47064bdfcb2,214,214,0,0.0,-684.3999999999997,-764.5750292599898,-52.60472222222224,1.0,-0.36319252812566327,0.0
80,train_balanced_1000079,0.6382299755345178,0.6382299755345175,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.3617700244654824,680.2000000000002,489.2243987253301,77.21222222222224,d17fb47064bdfcb2,204,204,0,0.0,-680.2000000000002,-489.2243987253301,-77.21222222222224,1.0,-0.3617700244654824,0.0
