update_id,episode_start,episode_end,episode_count,parallel_envs,transition_count,environment_step_count,forced_action_count,forced_action_ratio,worker_step_command_count,worker_local_physical_forced_action_count,worker_local_physical_forced_share,estimated_worker_step_round_trips_avoided,sampling_wall_time_seconds,policy_inference_time_seconds,generation_time_seconds,environment_step_time_seconds,ppo_update_time_seconds,transitions_per_second,reward_phase,candidate_status,policy_loss,value_loss,entropy,loss,approx_kl,clip_fraction,ratio_mean,gradient_norm,gradient_clipped_fraction,gradient_norm_max,return_mean,return_std,advantage_mean,advantage_std,value_prediction_mean,value_prediction_std,pre_update_explained_variance,learning_rate,policy_head_weight_production_processing_time_norm,policy_head_weight_production_reconfiguration_time_norm,policy_head_weight_production_fixed_reconfiguration_cost_norm,policy_head_weight_production_estimated_labor_cost_norm,policy_head_weight_production_estimated_downtime_cost_norm,policy_head_weight_production_horizon_slack_norm,policy_head_weight_worker_stage_duration_norm,policy_head_weight_worker_projected_fatigue_ratio,policy_head_weight_worker_incremental_labor_cost_norm,policy_head_weight_worker_incremental_downtime_cost_norm,policy_head_weight_worker_incremental_load_variance_norm,policy_head_gate_production_common,policy_head_gate_production_residual,policy_head_gate_worker_common,policy_head_gate_worker_residual
1,0,9,10,10,2077,2077,0,0.0,2077,0,0.0,0,12.649390499980655,7.351201500219759,4.280781999987084,1.7099746005260386,27.712519699998666,51.45940788503771,feasibility,feasibility_best,-4.921602367451697e-05,0.017578463309980703,0.5117693435062062,0.0036223222797905855,0.003454579747719408,0.04294834116643125,1.0002974533673488,0.5406511871877945,0.4090909090909091,2.4727494716644287,0.1120266318321228,0.2353038787841797,0.1907845437526703,0.2135828286409378,-0.07875789701938629,0.04323640838265419,0.1761000156402588,0.0001,-0.30021026730537415,-0.30051615834236145,-0.20029079914093018,-0.20035749673843384,-0.2003760039806366,0.300483375787735,-0.29996082186698914,-0.30023816227912903,-0.19972802698612213,-0.19985456764698029,-0.20025990903377533,0.017960481345653534,0.11943339556455612,0.01798621006309986,0.11920963227748871
2,10,19,10,10,1915,1915,0,0.0,1915,0,0.0,0,8.580549900012556,6.492726100317668,1.4546345999697223,1.6165604008128867,24.938355199992657,57.1319377612875,feasibility,not_applicable,0.0014926243262986343,0.007784796471241862,0.5556794678171476,-0.00017177038826048373,0.0010070031496373607,0.008117055085798104,1.0002998034159343,0.6164042202134927,0.4,2.1496570110321045,0.37142086029052734,0.2756041884422302,0.19869354367256165,0.0969751849770546,0.1727273315191269,0.20409239828586578,0.8761917352676392,0.0001,-0.30042746663093567,-0.3007330000400543,-0.2005479484796524,-0.200508713722229,-0.20058034360408783,0.30066704750061035,-0.3001019060611725,-0.3004969358444214,-0.1994594782590866,-0.19994384050369263,-0.20058803260326385,0.01797417923808098,0.11968083679676056,0.01798621006309986,0.11932852119207382
3,20,29,10,10,2180,2180,0,0.0,2180,0,0.0,0,10.13600519997999,7.663611899421085,1.4698797998717055,1.8346359030110762,30.204589699977078,54.03985750349755,feasibility,phase_transition,0.009272360695259912,0.005337514420638659,0.5818830302783421,0.006122288267527308,0.0013309911957808903,0.0140625,0.9996816694736481,0.5303705311247281,0.38571428571428573,2.381284236907959,0.5186280608177185,0.31366845965385437,0.16879723966121674,0.08482332527637482,0.34983083605766296,0.2760064899921417,0.926871120929718,0.0001,-0.30054131150245667,-0.3011455237865448,-0.20086784660816193,-0.20079518854618073,-0.2009764313697815,0.30092501640319824,-0.30003413558006287,-0.3008049726486206,-0.19886857271194458,-0.1999271810054779,-0.2006993293762207,0.01796596683561802,0.11964579671621323,0.01798621006309986,0.11950309574604034
4,30,39,10,10,2375,2375,0,0.0,2375,0,0.0,0,11.180831999983639,8.665349499729928,1.6010333000449464,2.0058685006806627,33.70045189996017,52.91738100217257,quality,not_promoted,-0.00253060587534779,0.003501017274653637,0.5461499208682462,-0.006241597173931568,0.002368646711386789,0.03844572368421053,0.9992389326032839,0.42674815527310495,0.2894736842105263,1.5996497869491577,0.6398890614509583,0.3532884418964386,0.14069345593452454,0.0710202232003212,0.4991956353187561,0.3382633328437805,0.9595884680747986,0.0001,-0.3008926212787628,-0.30177202820777893,-0.20142941176891327,-0.2012302130460739,-0.20141135156154633,0.3016139566898346,-0.3005653917789459,-0.30145570635795593,-0.19917714595794678,-0.20034897327423096,-0.20089687407016754,0.01793796382844448,0.11989195644855499,0.01798621006309986,0.11964151263237
5,40,49,10,10,2364,2364,0,0.0,2364,0,0.0,0,11.382232000003569,8.58375030051684,2.0564654000336304,1.8820788995362818,33.794621300010476,52.32768170684577,quality,not_promoted,0.0014986810651985375,0.0030794947202053124,0.50712108853701,-0.0020327823916198432,0.002311413031625184,0.03284065319678268,1.002010954392923,0.4164708999765886,0.2702702702702703,1.465920329093933,0.7905092835426331,0.366763710975647,0.1289249062538147,0.0757841169834137,0.6615843772888184,0.3620167672634125,0.9573043584823608,0.0001,-0.30111387372016907,-0.30235177278518677,-0.20195887982845306,-0.2016410082578659,-0.2017752081155777,0.30194520950317383,-0.3009622395038605,-0.3018549680709839,-0.19900643825531006,-0.20056739449501038,-0.20083089172840118,0.017909014597535133,0.12026664614677429,0.01798621006309986,0.11966944485902786
6,50,59,10,10,2131,2131,0,0.0,2131,0,0.0,0,9.90279580000788,7.459064699767623,1.648945000139065,1.6542285994510166,28.279814400011674,55.81074706094631,quality,not_promoted,0.0019428290919784237,0.002913821318275843,0.5123221387757975,-0.0017234815544832278,0.0009911882405183004,0.009650735294117647,1.0004698379951364,0.4202560058192295,0.2647058823529412,1.5837105512619019,0.9379224181175232,0.29194486141204834,0.1258276104927063,0.07310611009597778,0.8120948076248169,0.3103581368923187,0.9372944831848145,0.0001,-0.30058208107948303,-0.3026440441608429,-0.20223243534564972,-0.20185987651348114,-0.2019832879304886,0.3018051087856293,-0.30087512731552124,-0.3018065392971039,-0.19888731837272644,-0.200490340590477,-0.20086117088794708,0.017924839630723,0.12034076452255249,0.01798621006309986,0.11954251676797867
7,60,69,10,10,2491,2491,0,0.0,2491,0,0.0,0,12.41210829996271,9.170984799799044,1.8466431999695487,1.9518280000775121,35.09638659999473,52.43272819409464,quality,not_promoted,-0.0015146094016157663,0.0020658544910988077,0.48898398341276705,-0.005371521319597004,0.001952860265588149,0.02454096045440588,0.9984283852271545,0.3983261273839535,0.2692307692307692,1.0968146324157715,1.0134986639022827,0.27239036560058594,0.10037383437156677,0.06884507834911346,0.9131249189376831,0.2962858974933624,0.9361203908920288,0.0001,-0.3006287217140198,-0.3032255172729492,-0.2026754468679428,-0.20227177441120148,-0.20240427553653717,0.30225759744644165,-0.30117377638816833,-0.30210500955581665,-0.19902408123016357,-0.20075561106204987,-0.2007046341896057,0.017931707203388214,0.12085208296775818,0.01798621006309986,0.11954627186059952
8,70,79,10,10,2010,2010,0,0.0,2010,0,0.0,0,17.10930750000989,6.89487050002208,9.357540500059258,1.6569164996617474,26.583038999990094,46.00348026627503,quality,not_promoted,-0.003192135067365598,0.0023803554959158646,0.5341832032427192,-0.00734378925699275,0.001964228418728453,0.025146484375,0.9970674877986312,0.4747682202141732,0.359375,1.231909155845642,1.1868430376052856,0.22039271891117096,0.09355770796537399,0.07053597271442413,1.093285322189331,0.23066937923431396,0.8975700736045837,0.0001,-0.30065327882766724,-0.3035351634025574,-0.20279139280319214,-0.2024729996919632,-0.20264188945293427,0.302517294883728,-0.30094054341316223,-0.3019196093082428,-0.1987840086221695,-0.20060189068317413,-0.2006741315126419,0.017991794273257256,0.12103410065174103,0.01798621006309986,0.11962384730577469
9,80,89,10,10,2087,2087,0,0.0,2087,0,0.0,0,10.462757500004955,7.5301203994313255,1.7092855999944732,2.0727277998812497,29.3806528999703,52.38005429377843,quality,catastrophic_rolled_back,0.0006113514078385903,0.001642232416391683,0.6074643428578521,-0.004642175496414755,0.0017288681494502464,0.023674242424242424,1.000207326628945,0.4271961974375176,0.3181818181818182,1.2350751161575317,1.1672322750091553,0.2694680392742157,0.08324921876192093,0.06728964298963547,1.0839829444885254,0.27647608518600464,0.9376434683799744,0.0001,-0.3006914258003235,-0.3038513958454132,-0.20301148295402527,-0.2026442289352417,-0.2028173953294754,0.30252254009246826,-0.30058780312538147,-0.30140310525894165,-0.19882424175739288,-0.20035703480243683,-0.20092985033988953,0.018020525574684143,0.12135826796293259,0.01798621006309986,0.11974884569644928
10,90,99,10,10,1996,1996,0,0.0,1996,0,0.0,0,9.228536800015718,7.018839100492187,1.4172515998943709,1.7203443009057082,27.39753739995649,54.496695144070735,quality,not_promoted,-0.0031259101524483413,0.0017890284825625713,0.6127860136330128,-0.008359254970855545,0.00280065570223087,0.039306640625,1.0002655563876033,0.47878509061411023,0.390625,1.2171839475631714,1.1547809839248657,0.21182522177696228,0.09602298587560654,0.07001148164272308,1.058758020401001,0.2328202873468399,0.8907595872879028,0.0001,-0.30066198110580444,-0.30311319231987,-0.20254094898700714,-0.20219257473945618,-0.20235179364681244,0.30229371786117554,-0.30109575390815735,-0.3019448518753052,-0.19926486909389496,-0.20067931711673737,-0.20068666338920593,0.017929229885339737,0.12062544375658035,0.01798621006309986,0.11965902894735336
11,100,109,10,10,2173,2173,0,0.0,2173,0,0.0,0,10.792678500001784,7.660576099355239,1.9645552999572828,2.1371162006398663,29.847923399996944,53.46869628916761,quality,not_promoted,-0.0003089566085049335,0.001519470491021981,0.6302467488190707,-0.00585168826749877,0.003256122741731815,0.04832148026017582,1.000093410120291,0.48527354078696056,0.4411764705882353,1.3771854639053345,1.2038620710372925,0.24030011892318726,0.08084449917078018,0.06383804976940155,1.12301766872406,0.24628540873527527,0.9294249415397644,0.0001,-0.3005135953426361,-0.3036462366580963,-0.20280322432518005,-0.20256422460079193,-0.20274053514003754,0.3024583160877228,-0.3017077147960663,-0.30243831872940063,-0.19963830709457397,-0.20111219584941864,-0.20077283680438995,0.017933562397956848,0.12087554484605789,0.01798621006309986,0.11972597241401672
12,110,119,10,10,2394,2394,0,0.0,2394,0,0.0,0,11.810842300008517,8.878613700100686,1.7474026000709273,2.2019630001159385,34.34535269998014,51.86736038359722,quality,not_promoted,-0.00017583420451142286,0.00165706470847669,0.6356048513399927,-0.0057033506638713575,0.00360649748855442,0.05403909420496539,0.9998865504013864,0.4410262061773162,0.32894736842105265,1.0257961750030518,1.2882559299468994,0.2699142396450043,0.07030633091926575,0.06791871786117554,1.2179495096206665,0.2791379392147064,0.9366819858551025,0.0001,-0.30024221539497375,-0.30405887961387634,-0.20309409499168396,-0.2028411477804184,-0.20298996567726135,0.3025815784931183,-0.3022922873497009,-0.3022945523262024,-0.19990995526313782,-0.20147345960140228,-0.20074087381362915,0.017962533980607986,0.12106500566005707,0.01798621006309986,0.1196630671620369
13,120,129,10,10,2193,2193,0,0.0,2193,0,0.0,0,10.566447100020014,7.9819881998118944,1.6112434000242501,2.113218300684821,29.63300790003268,54.55297839229724,quality,catastrophic_rolled_back,-0.0043391535723848,0.0011446421096999464,0.6177035148654665,-0.009943867631123534,0.002071445159214948,0.022544642857142857,1.0001752580915177,0.3690209205661501,0.18571428571428572,0.9989600777626038,1.363021731376648,0.2244507372379303,0.05846555531024933,0.06412994116544724,1.304556131362915,0.21943214535713196,0.918364405632019,0.0001,-0.2999245822429657,-0.30457574129104614,-0.20354324579238892,-0.20324112474918365,-0.20338007807731628,0.3027048707008362,-0.3019576966762543,-0.3022654354572296,-0.19956329464912415,-0.20118260383605957,-0.20060184597969055,0.017954863607883453,0.12158776074647903,0.01798621006309986,0.1197395771741867
