update_id,episode_start,episode_end,episode_count,parallel_envs,transition_count,environment_step_count,forced_action_count,forced_action_ratio,worker_step_command_count,worker_local_physical_forced_action_count,worker_local_physical_forced_share,estimated_worker_step_round_trips_avoided,sampling_wall_time_seconds,policy_inference_time_seconds,generation_time_seconds,environment_step_time_seconds,ppo_update_time_seconds,transitions_per_second,reward_phase,candidate_status,policy_loss,value_loss,entropy,loss,approx_kl,clip_fraction,ratio_mean,gradient_norm,gradient_clipped_fraction,gradient_norm_max,return_mean,return_std,advantage_mean,advantage_std,value_prediction_mean,value_prediction_std,pre_update_explained_variance,learning_rate,policy_head_weight_production_processing_time_norm,policy_head_weight_production_reconfiguration_time_norm,policy_head_weight_production_fixed_reconfiguration_cost_norm,policy_head_weight_production_estimated_labor_cost_norm,policy_head_weight_production_estimated_downtime_cost_norm,policy_head_weight_production_horizon_slack_norm,policy_head_weight_worker_stage_duration_norm,policy_head_weight_worker_projected_fatigue_ratio,policy_head_weight_worker_incremental_labor_cost_norm,policy_head_weight_worker_incremental_downtime_cost_norm,policy_head_weight_worker_incremental_load_variance_norm,policy_head_gate_production_common,policy_head_gate_production_residual,policy_head_gate_worker_common,policy_head_gate_worker_residual,policy_head_preference_action_scale
1,0,9,10,10,2613,2613,0,0.0,2613,0,0.0,0,15.92871219990775,11.308325798716396,1.4620902998140082,4.124603401403874,22.143895599991083,68.63202052597362,feasibility,feasibility_best,0.0009734543585559217,0.00715693174123128,0.6672965884208679,-0.002121045699956395,0.0030895659200301986,0.041697825600461265,1.0015702741902048,0.589355711711616,0.5121951219512195,1.5978683233261108,0.2900031805038452,0.16242074966430664,0.12951737642288208,0.17535340785980225,0.16048581898212433,0.04076383262872696,-0.1655888557434082,0.0001,-0.3000124990940094,-0.2999720275402069,-0.19992314279079437,-0.19998250901699066,-0.2000947892665863,0.3000228703022003,-0.30013900995254517,-0.2996217906475067,-0.19954046607017517,-0.20006318390369415,-0.1999872624874115,0.01798621006309986,0.11917515844106674,0.01798621006309986,0.11947941780090332,0.9988836646080017
2,10,19,10,10,1764,1764,0,0.0,1764,0,0.0,0,14.210251900018193,7.150106801185757,12.481111299945042,4.674243496614508,13.4164287999738,63.85131891724188,feasibility,feasibility_best,-0.008296155387402646,0.03777013353205153,0.8066111536962646,0.0025228002590925564,0.005736789092355009,0.08537946428571429,0.9995216727256775,0.6185953819325992,0.5892857142857143,1.7394452095031738,0.526233434677124,0.2350313514471054,0.12096673250198364,0.21869885921478271,0.4052666425704956,0.12340214848518372,0.13415241241455078,0.0001,-0.29971373081207275,-0.29998600482940674,-0.20006053149700165,-0.1999933123588562,-0.20008575916290283,0.29978010058403015,-0.30018967390060425,-0.2995496094226837,-0.19958724081516266,-0.20007139444351196,-0.19973835349082947,0.01798621006309986,0.11920159310102463,0.01798621006309986,0.11984829604625702,0.9981882572174072
3,20,29,10,10,1828,1828,0,0.0,1828,0,0.0,0,10.206071599968709,7.192761100246571,0.9324941000668332,2.896775097819045,13.392320499988273,77.46290477152179,feasibility,not_applicable,0.005252791632866037,0.01661929894431398,0.7349155195828142,0.006213286554376627,0.0036941592758200294,0.023587164822323568,1.0005297013397874,0.6369810710693228,0.5689655172413793,1.768064260482788,0.6467100977897644,0.21531295776367188,0.13881932199001312,0.13512355089187622,0.5078907012939453,0.13221102952957153,0.6061582565307617,0.0001,-0.2997565269470215,-0.3003314435482025,-0.20023851096630096,-0.20023193955421448,-0.2002754807472229,0.2998885214328766,-0.30030035972595215,-0.29933977127075195,-0.19940243661403656,-0.20004525780677795,-0.19947455823421478,0.01798621006309986,0.11931458115577698,0.01798621006309986,0.12004760652780533,0.9979100823402405
4,30,39,10,10,2164,2164,0,0.0,2164,0,0.0,0,11.248296899953857,8.773929500603117,1.248561599990353,2.530062099103816,16.35923790000379,78.38439816087164,feasibility,feasibility_best,-0.0026856818893814787,0.0023893725832321625,0.5510830050882172,-0.007001825861687607,0.003380636451765895,0.047440610935582835,0.9971191339633044,0.46700607459334764,0.35294117647058826,1.4992616176605225,0.8122256398200989,0.16412226855754852,0.13455460965633392,0.052187010645866394,0.677670955657959,0.15108607709407806,0.8988909721374512,0.0001,-0.29963842034339905,-0.30109864473342896,-0.20055608451366425,-0.20075826346874237,-0.200714111328125,0.3002278506755829,-0.30024999380111694,-0.29912471771240234,-0.19927120208740234,-0.20006434619426727,-0.19951927661895752,0.01798621006309986,0.11965950578451157,0.01798621006309986,0.12009496241807938,0.9981786012649536
5,40,49,10,10,2213,2213,0,0.0,2213,0,0.0,0,11.337947400053963,8.950150099233724,2.1741250000195578,2.0521262985421345,16.581939399940893,79.26249901559085,feasibility,feasibility_best,-0.0037098208176238197,0.013309367420151829,0.543833299619811,-0.0024934702419808935,0.0054306441535508,0.06126327221947057,1.0019546295915331,0.527125698540892,0.37142857142857144,2.1420226097106934,0.9317090511322021,0.23704469203948975,0.1079954281449318,0.13016286492347717,0.8237137198448181,0.1928962618112564,0.6984816789627075,0.0001,-0.29995471239089966,-0.3013937175273895,-0.20070481300354004,-0.2009662240743637,-0.20092882215976715,0.3008243143558502,-0.3001406490802765,-0.2988545000553131,-0.19929982721805573,-0.19998116791248322,-0.19950193166732788,0.01798621006309986,0.11998911201953888,0.01798621006309986,0.12021049857139587,0.9982604384422302
6,50,59,10,10,1796,1796,0,0.0,1796,0,0.0,0,8.816918500000611,7.043319399701431,1.1352850999683142,1.7002326004439965,12.727327500004321,83.36332587362718,feasibility,not_applicable,-0.0004299908137783922,0.0024036671916135297,0.46917883817363404,-0.003919946575730011,0.0009816506785212148,0.012122844827586207,0.9998659142132463,0.45103611199763316,0.3448275862068966,1.4926904439926147,1.0709056854248047,0.13924366235733032,0.11707215756177902,0.0519646555185318,0.9538335800170898,0.14865848422050476,0.8607275485992432,0.0001,-0.3001961410045624,-0.3015228807926178,-0.20087452232837677,-0.201041117310524,-0.2009911835193634,0.3011201322078705,-0.29970040917396545,-0.298457533121109,-0.19952794909477234,-0.19996236264705658,-0.19929693639278412,0.01798621006309986,0.12054038792848587,0.01798621006309986,0.12007402628660202,0.9981497526168823
7,60,69,10,10,1792,1792,0,0.0,1792,0,0.0,0,8.715225900057703,7.065551501233131,1.240764999995008,1.6495411036303267,12.9188831000356,82.83216100983273,feasibility,not_applicable,0.00014159113301762512,0.0015579442489459844,0.4506726704005684,-0.0035861637609611663,0.0010379705023037136,0.013671875,1.0009080437677247,0.37967060200337854,0.2857142857142857,1.1545538902282715,1.1618589162826538,0.09868971258401871,0.10035905987024307,0.048341408371925354,1.061499834060669,0.09117603302001953,0.7600643038749695,0.0001,-0.30019986629486084,-0.3024360239505768,-0.2015489637851715,-0.2016829401254654,-0.20168673992156982,0.30139675736427307,-0.29972973465919495,-0.2983722686767578,-0.1998249739408493,-0.19999617338180542,-0.19922807812690735,0.01798621006309986,0.12035369127988815,0.01798621006309986,0.11993804574012756,0.9992232322692871
8,70,79,10,10,1813,1813,0,0.0,1813,0,0.0,0,8.901890899986029,7.083735798718408,1.081038200063631,1.7638140002964064,12.699200199916959,83.93094550710646,feasibility,not_applicable,-0.004023158184156336,0.001419266658997693,0.43338765152569475,-0.007647400352590043,0.0011181816787876446,0.019678776698379682,1.0003632009029388,0.39464621900998315,0.27586206896551724,0.9834666848182678,1.2475045919418335,0.11163460463285446,0.0815213993191719,0.04469076916575432,1.1659832000732422,0.09948774427175522,0.8397352695465088,0.0001,-0.300066202878952,-0.30203506350517273,-0.20144912600517273,-0.20141582190990448,-0.20129796862602234,0.3011767566204071,-0.2993389964103699,-0.2987416088581085,-0.19963927567005157,-0.19972597062587738,-0.1992606371641159,0.01798621006309986,0.12045597285032272,0.01798621006309986,0.11998837441205978,0.998012125492096
9,80,89,10,10,1803,1803,0,0.0,1803,0,0.0,0,8.974062300054356,7.1524069994920865,1.2171976000536233,1.6930071981623769,13.063248099992052,81.8157918216827,feasibility,feasibility_best,-0.0008993602422033919,0.001223466328218788,0.447835098052847,-0.0047659773684652715,0.0014937617530010577,0.021282327586206896,0.9985878046216636,0.3967174170859929,0.22413793103448276,0.915292501449585,1.2982361316680908,0.16962312161922455,0.06777139753103256,0.041031744331121445,1.2304648160934448,0.14310705661773682,0.9414846301078796,0.0001,-0.300021767616272,-0.3023121953010559,-0.2016642689704895,-0.20160898566246033,-0.20142580568790436,0.30124667286872864,-0.2990465760231018,-0.29877278208732605,-0.19938597083091736,-0.1995234340429306,-0.1994064897298813,0.01798621006309986,0.12068476527929306,0.01798621006309986,0.11996550112962723,0.9972180128097534
10,90,99,10,10,1801,1801,0,0.0,1801,0,0.0,0,9.22955920000095,7.196607099613175,1.1795605999650434,1.7880593992304057,13.275309000047855,80.02712941887366,feasibility,not_applicable,0.010801140475889733,0.011781310038400236,0.48199754234018,0.011871819585112148,0.0011906471195759188,0.01697198275862069,0.9997451069026158,0.4601300209760666,0.3275862068965517,1.1872079372406006,1.308971643447876,0.2665252685546875,0.03579140454530716,0.12333481013774872,1.2731801271438599,0.18963401019573212,0.785861611366272,0.0001,-0.29986533522605896,-0.3026641011238098,-0.20188818871974945,-0.20185081660747528,-0.20169085264205933,0.30131494998931885,-0.29850050806999207,-0.29844969511032104,-0.1992829591035843,-0.199144184589386,-0.19947406649589539,0.01798621006309986,0.12057652324438095,0.01798621006309986,0.11989148706197739,0.99677574634552
