episode,update_id,instance_id,instance_seed,pressure_type,cost_profile,steps,policy_steps,forced_actions,forced_action_ratio,worker_step_command_count,worker_local_physical_forced_action_count,worker_local_physical_forced_share,estimated_worker_step_round_trips_avoided,unattributed_forced_reward,reward,reward_base,reward_shaping,reward_training,expected_reward,reward_identity_error,reward_phase,reward_flow,reward_cost,reward_variance,reward_completion_progress,reward_completion_bonus,reward_quality,reward_truncation,reward_unfinished,reward_feasibility_shaping,completed_operations,time,terminated,truncated,terminal_reason,completed_order_ratio,completed_operation_ratio,total_flow_time,flow_time_objective,reconfiguration_cost,worker_load_variance,quality_score,maximum_worker_fatigue,mean_peak_worker_fatigue,safe_fatigue_limit,fatigue_masked_action_count,fatigue_masked_action_ratio,worker_competition_event_count,worker_matching_deficit_event_count,resource_admission_masked_action_count,resource_admission_masked_action_ratio,minimum_worker_alternatives,matching_preserving_worker_action_count,candidate_recovery_advance_count,production_defer_recovery_improvement_count,production_defer_wait_ticks,production_defer_wait_time,conditional_worker_wait_opportunity_count,conditional_worker_wait_selected_count,conditional_worker_wait_total_ticks,conditional_worker_wait_total_time,conditional_worker_wait_pair_gain_sum,conditional_worker_wait_fatigue_improvement_sum,conditional_worker_wait_duration_improvement_ticks_sum,conditional_worker_wait_max_consecutive_observed,reconfiguration_reuse_count,qualification_scarcity_regret,qualification_scarcity_decision_count,conditional_worker_wait_reason_counts,machine_waiting_for_worker_time,completed_reconfigurations,worker_switch_ratio,direct_process_action_count,commit_reconfig_action_count,defer_production_action_count,worker_assign_action_count,advance_event_action_count,forced_action_state_count,forced_production_count,forced_worker_count,forced_pair_count,forced_advance_count,forced_production_pair_count,forced_production_advance_count,forced_worker_pair_count,forced_worker_advance_count,forced_pair_advance_blocked_non_delay_count,forced_worker_pair_non_delay_count,forced_pair_advance_physically_unavailable_count,forced_advance_pair_physically_unavailable_count,forced_wait_dis_count,forced_wait_ins_count,forced_mixed_wait_stage_count,forced_phase_handoff_count,forced_recovery_advance_count,forced_future_event_advance_count,forced_direct_process_count,forced_commit_reconfig_count,forced_defer_production_count,forced_worker_assign_count,forced_advance_event_count,forced_action_chain_count,longest_forced_action_chain,mean_forced_action_chain_length,schedule_violation_count,parallel_envs,batch_transition_count,sampling_wall_time_seconds,policy_inference_time_seconds,generation_time_seconds,environment_step_time_seconds,ppo_update_time_seconds,loss_scope,candidate_status,policy_loss,value_loss,entropy,loss,approx_kl,clip_fraction,ratio_mean,gradient_norm,gradient_clipped_fraction,gradient_norm_max,return_mean,return_std,advantage_mean,advantage_std,value_prediction_mean,value_prediction_std,pre_update_explained_variance,learning_rate,policy_head_weight_production_processing_time_norm,policy_head_weight_production_reconfiguration_time_norm,policy_head_weight_production_fixed_reconfiguration_cost_norm,policy_head_weight_production_estimated_labor_cost_norm,policy_head_weight_production_estimated_downtime_cost_norm,policy_head_weight_production_horizon_slack_norm,policy_head_weight_worker_stage_duration_norm,policy_head_weight_worker_projected_fatigue_ratio,policy_head_weight_worker_incremental_labor_cost_norm,policy_head_weight_worker_incremental_downtime_cost_norm,policy_head_weight_worker_incremental_load_variance_norm,policy_head_gate_production_common,policy_head_gate_production_residual,policy_head_gate_worker_common,policy_head_gate_worker_residual
0,1,train_fatigue_bottleneck_1000000,1000000,fatigue_bottleneck,balanced_cost,392,392,0,0.0,392,0,0.0,0,0.0,1.9374999999999996,1.9999999999999996,-0.0625,1.9374999999999996,2.0,-4.440892098500626e-16,feasibility,-1677.300000000001,-1130.5203165209198,-12.388055555555566,1.0000000000000002,1.0,-0.49037340571464577,0.0,0.0,-0.0625,81,178.10000000000002,True,False,completed,1.0,1.0,1677.300000000001,1677.300000000001,1130.5203165209198,12.388055555555562,0.49037340571464577,0.7499230438999995,0.6566522392333333,0.75,88,0.29931972789115646,46,46,16,0.07729468599033816,0,97,0,0,1298,129.8,0,0,0,0.0,0,0.0,0,0,46,0.0,0,{},12.3,22,0.8181818181818182,59,22,180,44,87,256,159,97,10,246,0,159,10,87,10,10,0,246,25,114,0,83,45,244,0,0,159,10,87,99,56,2.585858585858586,0,10,2199,13.377346599998418,7.8584006998862606,0.2839320999919437,0.3456361001590267,20.162562300014542,parallel_episode_batch,feasibility_best,-0.005686515782560621,0.013586771847414119,0.44695188190255847,-0.003362648391963116,0.0033301603182085923,0.0359666149531092,0.9993621826171875,0.8468253836035728,0.5285714285714286,7.67020845413208,0.21315667033195496,0.20522305369377136,0.17132557928562164,0.18263597786426544,0.04183107614517212,0.04155316576361656,0.20800882577896118,0.0001,-0.3004573583602905,-0.2999054491519928,-0.19964031875133514,-0.1999431848526001,-0.19990871846675873,0.2996702492237091,-0.29999610781669617,-0.29989293217658997,-0.1999458223581314,-0.20000037550926208,-0.20003721117973328,0.01798136718571186,0.018005119636654854,0.017986256629228592,0.017963938415050507
1,1,train_easy_1000001,1000001,easy,balanced_cost,165,165,0,0.0,165,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-529.2,-352.77012005633986,-5.440000000000001,0.9999999999999997,1.0,-0.25087638748933877,0.0,0.0,-0.0625,50,173.10000000000002,True,False,completed,1.0,1.0,529.2,529.2,352.77012005633986,5.440000000000001,0.25087638748933877,0.16200000000000003,0.1251934378,0.75,0,0.0,0,0,0,0.0,2,50,0,0,1457,145.70000000000002,0,0,0,0.0,0,0.0,0,0,15,0.0,0,{},0.0,9,1.0,41,9,80,18,17,86,69,17,0,86,0,69,0,17,0,0,0,86,8,9,0,17,0,86,0,0,69,0,17,59,4,1.4576271186440677,0,10,2199,13.377346599998418,7.8584006998862606,0.1693573000084143,0.18990079968352802,20.162562300014542,parallel_episode_batch,feasibility_best,-0.005686515782560621,0.013586771847414119,0.44695188190255847,-0.003362648391963116,0.0033301603182085923,0.0359666149531092,0.9993621826171875,0.8468253836035728,0.5285714285714286,7.67020845413208,0.21315667033195496,0.20522305369377136,0.17132557928562164,0.18263597786426544,0.04183107614517212,0.04155316576361656,0.20800882577896118,0.0001,-0.3004573583602905,-0.2999054491519928,-0.19964031875133514,-0.1999431848526001,-0.19990871846675873,0.2996702492237091,-0.29999610781669617,-0.29989293217658997,-0.1999458223581314,-0.20000037550926208,-0.20003721117973328,0.01798136718571186,0.018005119636654854,0.017986256629228592,0.017963938415050507
2,1,train_easy_1000002,1000002,easy,balanced_cost,137,137,0,0.0,137,0,0.0,0,0.0,1.9374999999999998,1.9999999999999998,-0.0625,1.9374999999999998,2.0,-2.220446049250313e-16,feasibility,-438.7,-280.3201576077201,-6.4091666666666685,0.9999999999999999,1.0,-0.22226356147341103,0.0,0.0,-0.0625,43,170.4,True,False,completed,1.0,1.0,438.7,438.7,280.3201576077201,6.4091666666666685,0.22226356147341103,0.1505,0.11259382123333334,0.75,0,0.0,0,0,0,0.0,2,42,0,1,1436,143.6,0,0,0,0.0,0,0.0,0,0,14,0.0,0,{},0.0,7,1.0,36,7,67,14,13,78,65,13,0,78,0,65,0,13,0,0,0,78,7,7,1,13,0,78,0,0,65,0,13,56,4,1.3928571428571428,0,10,2199,13.377346599998418,7.8584006998862606,2.5844573999929707,0.11724810014129616,20.162562300014542,parallel_episode_batch,feasibility_best,-0.005686515782560621,0.013586771847414119,0.44695188190255847,-0.003362648391963116,0.0033301603182085923,0.0359666149531092,0.9993621826171875,0.8468253836035728,0.5285714285714286,7.67020845413208,0.21315667033195496,0.20522305369377136,0.17132557928562164,0.18263597786426544,0.04183107614517212,0.04155316576361656,0.20800882577896118,0.0001,-0.3004573583602905,-0.2999054491519928,-0.19964031875133514,-0.1999431848526001,-0.19990871846675873,0.2996702492237091,-0.29999610781669617,-0.29989293217658997,-0.1999458223581314,-0.20000037550926208,-0.20003721117973328,0.01798136718571186,0.018005119636654854,0.017986256629228592,0.017963938415050507
3,1,train_balanced_1000003,1000003,balanced,balanced_cost,202,202,0,0.0,202,0,0.0,0,0.0,1.9375000000000009,2.000000000000001,-0.0625,1.9375000000000009,2.0,8.881784197001252e-16,feasibility,-705.9999999999997,-577.8524981007698,-8.202222222222224,0.9999999999999997,1.0,-0.32325803065969416,0.0,0.0,-0.0625,57,212.9,True,False,completed,1.0,1.0,705.9999999999997,705.9999999999997,577.8524981007698,8.202222222222224,0.32325803065969416,0.252,0.18612802220000002,0.75,0,0.0,0,0,0,0.0,2,75,0,0,1694,169.4,2,0,0,0.0,0,0.0,0,0,24,0.0,0,{},0.0,13,0.9230769230769231,44,13,95,26,24,110,86,24,0,110,0,86,0,24,0,0,0,110,13,13,2,24,0,110,0,0,86,0,24,79,3,1.3924050632911393,0,10,2199,13.377346599998418,7.8584006998862606,0.19307750000734814,0.1797651001252234,20.162562300014542,parallel_episode_batch,feasibility_best,-0.005686515782560621,0.013586771847414119,0.44695188190255847,-0.003362648391963116,0.0033301603182085923,0.0359666149531092,0.9993621826171875,0.8468253836035728,0.5285714285714286,7.67020845413208,0.21315667033195496,0.20522305369377136,0.17132557928562164,0.18263597786426544,0.04183107614517212,0.04155316576361656,0.20800882577896118,0.0001,-0.3004573583602905,-0.2999054491519928,-0.19964031875133514,-0.1999431848526001,-0.19990871846675873,0.2996702492237091,-0.29999610781669617,-0.29989293217658997,-0.1999458223581314,-0.20000037550926208,-0.20003721117973328,0.01798136718571186,0.018005119636654854,0.017986256629228592,0.017963938415050507
4,1,train_balanced_1000004,1000004,balanced,balanced_cost,230,230,0,0.0,230,0,0.0,0,0.0,1.9374999999999998,1.9999999999999998,-0.0625,1.9374999999999998,2.0,-2.220446049250313e-16,feasibility,-872.4,-608.0015912782004,-22.678055555555552,0.9999999999999999,1.0,-0.38632050841904936,0.0,0.0,-0.0625,64,202.60000000000002,True,False,completed,1.0,1.0,872.4,872.4,608.0015912782004,22.67805555555555,0.38632050841904936,0.2738,0.18450000000000003,0.75,0,0.0,0,0,0,0.0,2,81,0,1,1734,173.4,0,0,0,0.0,0,0.0,0,0,33,0.0,0,{},0.0,15,0.9333333333333333,49,15,108,30,28,119,91,28,0,119,0,91,0,28,0,0,0,119,14,15,1,28,0,119,0,0,91,0,28,81,4,1.4691358024691359,0,10,2199,13.377346599998418,7.8584006998862606,0.14422089999425225,0.14046869979938492,20.162562300014542,parallel_episode_batch,feasibility_best,-0.005686515782560621,0.013586771847414119,0.44695188190255847,-0.003362648391963116,0.0033301603182085923,0.0359666149531092,0.9993621826171875,0.8468253836035728,0.5285714285714286,7.67020845413208,0.21315667033195496,0.20522305369377136,0.17132557928562164,0.18263597786426544,0.04183107614517212,0.04155316576361656,0.20800882577896118,0.0001,-0.3004573583602905,-0.2999054491519928,-0.19964031875133514,-0.1999431848526001,-0.19990871846675873,0.2996702492237091,-0.29999610781669617,-0.29989293217658997,-0.1999458223581314,-0.20000037550926208,-0.20003721117973328,0.01798136718571186,0.018005119636654854,0.017986256629228592,0.017963938415050507
5,1,train_easy_1000005,1000005,easy,downtime_dominant,143,143,0,0.0,143,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-456.3000000000002,-378.7376882121598,-3.7488888888888883,0.9999999999999998,1.0,-0.2341060890762433,0.0,0.0,-0.0625,45,171.3,True,False,completed,1.0,1.0,456.3000000000002,456.3000000000002,378.7376882121598,3.7488888888888883,0.2341060890762433,0.17300000000000004,0.15180000000000005,0.75,0,0.0,0,0,0,0.0,2,41,0,0,1557,155.70000000000002,0,0,0,0.0,0,0.0,0,0,14,0.0,0,{},0.0,7,1.0,38,7,71,14,13,76,63,13,0,76,0,63,0,13,0,0,0,76,6,5,0,11,0,76,0,0,63,0,13,55,5,1.3818181818181818,0,10,2199,13.377346599998418,7.8584006998862606,0.10257220000494272,0.125891500065336,20.162562300014542,parallel_episode_batch,feasibility_best,-0.005686515782560621,0.013586771847414119,0.44695188190255847,-0.003362648391963116,0.0033301603182085923,0.0359666149531092,0.9993621826171875,0.8468253836035728,0.5285714285714286,7.67020845413208,0.21315667033195496,0.20522305369377136,0.17132557928562164,0.18263597786426544,0.04183107614517212,0.04155316576361656,0.20800882577896118,0.0001,-0.3004573583602905,-0.2999054491519928,-0.19964031875133514,-0.1999431848526001,-0.19990871846675873,0.2996702492237091,-0.29999610781669617,-0.29989293217658997,-0.1999458223581314,-0.20000037550926208,-0.20003721117973328,0.01798136718571186,0.018005119636654854,0.017986256629228592,0.017963938415050507
6,1,train_balanced_1000006,1000006,balanced,fixed_cost_dominant,243,243,0,0.0,243,0,0.0,0,0.0,1.9375000000000002,2.0,-0.0625,1.9375000000000002,2.0,0.0,feasibility,-808.1,-597.65833962527,-18.998888888888885,1.0000000000000002,1.0,-0.368505413524375,0.0,0.0,-0.0625,66,200.0,True,False,completed,1.0,1.0,808.1,808.1,597.65833962527,18.998888888888885,0.368505413524375,0.2711,0.19547697871666667,0.75,0,0.0,0,0,0,0.0,2,87,0,1,1493,149.3,0,0,0,0.0,0,0.0,0,0,37,0.0,0,{},0.0,16,1.0,50,16,113,32,32,131,99,32,0,131,0,99,0,32,0,0,0,131,16,15,0,31,0,131,0,0,99,0,32,89,4,1.4719101123595506,0,10,2199,13.377346599998418,7.8584006998862606,0.16628040000796318,0.1820170000428334,20.162562300014542,parallel_episode_batch,feasibility_best,-0.005686515782560621,0.013586771847414119,0.44695188190255847,-0.003362648391963116,0.0033301603182085923,0.0359666149531092,0.9993621826171875,0.8468253836035728,0.5285714285714286,7.67020845413208,0.21315667033195496,0.20522305369377136,0.17132557928562164,0.18263597786426544,0.04183107614517212,0.04155316576361656,0.20800882577896118,0.0001,-0.3004573583602905,-0.2999054491519928,-0.19964031875133514,-0.1999431848526001,-0.19990871846675873,0.2996702492237091,-0.29999610781669617,-0.29989293217658997,-0.1999458223581314,-0.20000037550926208,-0.20003721117973328,0.01798136718571186,0.018005119636654854,0.017986256629228592,0.017963938415050507
7,1,train_balanced_1000007,1000007,balanced,balanced_cost,175,175,0,0.0,175,0,0.0,0,0.0,1.9374999999999996,1.9999999999999996,-0.0625,1.9374999999999996,2.0,-4.440892098500626e-16,feasibility,-651.5000000000003,-409.8028616409001,-8.705555555555557,0.9999999999999998,1.0,-0.29280108934023663,0.0,0.0,-0.0625,53,189.9,True,False,completed,1.0,1.0,651.5000000000003,651.5000000000003,409.8028616409001,8.705555555555557,0.29280108934023663,0.18480000000000002,0.14521795540000002,0.75,0,0.0,0,0,0,0.0,2,57,0,0,1621,162.10000000000002,0,0,0,0.0,0,0.0,0,0,24,0.0,0,{},0.0,10,1.0,43,10,82,20,20,89,69,20,0,89,0,69,0,20,0,0,0,89,10,9,0,19,0,89,0,0,69,0,20,63,3,1.4126984126984128,0,10,2199,13.377346599998418,7.8584006998862606,0.18208309999317862,0.16292240016628057,20.162562300014542,parallel_episode_batch,feasibility_best,-0.005686515782560621,0.013586771847414119,0.44695188190255847,-0.003362648391963116,0.0033301603182085923,0.0359666149531092,0.9993621826171875,0.8468253836035728,0.5285714285714286,7.67020845413208,0.21315667033195496,0.20522305369377136,0.17132557928562164,0.18263597786426544,0.04183107614517212,0.04155316576361656,0.20800882577896118,0.0001,-0.3004573583602905,-0.2999054491519928,-0.19964031875133514,-0.1999431848526001,-0.19990871846675873,0.2996702492237091,-0.29999610781669617,-0.29989293217658997,-0.1999458223581314,-0.20000037550926208,-0.20003721117973328,0.01798136718571186,0.018005119636654854,0.017986256629228592,0.017963938415050507
8,1,train_fatigue_bottleneck_1000008,1000008,fatigue_bottleneck,labor_dominant,348,348,0,0.0,348,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-1559.9,-1094.4434477498398,-6.804722222222221,1.0,1.0,-0.4633229741138727,0.0,0.0,-0.0625,71,169.0,True,False,completed,1.0,1.0,1559.9,1559.9,1094.4434477498398,6.804722222222222,0.4633229741138727,0.7498771538999989,0.7289273016333327,0.75,177,0.5822368421052632,37,37,94,0.39662447257383965,0,86,0,0,1155,115.5,0,0,0,0.0,0,0.0,0,0,37,0.0,0,{},20.8,23,0.9565217391304348,48,23,154,46,77,240,147,93,16,224,0,147,16,77,16,16,0,224,27,106,3,77,79,224,0,0,147,16,77,88,44,2.727272727272727,0,10,2199,13.377346599998418,7.8584006998862606,0.4250599999795668,0.289240400219569,20.162562300014542,parallel_episode_batch,feasibility_best,-0.005686515782560621,0.013586771847414119,0.44695188190255847,-0.003362648391963116,0.0033301603182085923,0.0359666149531092,0.9993621826171875,0.8468253836035728,0.5285714285714286,7.67020845413208,0.21315667033195496,0.20522305369377136,0.17132557928562164,0.18263597786426544,0.04183107614517212,0.04155316576361656,0.20800882577896118,0.0001,-0.3004573583602905,-0.2999054491519928,-0.19964031875133514,-0.1999431848526001,-0.19990871846675873,0.2996702492237091,-0.29999610781669617,-0.29989293217658997,-0.1999458223581314,-0.20000037550926208,-0.20003721117973328,0.01798136718571186,0.018005119636654854,0.017986256629228592,0.017963938415050507
9,1,train_balanced_1000009,1000009,balanced,fixed_cost_dominant,164,164,0,0.0,164,0,0.0,0,0.0,1.9375000000000004,2.0000000000000004,-0.0625,1.9375000000000004,2.0,4.440892098500626e-16,feasibility,-594.5999999999999,-316.11303970520004,-8.072222222222223,1.0,1.0,-0.26552034277320324,0.0,0.0,-0.0625,50,201.3,True,False,completed,1.0,1.0,594.5999999999999,594.5999999999999,316.11303970520004,8.072222222222223,0.26552034277320324,0.17700000000000002,0.12193463113333335,0.75,0,0.0,0,0,0,0.0,3,54,0,0,1699,169.9,0,0,0,0.0,0,0.0,0,0,17,0.0,0,{},0.0,9,1.0,41,9,78,18,18,88,70,18,0,88,0,70,0,18,0,0,0,88,9,8,0,17,0,88,0,0,70,0,18,63,3,1.3968253968253967,0,10,2199,13.377346599998418,7.8584006998862606,0.08566459998837672,0.14313760024379008,20.162562300014542,parallel_episode_batch,feasibility_best,-0.005686515782560621,0.013586771847414119,0.44695188190255847,-0.003362648391963116,0.0033301603182085923,0.0359666149531092,0.9993621826171875,0.8468253836035728,0.5285714285714286,7.67020845413208,0.21315667033195496,0.20522305369377136,0.17132557928562164,0.18263597786426544,0.04183107614517212,0.04155316576361656,0.20800882577896118,0.0001,-0.3004573583602905,-0.2999054491519928,-0.19964031875133514,-0.1999431848526001,-0.19990871846675873,0.2996702492237091,-0.29999610781669617,-0.29989293217658997,-0.1999458223581314,-0.20000037550926208,-0.20003721117973328,0.01798136718571186,0.018005119636654854,0.017986256629228592,0.017963938415050507
