arm,non_delay_worker_dispatch,training_episode_count,training_completion_rate,training_mean_flow_time_objective,training_mean_reconfiguration_cost,training_mean_worker_load_variance,training_environment_steps,training_forced_action_ratio,training_mean_episode_longest_forced_action_chain,training_p95_episode_longest_forced_action_chain,training_maximum_forced_action_chain,training_non_delay_forced_share,training_forced_action_state_count,training_forced_production_count,training_forced_worker_count,training_forced_pair_count,training_forced_advance_count,training_forced_production_pair_count,training_forced_production_advance_count,training_forced_worker_pair_count,training_forced_worker_advance_count,training_forced_pair_advance_blocked_non_delay_count,training_forced_worker_pair_non_delay_count,training_forced_pair_advance_physically_unavailable_count,training_forced_advance_pair_physically_unavailable_count,training_forced_wait_dis_count,training_forced_wait_ins_count,training_forced_mixed_wait_stage_count,training_forced_phase_handoff_count,training_forced_recovery_advance_count,training_forced_future_event_advance_count,training_forced_action_chain_count,evaluation_available,evaluation_instance_count,evaluation_completion_rate,evaluation_mean_flow_time_objective,evaluation_mean_reconfiguration_cost,evaluation_mean_worker_load_variance,evaluation_forced_action_ratio,evaluation_mean_longest_forced_action_chain,evaluation_mean_forced_worker_pair_non_delay_count
non_delay_on,True,600,0.9933333333333333,1036.3086666666663,796.8819118334951,4.871835185185186,200296,0.6488147541638375,18.98,29.149999999999864,3762,0.015466892385825862,129955,57338,72617,2012,127943,2,57336,2010,70607,2010,2010,2,127943,10048,19523,577,57336,6002,124314,59723,True,20,1.0,1080.2800000000002,629.2257250757086,2.806430555555557,0.6149584487534626,8.15,2.7
non_delay_off,False,600,0.9933333333333333,1031.3628333333331,820.3728909155764,4.323936111111111,219262,0.6599319535532833,23.468333333333334,47.29999999999973,3762,0.0,144698,70927,73771,0,144698,0,70927,0,73771,0,0,0,144698,12993,29465,1110,70927,10614,139135,65974,True,20,1.0,1102.8700000000008,758.702385267083,2.6618888888888894,0.5776391364626658,16.15,0.0
