update_id,episode_start,episode_end,episode_count,parallel_envs,transition_count,environment_step_count,forced_action_count,forced_action_ratio,worker_step_command_count,worker_local_physical_forced_action_count,worker_local_physical_forced_share,estimated_worker_step_round_trips_avoided,sampling_wall_time_seconds,policy_inference_time_seconds,generation_time_seconds,environment_step_time_seconds,ppo_update_time_seconds,transitions_per_second,reward_phase,candidate_status,policy_loss,value_loss,entropy,loss,approx_kl,clip_fraction,ratio_mean,gradient_norm,gradient_clipped_fraction,counterfactual_loss,counterfactual_eligible_count,counterfactual_high_flow_commit_flip_count,counterfactual_high_flow_commit_flip_rate,counterfactual_state_scale_mean,counterfactual_state_scale_max,counterfactual_low_flow_identity_violation_count,counterfactual_monotonicity_violation_count,gradient_norm_max,return_mean,return_std,advantage_mean,advantage_std,value_prediction_mean,value_prediction_std,pre_update_explained_variance,learning_rate,policy_head_weight_production_processing_time_norm,policy_head_weight_production_reconfiguration_time_norm,policy_head_weight_production_fixed_reconfiguration_cost_norm,policy_head_weight_production_estimated_labor_cost_norm,policy_head_weight_production_estimated_downtime_cost_norm,policy_head_weight_production_horizon_slack_norm,policy_head_weight_worker_stage_duration_norm,policy_head_weight_worker_projected_fatigue_ratio,policy_head_weight_worker_incremental_labor_cost_norm,policy_head_weight_worker_incremental_downtime_cost_norm,policy_head_weight_worker_incremental_load_variance_norm,policy_head_gate_production_common,policy_head_gate_production_residual,policy_head_gate_worker_common,policy_head_gate_worker_residual,policy_head_preference_action_scale,policy_head_preference_action_scale_production,policy_head_preference_action_scale_worker
1,0,9,10,10,2147,2147,0,0.0,2147,0,0.0,0,20.34486769999785,9.575607900085743,1.7695659000164596,8.884464499875321,19.74096439999994,53.56007066646668,feasibility,not_applicable,0.0005699065650868066,0.03356018941164674,0.9786423409686369,0.007563578800353057,3.479299047124668e-05,0.0,0.9998811737579458,0.6220741985256181,0.5147058823529411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.732870101928711,-0.2163376659154892,0.2422182857990265,0.1575416922569275,0.25760602951049805,-0.3738793730735779,0.04983352869749069,-0.13109254837036133,0.0001,-0.30012431740760803,-0.3000568151473999,-0.20020371675491333,-0.20006391406059265,-0.20003290474414825,0.30001387000083923,-0.29981815814971924,-0.2997141480445862,-0.20013286173343658,-0.19981324672698975,-0.20008371770381927,0.01798621006309986,0.11943697184324265,0.01798621006309986,0.11919187754392624,1.0002816915512085,1.0002816915512085,1.0002816915512085
2,10,19,10,10,1569,1569,0,0.0,1569,0,0.0,0,13.679075100008049,6.634051300061401,1.668347500017262,6.478699799859896,12.306863899997552,60.37880716951047,feasibility,feasibility_best,-0.0012060993164777756,0.06323349133133888,0.8838146436214447,0.021572501007467507,6.535181710205506e-05,0.0,0.9997417235374451,0.8202541410923004,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.142530679702759,0.026019683107733727,0.33535683155059814,0.1335035264492035,0.2670259177684784,-0.10748384147882462,0.1787414848804474,0.3659953474998474,0.0001,-0.30015459656715393,-0.3004153370857239,-0.20036232471466064,-0.20031623542308807,-0.20030245184898376,0.3002086579799652,-0.29973405599594116,-0.29927748441696167,-0.20005083084106445,-0.19971543550491333,-0.19969908893108368,0.01798621006309986,0.11960826814174652,0.01798621006309986,0.11962392926216125,1.0006285905838013,1.0006285905838013,1.0006285905838013
3,20,29,10,10,1779,1779,0,0.0,1779,0,0.0,0,12.281938300002366,7.689876400007051,1.0173962999688229,4.333916400035378,14.687707900011446,65.96304552186112,feasibility,not_applicable,-0.0021400336575295243,0.03621843202771353,0.8645916070256915,0.007323266289729092,0.00026002658134010356,0.0,0.9995597718017442,0.5476129698966231,0.4642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4592949151992798,0.27741172909736633,0.3049464821815491,0.14075659215450287,0.20903094112873077,0.13665513694286346,0.17654873430728912,0.5301341414451599,0.0001,-0.3000621795654297,-0.2999851107597351,-0.20007990300655365,-0.20001095533370972,-0.20002834498882294,0.3000752329826355,-0.29977789521217346,-0.29906436800956726,-0.20006369054317474,-0.19970397651195526,-0.19985449314117432,0.01798621006309986,0.11961366981267929,0.01798621006309986,0.11987638473510742,1.0005112886428833,1.0005112886428833,1.0005112886428833
4,30,39,10,10,2132,2132,0,0.0,2132,0,0.0,0,13.044948900002055,9.177718399951118,1.364491199987242,4.260624699949403,17.635890499994275,69.48962419849097,feasibility,not_applicable,-0.0034008115557405878,0.019510353059398338,0.7162831785047755,-0.0008084662532543435,0.0006046523168847404,0.0,1.0002472032518948,0.6000026041532264,0.5441176470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0354909896850586,0.4463399052619934,0.2818065881729126,0.1445550173521042,0.1446727216243744,0.30178484320640564,0.2115676999092102,0.7364451885223389,0.0001,-0.2994789481163025,-0.30039840936660767,-0.20048454403877258,-0.20030055940151215,-0.2003217190504074,0.299930214881897,-0.29940491914749146,-0.2988203465938568,-0.20017476379871368,-0.19943904876708984,-0.20009620487689972,0.01798621006309986,0.11955570429563522,0.01798621006309986,0.12016501277685165,0.9999967813491821,0.9999967813491821,0.9999967813491821
5,40,49,10,10,2173,2173,0,0.0,2173,0,0.0,0,12.408865599994897,9.39636500008055,2.4326867000054335,3.2168973997759167,18.081442300011986,71.26854891483433,feasibility,not_applicable,-0.0014402461512123838,0.0058115872414097845,0.7330479630652595,-0.005864933174213066,0.0007075449534835678,0.0,0.9993356851970449,0.4763371709953336,0.27941176470588236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9805116653442383,0.6052621006965637,0.29693537950515747,0.16584305465221405,0.0916169062256813,0.4394189715385437,0.24893975257873535,0.9048020839691162,0.0001,-0.2994299530982971,-0.3008233606815338,-0.20071662962436676,-0.20060274004936218,-0.20062731206417084,0.3001650869846344,-0.29982954263687134,-0.2986574172973633,-0.2003369778394699,-0.1997266411781311,-0.1997089982032776,0.01798621006309986,0.11951044201850891,0.01798621006309986,0.12050732225179672,1.0000454187393188,1.0000454187393188,1.0000454187393188
6,50,59,10,10,1801,1801,0,0.0,1801,0,0.0,0,10.241698099998757,7.665450700078509,1.322617400001036,2.589486000055331,14.660968300013337,72.32157276134596,feasibility,phase_transition,0.006858521992147997,0.006004039742100727,0.6839220965730732,0.0030213204324887745,0.00014943817439353583,0.0,0.9997849834376368,0.5407395718683456,0.39655172413793105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.967860460281372,0.8601933717727661,0.20729981362819672,0.163727268576622,0.07961883395910263,0.6964660882949829,0.23536375164985657,0.8524857759475708,0.0001,-0.29957953095436096,-0.30146387219429016,-0.20111456513404846,-0.20105691254138947,-0.2010505348443985,0.3004165589809418,-0.30000901222229004,-0.2984941005706787,-0.20072519779205322,-0.19972604513168335,-0.19936570525169373,0.01798621006309986,0.11958125978708267,0.01798621006309986,0.12064416706562042,1.0005831718444824,1.0005831718444824,1.0005831718444824
7,60,69,10,10,1804,1804,0,0.0,1804,0,0.0,0,9.78612059999432,7.6606056999153225,1.3098663999844575,2.3830664005945437,14.994895399999223,72.79766091916773,quality,pending,0.014800541391917344,0.019624933399709648,0.5780230041207939,0.018832778285161174,7.403263121683142e-06,0.0,0.9998999011927637,0.40085636528915375,0.3620689655172414,0.0,0.0,0.0,0.0,2.0276629513707656,2.033860514903891,0.0,0.0,1.1671727895736694,1.0306217670440674,0.21078826487064362,0.10841955989599228,0.1620412915945053,0.9222022294998169,0.20113642513751984,0.4090394377708435,0.0001,-0.2996992766857147,-0.301782488822937,-0.20129497349262238,-0.2012835294008255,-0.20127049088478088,0.30057838559150696,-0.30014047026634216,-0.2983826696872711,-0.20068785548210144,-0.19979402422904968,-0.1995474398136139,0.01798621006309986,0.11969384551048279,0.01798621006309986,0.12086742371320724,1.0011149644851685,1.0011149644851685,1.0011149644851685
8,70,79,10,10,1877,1877,0,0.0,1877,0,0.0,0,9.906010100006824,7.978121099949931,1.2383869000041159,2.221092800202314,14.975723800002015,75.43686495253986,quality,pending,-0.003082985896617174,0.003273363665599997,0.4937999735275904,-0.006384303133624296,5.345977288584436e-06,0.0,1.0000011175870895,0.3114427308862408,0.18333333333333332,0.0,0.0,0.0,0.0,2.0688518047332765,2.0833937406539915,0.0,0.0,1.4827836751937866,1.0712214708328247,0.14265963435173035,0.11094793677330017,0.06489603221416473,0.9602735638618469,0.17503295838832855,0.7930649518966675,0.0001,-0.2995961904525757,-0.3022449016571045,-0.20165657997131348,-0.201621413230896,-0.20152100920677185,0.30087918043136597,-0.3003348410129547,-0.29899680614471436,-0.2008059173822403,-0.19992460310459137,-0.19984076917171478,0.01798621006309986,0.11960270255804062,0.01798621006309986,0.12103845924139023,1.0021940469741821,1.0021940469741821,1.0021940469741821
9,80,89,10,10,1884,1884,0,0.0,1884,0,0.0,0,10.342969199991785,8.055624800123041,1.3670466000185115,2.265497799628065,15.788705300001311,72.0964131097109,quality,pending,0.002552962303161621,0.002332841858151369,0.5316519275307655,-0.0015971359990847608,9.203509288605952e-06,0.0,0.9999925931294759,0.22888370112826426,0.1,0.0,0.0,0.0,0.0,2.1355517864227296,2.1670507351557413,0.0,0.0,1.091004490852356,1.1363698244094849,0.1463036835193634,0.09713981300592422,0.06926999986171722,1.0392299890518188,0.14927875995635986,0.7758287787437439,0.0001,-0.2992197871208191,-0.30283328890800476,-0.20206943154335022,-0.20203718543052673,-0.20188960433006287,0.3009905517101288,-0.2999127507209778,-0.2989838123321533,-0.2004515677690506,-0.19971054792404175,-0.19981877505779266,0.01798621006309986,0.11972348392009735,0.01798621006309986,0.12084656953811646,1.0032737255096436,1.0032737255096436,1.0032737255096436
10,90,99,10,10,1805,1805,0,0.0,1805,0,0.0,0,10.175282900003367,7.760565099975793,1.317994200042449,2.451156100083608,15.28490659999079,70.89499471323315,quality,pending,-0.0016610816699163668,0.013514763880360487,0.5825809630854376,-0.0007295097738247493,3.253780454511359e-06,0.0,0.9998932439705421,0.4264453984797001,0.3620689655172414,0.0,0.0,0.0,0.0,2.180791238258625,2.222533267119835,0.0,0.0,1.4767584800720215,1.1948938369750977,0.242624893784523,0.06348057091236115,0.13444049656391144,1.131413221359253,0.17523452639579773,0.6929638385772705,0.0001,-0.29872238636016846,-0.3029966652393341,-0.2021888941526413,-0.2021556943655014,-0.20202255249023438,0.30071505904197693,-0.29985952377319336,-0.2990185022354126,-0.20016154646873474,-0.19968442618846893,-0.19982179999351501,0.01798621006309986,0.11988763511180878,0.01798621006309986,0.12071748822927475,1.0032576322555542,1.0032576322555542,1.0032576322555542
