sampling_seed,instance_id,seed,pressure_type,cost_profile,ood_factor,terminated,truncated,termination_reason,decisions,makespan,completed_orders,unfinished_orders,feasibility_proxy_return,total_flow_time,flow_time_objective,reconfiguration_cost,worker_load_variance,quality_score,heuristic_quality_score,inference_time_seconds,solve_time_seconds,inference_time_per_decision_ms,heuristic_completed,heuristic_makespan,heuristic_flow_time,heuristic_reconfiguration_cost,heuristic_worker_load_variance,relative_heuristic_gap_percent,makespan_heuristic_gap_percent,reconfiguration_cost_heuristic_gap_percent,worker_load_variance_heuristic_gap_percent,maximum_worker_fatigue,mean_peak_worker_fatigue,safe_fatigue_limit,fatigue_masked_action_count,fatigue_masked_action_ratio,worker_competition_event_count,worker_matching_deficit_event_count,resource_admission_masked_action_count,resource_admission_masked_action_ratio,minimum_worker_alternatives,matching_preserving_worker_action_count,candidate_recovery_advance_count,machine_waiting_for_worker_time,completed_reconfigurations,worker_switch_ratio,schedule_violation_count,total_effective_load,max_module_load,ready_configuration_gap_ratio,heuristic_reconfiguration_ratio,mean_wave_overlap_ratio
100011,test_balanced_3000000,3000000,balanced,balanced_cost,,True,False,completed,257,200.9,14,0,2.0,668.1999999999999,668.1999999999999,521.7187606640099,3.2422222222222206,0.2938688857396995,0.26827048743043946,1.4402686321089277,31.665083600004436,5.604158101591159,True,198.7,622.1,405.364739249,2.9180555556,7.410384182607283,1.107196779063924,28.703537863350775,11.108995714633217,0.1632,0.14186666666666667,0.75,0,0.0,0,0,0,0.0,2,70,0,0.0,12,1.0,0,0.2820833333,0.15825,0.1509433962,0.1698113208,0.1738825215
100011,test_machine_bottleneck_3000001,3000001,machine_bottleneck,downtime_dominant,,True,False,completed,362,210.4,18,0,2.0,1422.5999999999997,1422.5999999999997,883.7339878912404,6.314722222222223,0.4343877866011371,0.4059658070727755,2.0881200649804956,42.446134999991045,5.768287472321811,True,196.0,1280.0,950.3677026909,0.4333333333,11.140624999999975,7.346938775510206,-7.011361456306954,1357.2435898556853,0.25250000000000006,0.21785000000000002,0.75,0,0.0,0,0,0,0.0,1,78,0,0.0,16,1.0,0,0.4420833333,0.4335,0.4,0.2125,0.617876481
100011,test_reconfiguration_bottleneck_3000002,3000002,reconfiguration_bottleneck,downtime_dominant,,True,False,completed,419,215.0,18,0,2.0,1407.4999999999995,1407.4999999999995,1846.5779294907409,5.988055555555555,0.48589530804385983,0.5340999254431404,2.791030107854599,45.635950500000035,6.66116970848353,True,237.7,1404.1,2667.3459497884,15.0655555556,0.2421479951570142,-9.54985275557425,-30.770962437878392,-60.253337266877345,0.7500000000000001,0.6831000000000002,0.75,34,0.23776223776223776,8,8,91,0.3285198555956679,0,109,3,9.600000000000001,25,1.0,0,0.4119791667,0.2345833333,0.5061728395,0.3456790123,0.5754903502
100011,test_worker_bottleneck_3000003,3000003,worker_bottleneck,balanced_cost,,True,False,completed,392,152.4,18,0,2.0,1746.7999999999997,1746.7999999999997,915.7265870036697,1.1155555555555574,0.44415559447805725,0.43811949064540695,2.3727854245180744,44.459719999998924,6.053024042137944,True,143.2,1684.0,865.3065498386,1.8122222222,3.7292161520189864,6.424581005586605,5.8268410396840595,-38.442673205866754,0.3603308615000001,0.31154476596666664,0.75,0,0.0,0,0,0,0.0,1,120,0,0.0,22,0.9545454545454546,0,0.4077604167,0.32925,0.6875,0.25,0.828712154
100011,test_fatigue_bottleneck_3000004,3000004,fatigue_bottleneck,fixed_cost_dominant,,False,True,horizon,4651,240.0,5,12,-0.911764705882353,,5980.699999999898,2948.819847133349,0.3388888888888888,0.6418170509188067,0.44890068133267075,129.21647660766305,203.55036929999187,27.782514858667607,True,152.3,1511.0,943.4031066642,7.0091666667,295.8107213765651,57.583716349310556,212.5726241839659,-95.16506162567195,0.33568850429999997,0.28709691686666666,0.75,0,0.0,2298,2299,45053,0.9990021730453679,0,14,0,918.7,1,1.0,0,0.39515625,0.312,0.6216216216,0.2837837838,0.8243399715
100011,test_high_arrival_pressure_3000005,3000005,high_arrival_pressure,balanced_cost,,True,False,completed,364,140.5,17,0,2.0,1375.4000000000003,1375.4000000000003,771.9309117893002,2.0313888888888907,0.40552797534616697,0.36544152672904395,2.100703483160921,42.5982476999925,5.771163415277255,True,127.5,1227.9,509.5383381236,2.9955555556,12.012378858213227,10.196078431372548,51.496139550946026,-32.186572701302815,0.25210000000000005,0.21530000000000002,0.75,0,0.0,0,0,0,0.0,1,90,0,0.0,18,1.0,0,0.3719791667,0.231,0.3648648649,0.1621621622,0.7880060221
100011,test_easy_3000006,3000006,easy,downtime_dominant,,True,False,completed,270,188.3,14,0,2.0,562.5999999999998,562.5999999999998,714.55887760668,2.036666666666665,0.2924494766138233,0.23960889928363768,1.518598139300346,33.14802399999462,5.6244375529642445,True,180.3,504.0,376.5752128695,2.5358333333,11.626984126984087,4.437049362174154,89.7519680495557,-19.684521852378438,0.1622,0.14025,0.75,0,0.0,0,0,0,0.0,1,84,0,0.0,15,1.0,0,0.2271354167,0.1334166667,0.1538461538,0.1538461538,0.0
100011,test_balanced_3000007,3000007,balanced,balanced_cost,,True,False,completed,261,215.0,13,0,2.0,663.6000000000001,663.6000000000001,624.9533644321007,4.59666666666667,0.3102604502180284,0.29156025310139516,1.4632762098872467,32.11739079999097,5.606422260104393,True,205.4,630.2,530.2365106987,4.1833333333,5.299904792129497,4.673807205452772,17.86313311555836,9.880478088525022,0.20500000000000004,0.15579526916666667,0.75,0,0.0,0,0,0,0.0,2,87,0,0.0,15,1.0,0,0.2720833333,0.14975,0.2549019608,0.2549019608,0.3340720222
100011,test_machine_bottleneck_3000008,3000008,machine_bottleneck,downtime_dominant,,True,False,completed,370,188.9,16,0,2.0,1288.3999999999996,1288.3999999999996,1199.95817980998,3.253333333333336,0.4347333077266594,0.41492668934814253,2.1421752642715646,43.048970100004226,5.7896628764096345,True,174.9,1106.5,1186.6305783169,3.2647222222,16.4392227745142,8.00457404230989,1.1231466419804967,-0.3488471021889687,0.2862999999999999,0.25215440651666665,0.75,0,0.0,0,0,0,0.0,2,116,0,0.0,22,1.0,0,0.3916666667,0.3551666667,0.4428571429,0.3142857143,0.6717606793
100011,test_reconfiguration_bottleneck_3000009,3000009,reconfiguration_bottleneck,labor_dominant,,True,False,completed,371,182.9,18,0,2.0,1275.2,1275.2,830.0505115476913,5.0413888888888945,0.4119839824540473,0.41870938535435376,2.1495129142719733,43.11442859999079,5.793835348441977,True,184.9,1255.4,1150.4869020918,0.6513888889,1.5771865540863432,-1.0816657652785289,-27.852241512832133,673.9445628865861,0.4367000000000001,0.33926666666666666,0.75,0,0.0,0,0,0,0.0,1,92,0,0.0,18,0.9444444444444444,0,0.4091145833,0.2419166667,0.6329113924,0.3164556962,0.6412666888
