update_id,episode_start,episode_end,episode_count,parallel_envs,transition_count,environment_step_count,forced_action_count,forced_action_ratio,worker_step_command_count,worker_local_physical_forced_action_count,worker_local_physical_forced_share,estimated_worker_step_round_trips_avoided,sampling_wall_time_seconds,policy_inference_time_seconds,generation_time_seconds,environment_step_time_seconds,ppo_update_time_seconds,transitions_per_second,reward_phase,candidate_status,policy_loss,value_loss,entropy,loss,approx_kl,clip_fraction,ratio_mean,gradient_norm,gradient_clipped_fraction,gradient_norm_max,return_mean,return_std,advantage_mean,advantage_std,value_prediction_mean,value_prediction_std,pre_update_explained_variance,learning_rate,policy_head_weight_production_processing_time_norm,policy_head_weight_production_reconfiguration_time_norm,policy_head_weight_production_fixed_reconfiguration_cost_norm,policy_head_weight_production_estimated_labor_cost_norm,policy_head_weight_production_estimated_downtime_cost_norm,policy_head_weight_production_horizon_slack_norm,policy_head_weight_worker_stage_duration_norm,policy_head_weight_worker_projected_fatigue_ratio,policy_head_weight_worker_incremental_labor_cost_norm,policy_head_weight_worker_incremental_downtime_cost_norm,policy_head_weight_worker_incremental_load_variance_norm,policy_head_gate_production_common,policy_head_gate_production_residual,policy_head_gate_worker_common,policy_head_gate_worker_residual
1,0,9,10,10,2199,2199,0,0.0,2199,0,0.0,0,9.08440469999914,4.3372066000592895,3.823325199977262,1.803633898962289,14.96444710000651,91.43887692798221,feasibility,feasibility_best,-0.0056216067235384665,0.014939177914389543,0.4466346779039928,-0.002618364095022636,0.0032065696112113075,0.03338509319084031,0.9994947697435107,1.9008105312074934,0.6428571428571429,67.77088928222656,0.21313734352588654,0.20524071156978607,0.17132534086704254,0.1826384961605072,0.04181201010942459,0.041569631546735764,0.20812320709228516,0.0001,-0.300654798746109,-0.2998926043510437,-0.19970963895320892,-0.19993209838867188,-0.19987304508686066,0.29978033900260925,-0.2999363839626312,-0.2998836636543274,-0.1999800056219101,-0.19995908439159393,-0.20003139972686768,0.01797230914235115,0.0180079136043787,0.01798621006309986,0.017990561202168465
2,10,19,10,10,1901,1901,0,0.0,1901,0,0.0,0,5.330886700015981,3.444879100046819,1.2648084000102244,1.8027330992917996,12.702745000016876,105.41415238044019,feasibility,not_applicable,0.001296739080377544,0.008719083139051993,0.5247406234343847,0.00040887504971275724,0.001238845275171722,0.019490740758677325,1.0004966656366985,0.7956366506715615,0.7,2.74084210395813,0.42859089374542236,0.2342604398727417,0.1918446272611618,0.09539375454187393,0.23674623668193817,0.1641256958246231,0.83417809009552,0.0001,-0.300480455160141,-0.3005578815937042,-0.20008888840675354,-0.20039676129817963,-0.20029249787330627,0.3000953197479248,-0.300475537776947,-0.3004992604255676,-0.19988322257995605,-0.2003275603055954,-0.20027528703212738,0.017992965877056122,0.017996525391936302,0.01798621006309986,0.017990097403526306
3,20,29,10,10,2263,2263,0,0.0,2263,0,0.0,0,6.276608099986333,4.256241200113436,1.169473400019342,1.8380497989128344,16.001613100001123,101.57902552836104,feasibility,phase_transition,-0.00028436949166158837,0.004637674671054508,0.5087417537967364,-0.003052949077553219,0.0019761433116703606,0.028070274792197678,1.000919910768668,0.5380436283432775,0.4166666666666667,1.6275283098220825,0.5639999508857727,0.27765709161758423,0.15456688404083252,0.07384800910949707,0.4094330668449402,0.2406301200389862,0.9292608499526978,0.0001,-0.300216406583786,-0.30132386088371277,-0.20070545375347137,-0.2009250819683075,-0.20085537433624268,0.3006502389907837,-0.30127429962158203,-0.3013407588005066,-0.1999945193529129,-0.2008679360151291,-0.20042015612125397,0.017977571114897728,0.01801137626171112,0.01798621006309986,0.018009060993790627
4,30,39,10,10,2360,2360,0,0.0,2360,0,0.0,0,6.557269400014775,4.479446700017434,1.3233339000144042,1.9855470001639333,17.35906360001536,98.67733485718844,quality,not_promoted,0.00028596640992406254,0.003653846161968603,0.46765948147387115,-0.002563705076337666,0.0010222090609573028,0.012246621621621621,0.9974731794885687,0.4751344866849281,0.2702702702702703,2.7807652950286865,0.6951170563697815,0.294185072183609,0.1287223845720291,0.07150852680206299,0.5663946866989136,0.2711332142353058,0.9409154057502747,0.0001,-0.3006172478199005,-0.30187374353408813,-0.20090724527835846,-0.20131848752498627,-0.20135140419006348,0.30143842101097107,-0.30170008540153503,-0.3015402555465698,-0.20015716552734375,-0.20102235674858093,-0.20055274665355682,0.01798124983906746,0.018014445900917053,0.01798621006309986,0.018015753477811813
5,40,49,10,10,2359,2359,0,0.0,2359,0,0.0,0,6.901892800000496,4.520919199771015,1.7391848000115715,2.091397900832817,17.562177800020436,96.42712525518878,quality,not_promoted,0.00039486481329879244,0.0031796552577509065,0.5006203099682525,-0.003021510745826605,0.0013042766411279052,0.016258445945945946,1.0004113695105992,0.38009315880166517,0.21621621621621623,1.1972126960754395,0.8013788461685181,0.3286738991737366,0.11902976036071777,0.07299681007862091,0.6823490262031555,0.31213483214378357,0.9506738185882568,0.0001,-0.3011314570903778,-0.3025214970111847,-0.20118753612041473,-0.20176880061626434,-0.20186090469360352,0.30264541506767273,-0.3021499216556549,-0.3019008934497833,-0.20030196011066437,-0.2014002650976181,-0.20089004933834076,0.018019406124949455,0.018036644905805588,0.01798621006309986,0.01805138774216175
6,50,59,10,10,2192,2192,0,0.0,2192,0,0.0,0,6.05650279999827,4.056385199713986,1.3352398999850266,1.8049700000847224,14.919216299982509,104.50178082342877,quality,not_promoted,0.0017567403348428862,0.0022714642383756915,0.47017342277935575,-0.0018092621583491563,0.0013663671544886062,0.015401785714285715,0.9995821331228528,0.3335371568799019,0.14285714285714285,1.32986581325531,0.9638125896453857,0.23984295129776,0.11106611788272858,0.06329470872879028,0.8527464270591736,0.25070279836654663,0.9303564429283142,0.0001,-0.3011733293533325,-0.3030611574649811,-0.2011549323797226,-0.20214104652404785,-0.20213249325752258,0.3032274842262268,-0.3019959330558777,-0.30189478397369385,-0.20003338158130646,-0.20127947628498077,-0.2010473757982254,0.017999980598688126,0.01801617257297039,0.01798621006309986,0.018051864579319954
7,60,69,10,10,2553,2553,0,0.0,2553,0,0.0,0,8.776216600002954,5.541348300233949,1.6284159000206273,2.160144900321029,18.410360900015803,93.9066346250549,quality,not_promoted,0.00019887476228177547,0.0016617195040453225,0.41741337701678277,-0.0031443980580661444,0.001099085017631296,0.013500548247247935,0.9989374488592148,0.3007274576462805,0.1125,1.0503205060958862,1.042424201965332,0.2708583176136017,0.09108173847198486,0.06304755806922913,0.9513424634933472,0.29086312651634216,0.9458183646202087,0.0001,-0.3008078336715698,-0.30362772941589355,-0.20136475563049316,-0.2025328129529953,-0.20255208015441895,0.3036442995071411,-0.3019660413265228,-0.3019174039363861,-0.19965030252933502,-0.2012784779071808,-0.20127631723880768,0.01801682636141777,0.01803571917116642,0.01798621006309986,0.018061693757772446
8,70,79,10,10,2019,2019,0,0.0,2019,0,0.0,0,12.909018100006506,3.588493700197432,8.661694400012493,1.6924915011913981,13.28203719999874,77.08738639483518,quality,not_promoted,-4.4865591917186975e-06,0.0017695845740490768,0.4274791651405394,-0.0033944866809179075,0.0007062587399104814,0.010009765625,0.9989796858280897,0.411683059646748,0.15625,3.964661121368408,1.1754542589187622,0.20310473442077637,0.08641382306814194,0.06472603231668472,1.0890406370162964,0.20380547642707825,0.8984411358833313,0.0001,-0.30089661478996277,-0.3041875958442688,-0.20181232690811157,-0.2029254138469696,-0.20291046798229218,0.30414482951164246,-0.3023297190666199,-0.302431583404541,-0.19946810603141785,-0.2015017420053482,-0.20181791484355927,0.01801329106092453,0.018041390925645828,0.01798621006309986,0.018077874556183815
9,80,89,10,10,2139,2139,0,0.0,2139,0,0.0,0,6.556946400000015,4.260613800026476,1.3238833998912014,1.7333339001634158,15.121861099993112,98.66778880714163,quality,not_promoted,0.004134430577430655,0.0016070515827296356,0.43723897416802016,0.0005655672661412288,0.0011458522143691558,0.019701456979793662,0.9995351793134913,0.447341235135408,0.19117647058823528,4.589427947998047,1.1780505180358887,0.26842430233955383,0.07887408882379532,0.06443572789430618,1.0991764068603516,0.27020373940467834,0.942375123500824,0.0001,-0.30088546872138977,-0.3048638105392456,-0.20219376683235168,-0.20340797305107117,-0.2033579796552658,0.30443042516708374,-0.3024526834487915,-0.3025628328323364,-0.19957943260669708,-0.20156776905059814,-0.20182238519191742,0.018007969483733177,0.018093092367053032,0.01798621006309986,0.0181035865098238
10,90,99,10,10,2051,2051,0,0.0,2051,0,0.0,0,5.404575000022305,3.6612705999577884,1.2457950999378227,1.6397045002086088,14.111352700012503,105.09364615018234,quality,not_promoted,0.010571131129946672,0.0013020526287922014,0.41174084083600476,0.007104750641508762,0.0018234189271672883,0.027462121212121212,1.003108105876229,0.33043542024538375,0.10606060606060606,3.0060360431671143,1.270350456237793,0.19205866754055023,0.06196555867791176,0.06162111088633537,1.2083848714828491,0.19204218685626984,0.897058367729187,0.0001,-0.300787091255188,-0.30506858229637146,-0.20235362648963928,-0.20354558527469635,-0.20350143313407898,0.30445101857185364,-0.3027019202709198,-0.30261722207069397,-0.199686199426651,-0.20173799991607666,-0.20191477239131927,0.017996065318584442,0.018108973279595375,0.01798621006309986,0.01814097911119461
