arm,non_delay_worker_dispatch,training_episode_count,training_completion_rate,training_mean_flow_time_objective,training_mean_reconfiguration_cost,training_mean_worker_load_variance,training_environment_steps,training_forced_action_ratio,training_mean_episode_longest_forced_action_chain,training_p95_episode_longest_forced_action_chain,training_maximum_forced_action_chain,training_non_delay_forced_share,training_forced_action_state_count,training_forced_production_count,training_forced_worker_count,training_forced_pair_count,training_forced_advance_count,training_forced_production_pair_count,training_forced_production_advance_count,training_forced_worker_pair_count,training_forced_worker_advance_count,training_forced_pair_advance_blocked_non_delay_count,training_forced_worker_pair_non_delay_count,training_forced_pair_advance_physically_unavailable_count,training_forced_advance_pair_physically_unavailable_count,training_forced_wait_dis_count,training_forced_wait_ins_count,training_forced_mixed_wait_stage_count,training_forced_phase_handoff_count,training_forced_recovery_advance_count,training_forced_future_event_advance_count,training_forced_action_chain_count,evaluation_available
non_delay_on,True,20,0.0,139.025,188.090323269561,3.8330416666666673,1280,0.6453125,6.4,10.05,11,0.025423728813559324,826,383,443,21,805,0,383,21,422,21,21,0,805,94,84,5,383,1,805,426,False
non_delay_off,False,20,0.0,129.715,175.69027159075398,2.907791666666667,1280,0.63671875,6.25,8.40000000000002,35,0.0,815,404,411,0,815,0,404,0,411,0,0,0,815,97,118,8,404,0,815,439,False
